OTUID	All	CW	OW	PW
ASV0	37.69925	28.71144	51.65696	32.72935
ASV2	15.947146	47.0466969	 0.5244004	 0.2703394
ASV4	6.728355	 1.036816	 2.765242	16.383007
ASV3	4.771072	 2.8689859	 0.2529353	11.1912953
ASV1	4.178906	3.023846	4.753370	4.759501
ASV6	4.13132	 0.2955127	11.7243188	 0.3741272
ASV7	3.826383	3.440089	7.005107	1.033952
ASV8	3.892066	0.3792056	1.6366453	9.6603457
ASV9	2.756152	0.3225181237	7.9455501582	0.0003887224
ASV11	1.452317	0.192960	1.168947	2.995046
ASV17	1.212454	1.6843253	1.7252039	0.2278328
ASV10	1.223959	0.3577116	0.4626118	2.8515527
ASV5	1.059137	1.154297	0.190575	1.832538
ASV12	0.976873	0.5304277	0.7642243	1.6359661
ASV14	0.778989	2.29220698	0.04476132	0.00000000
ASV13	0.666767	0.002285883	0.016267961	1.981746061
ASV20	0.563143	0.1365949	0.7704658	0.7823695
ASV15	0.587433	0.04229501	0.17451246	1.54549083
ASV24	0.500428	1.44360055	0.03725238	0.02043167
ASV16	0.50529	0.18242767	0.03441101	1.29903133
ASV18	0.502851	0.04874822	0.67559793	0.78420740
ASV1817	0.439484	0.01120185	0.00000000	1.30724946
ASV827	0.374767	0.97852493	0.08379781	0.06197703
ASV19	0.444057	0.99511027	0.03149814	0.30556268
ASV21	0.325362	0.01544095	0.00000000	0.96064520
ASV23	0.317489	0.007520552	0.006023010	0.938924125
ASV25	0.279325	0.1162095	0.4460449	0.2757192
ASV34	0.228957	0.03873868	0.55292547	0.09520565
ASV40	0.193628	0.03211357	0.54877022	0.00000000
ASV32	0.209929	0.112051899	0.508841420	0.008893679
ASV33	0.212411	0.637233	0.000000	0.000000
ASV31	0.205001	0.0000000	0.1019994	0.5130044
ASV37	0.150494	0.336291976	0.110847304	0.004344029
ASV29	0.146637	0.00534586	0.05866934	0.37589639
ASV22	0.123948	0.20232563	0.15709517	0.01242244
ASV51	0.090211	0.01515013	0.25548271	0.00000000
ASV38	0.094433	0.021474698	0.252316517	0.009507863
ASV36	0.096541	0.0000000000	0.0004824429	0.2891401801
ASV35	0.080329	0.00000000	0.20980701	0.03118032
ASV28	0.082744	0.007626413	0.007379559	0.233226795
ASV42	0.075205	0.07002883	0.02037592	0.13521003
ASV45	0.080837	0.001065791	0.000000000	0.241444373
ASV46	0.066587	0.001202588	0.198559692	0.000000000
ASV44	0.06778	0.01600958	0.18732967	0.00000000
ASV41	0.063151	0.00560805	0.16185022	0.02199596
ASV61	0.061315	0.000000	0.000000	0.183944
ASV43	0.062379	0.00000000	0.02006784	0.16706946
ASV53	0.045198	0.1076420178	0.0271355367	0.0008154744
ASV48	0.044785	0.000854416	0.133499205	0.000000000
ASV47	0.043322	0.002776852	0.127188375	0.000000000
ASV75	0.042596	0.005593602	0.000000000	0.122193658
ASV52	0.036131	0.004113853	0.104280101	0.000000000
ASV50	0.038635	0.00000000	0.08925753	0.02664601
ASV64	0.035655	0.01770236	0.05705421	0.03220952
ASV57	0.034141	0.00000000	0.03485523	0.06756641
ASV99	0.031355	0.029830693	0.003105036	0.061130214
ASV71	0.028193	0.002571202	0.082006615	0.000000000
ASV80	0.027584	0.02348636	0.05926515	0.00000000
ASV54	0.032108	0.004287347	0.000000000	0.092035969
ASV39	0.028718	0.0737657643	0.0117671609	0.0006218209
ASV56	0.026106	0.076800879	0.001516236	0.000000000
ASV239	0.024219	0.00000000	0.00000000	0.07265755
ASV55	0.025616	0.00000000	0.00000000	0.07684727
ASV828	0.019838	0.057573414	0.001940223	0.000000000
ASV58	0.023755	0.007575246	0.063689313	0.000000000
ASV49	0.022866	0.003913464	0.001679089	0.063006256
ASV835	0.017888	0.052094221	0.001569892	0.000000000
ASV27	0.016692	0.031801063	0.015798510	0.002477062
ASV221	0.014544	0.00103079	0.04260090	0.00000000
ASV60	0.017605	0.044099780	0.008714248	0.000000000
ASV59	0.017141	0.012346792	0.032668564	0.006408978
ASV823	0.013379	0.006300694	0.033836970	0.000000000
ASV67	0.016348	0.0007760119	0.0000000000	0.0482681502
ASV1822	0.011898	0.03569398	0.00000000	0.00000000
ASV63	0.014453	0.00000000	0.00000000	0.04336027
ASV62	0.013606	0.00000000	0.00217501	0.03864352
ASV97	0.012178	0.03653362	0.00000000	0.00000000
ASV94	0.012025	0.00000000	0.00000000	0.03607584
ASV155	0.010682	0.01049286	0.02155442	0.00000000
ASV76	0.01173	0.032507861	0.002680866	0.000000000
ASV69	0.012332	0.005717391	0.031278434	0.000000000
ASV66	0.011669	0.00000000	0.03500697	0.00000000
ASV121	0.010496	0.0292006069	0.0009769233	0.0013101458
ASV82	0.011402	0.01054800	0.02365875	0.00000000
ASV824	0.008382	0.007049228	0.016738721	0.001359124
ASV72	0.009668	0.0000000	0.0290048	0.0000000
ASV1832	0.008217	0.02465066	0.00000000	0.00000000
ASV77	0.009638	0.01283350	0.01608113	0.00000000
ASV68	0.009266	0.00107275	0.02672487	0.00000000
ASV78	0.009807	0.00000000	0.00000000	0.02942182
ASV74	0.00963	0.00000000	0.00000000	0.02888992
ASV26	0.008748	0.01910416	0.00713872	0.00000000
ASV73	0.008521	0.020307005	0.005256284	0.000000000
ASV79	0.008099	0.000000000	0.007954573	0.016342020
ASV83	0.008011	0.00000000	0.02403386	0.00000000
ASV95	0.007425	0.0000000	0.0000000	0.0222751
ASV85	0.007542	0.00000000	0.02262669	0.00000000
ASV88	0.00737	0.018445735	0.003663249	0.000000000
ASV86	0.008297	0.00000000	0.00000000	0.02488995
ASV90	0.007036	0.0204091369	0.0006984801	0.0000000000
ASV92	0.00692	0.02075931	0.00000000	0.00000000
ASV70	0.006419	0.003528724	0.015728987	0.000000000
ASV87	0.006219	0.00000000	0.01865829	0.00000000
ASV1830	0.005079	0.003128095	0.012110365	0.000000000
ASV89	0.006963	0.00000000	0.00000000	0.02088852
ASV91	0.005908	0.01772426	0.00000000	0.00000000
ASV1869	0.004547	0.007361153	0.006279566	0.000000000
ASV96	0.004968	0.00000000	0.01490287	0.00000000
ASV861	0.004123	0.01236948	0.00000000	0.00000000
ASV93	0.005087	0.00000000	0.00000000	0.01526242
ASV826	0.004618	0.0006217116	0.0000000000	0.0132333734
ASV123	0.004325	0.006390382	0.001019436	0.005566567
ASV226	0.003858	0.002833532	0.008739129	0.000000000
ASV84	0.004201	0.004612823	0.007990859	0.000000000
ASV30	0.004249	0.007107488	0.000000000	0.005639254
ASV127	0.004223	0.000000000	0.001733689	0.010934984
ASV153	0.004079	0.00000000	0.00000000	0.01223729
ASV1826	0.003575	0.0107249	0.0000000	0.0000000
ASV120	0.003751	0.01125332	0.00000000	0.00000000
ASV101	0.004116	0.00000000	0.00000000	0.01234936
ASV102	0.004095	0.00000000	0.00000000	0.01228393
ASV196	0.003237	0.0009862504	0.0087234289	0.0000000000
ASV109	0.003716	0.00000000	0.00000000	0.01114926
ASV81	0.004075	0.00000000	0.00000000	0.01222453
ASV111	0.003704	0.0002145499	0.0000000000	0.0108960751
ASV103	0.003692	0.0004016790	0.0004824429	0.0101932270
ASV105	0.00348	0.00000000	0.01044005	0.00000000
ASV106	0.003484	0.00000000	0.00000000	0.01045281
ASV122	0.003191	0.006871258	0.002702529	0.000000000
ASV220	0.003108	0.000000000	0.002035425	0.007288545
ASV136	0.003203	0.000000000	0.005448180	0.004161465
ASV108	0.003395	0.00000000	0.00000000	0.01018417
ASV110	0.003254	0.000000000	0.000000000	0.009761341
ASV145	0.002974	0.000000000	0.000000000	0.008922039
ASV112	0.002696	0.000000000	0.008086591	0.000000000
ASV113	0.002801	0.008401776	0.000000000	0.000000000
ASV114	0.002888	0.000000000	0.000000000	0.008664561
ASV874	0.002271	0.00681166	0.00000000	0.00000000
ASV115	0.002928	0.000000000	0.000000000	0.008784192
ASV142	0.00258	0.007738972	0.000000000	0.000000000
ASV1926	0.002174	0.000000000	0.006522296	0.000000000
ASV116	0.002705	0.000000000	0.000000000	0.008116171
ASV118	0.002595	0.000000000	0.005816394	0.001969100
ASV117	0.002669	0.000000000	0.000000000	0.008006493
ASV1946	0.001888	0.00000000	0.00566545	0.00000000
ASV1947	0.001888	0.00000000	0.00566545	0.00000000
ASV1948	0.002064	0.00000000	0.00619235	0.00000000
ASV119	0.002523	0.000000000	0.000000000	0.007567781
ASV125	0.00227	0.000000000	0.005831553	0.000979931
ASV177	0.002008	0.000000000	0.006023239	0.000000000
ASV124	0.00234	0.000000000	0.000000000	0.007019391
ASV126	0.002244	0.000640812	0.006090028	0.000000000
ASV1966	0.001578	0.000000000	0.004734143	0.000000000
ASV128	0.002008	0.006025185	0.000000000	0.000000000
ASV129	0.002008	0.006025185	0.000000000	0.000000000
ASV130	0.002374	0.000000000	0.000000000	0.007121087
ASV1970	0.001744	0.000000000	0.005232972	0.000000000
ASV65	0.001911	0.000000000	0.000000000	0.005733655
ASV131	0.00206	0.006178747	0.000000000	0.000000000
ASV1971	0.001715	0.000000000	0.005145756	0.000000000
ASV134	0.001945	0.000000000	0.005835046	0.000000000
ASV133	0.001934	0.00000000	0.00580096	0.00000000
ASV197	0.001927	0.002671716	0.000000000	0.003109779
ASV1850	0.001638	0.004914742	0.000000000	0.000000000
ASV1976	0.001628	0.000000000	0.004884107	0.000000000
ASV822	0.001916	0.000000000	0.000000000	0.005747129
ASV1981	0.001599	0.000000000	0.004796891	0.000000000
ASV1986	0.001518	0.004552654	0.000000000	0.000000000
ASV135	0.001901	0.000000000	0.000000000	0.005703255
ASV1988	0.001512	0.000000000	0.004535242	0.000000000
ASV1982	0.001319	0.000000000	0.003958054	0.000000000
ASV140	0.001677	0.000000000	0.005029541	0.000000000
ASV141	0.001791	0.000000000	0.000000000	0.005374221
ASV143	0.001791	0.000000000	0.000000000	0.005371868
ASV144	0.001899	0.00000000	0.00000000	0.00569687
ASV1960	0.001411	0.0036233068	0.0006105134	0.0000000000
ASV146	0.001714	0.0000000000	0.0002052874	0.0049355093
ASV147	0.001608	0.000000000	0.004824253	0.000000000
ASV1907	0.001216	0.000000000	0.003647618	0.000000000
ASV1995	0.001371	0.004111984	0.000000000	0.000000000
ASV149	0.001638	0.0000000000	0.0003079311	0.0046064754
ASV150	0.001609	0.004827373	0.000000000	0.000000000
ASV152	0.001609	0.000000000	0.000000000	0.004825831
ASV345	0.00125	0.0005535382	0.0031979481	0.0000000000
ASV1996	0.001239	0.000000000	0.003715978	0.000000000
ASV154	0.001604	0.000000000	0.000000000	0.004812298
ASV2002	0.00125	0.000000000	0.003750297	0.000000000
ASV156	0.001451	0.000000000	0.001196256	0.003157555
ASV157	0.001425	0.004275042	0.000000000	0.000000000
ASV164	0.001343	0.000601294	0.001342861	0.002083882
ASV1882	0.001111	0.000000000	0.003332206	0.000000000
ASV2009	0.001111	0.000000000	0.003332206	0.000000000
ASV159	0.001379	0.000000000	0.000000000	0.004137486
ASV160	0.001289	0.000000000	0.003867307	0.000000000
ASV185	0.001342	0.002576722	0.000000000	0.001449978
ASV306	0.001153	0.0004290998	0.0030286215	0.0000000000
ASV2014	0.001255	0.000000000	0.000000000	0.003765135
ASV2015	0.001231	0.000000000	0.000000000	0.003692863
ASV2019	0.001074	0.000000000	0.003223064	0.000000000
ASV483	0.001116	0.00334745	0.00000000	0.00000000
ASV163	0.001221	0.000000000	0.003663764	0.000000000
