OTUID	All	CC	OC	PC
ASV0	29.638977	26.67112	26.98155	35.26426
ASV17	21.737563	38.81358	16.26472	10.13439
ASV7	7.989501	 4.202991	14.860109	 4.905404
ASV9	6.403455	 1.35717285	17.79374303	 0.05945049
ASV6	3.271485	0.9470002	4.5546891	4.3127653
ASV11	3.024324	1.481490	0.416269	7.175212
ASV4	2.542423	0.9679966	3.6877270	2.9715442
ASV29	1.295214	0.34028525	0.09872614	3.44663129
ASV877	1.072888	0.16087071	0.09446936	2.96332249
ASV18	1.014162	0.17892351	0.02189341	2.84166951
ASV2	1.261978	3.1222475	0.4424510	0.2212353
ASV67	1.070173	0.20841857	0.06026919	2.94183178
ASV33	1.525181	4.41823036	0.07875280	0.07855951
ASV126	1.028631	2.94372902	0.08046802	0.06169696
ASV44	0.889135	1.79451350	0.82223137	0.05065875
ASV99	0.64372	0.05972369	0.03754813	1.83388749
ASV192	0.756241	0.7476179	0.5226245	0.9984796
ASV822	0.635551	0.13070515	0.04991328	1.72603536
ASV12	0.535822	0.3926999	1.1024283	0.1123380
ASV823	0.525339	0.081938191	1.491154926	0.002923528
ASV8	0.52797	0.2172181	0.6362193	0.7304717
ASV824	0.434185	0.04272898	0.68158036	0.57824538
ASV20	0.491351	0.5085029	0.4834128	0.4821359
ASV34	0.470658	0.2841571	0.1426362	0.9851817
ASV10	0.423361	0.11097023	1.06852163	0.09058967
ASV878	0.53449	1.558010215	0.036517546	0.008943011
ASV32	0.387441	0.1401428	0.7798610	0.2423189
ASV5	0.301644	0.20693312	0.05961971	0.63838054
ASV1	0.283115	0.4391620	0.2005492	0.2096331
ASV38	0.27409	0.47861582	0.32486768	0.01878533
ASV27	0.260926	0.762421698	0.008025582	0.012330253
ASV16	0.279912	0.23343335	0.03236606	0.57393768
ASV255	0.300419	0.007252190	0.890668280	0.003336381
ASV827	0.251578	0.2174029	0.4256577	0.1116739
ASV65	0.267411	0.059503298	0.009307394	0.733422195
ASV520	0.268631	0.022773471	0.007670703	0.775449705
ASV59	0.25637	0.06928799	0.02561196	0.67421087
ASV879	0.251263	0.10398653	0.02806765	0.62173409
ASV825	0.20082	0.05648685	0.54597439	0.00000000
ASV15	0.176414	0.07417221	0.16159139	0.29347864
ASV21	0.154842	0.039243957	0.007344696	0.417937812
ASV826	0.161711	0.027999787	0.005193975	0.451939964
ASV3	0.145567	0.17956541	0.01344803	0.24368724
ASV111	0.139126	0.015542053	0.003927937	0.397907757
ASV880	0.158114	0.458359483	0.013428995	0.002552948
ASV19	0.114525	0.175592782	0.009905469	0.158078018
ASV881	0.102068	0.002191071	0.002035054	0.301977192
ASV882	0.114741	0.03034471	0.02149850	0.29238011
ASV28	0.109372	0.038109485	0.007344696	0.282661758
ASV30	0.085087	0.000000000	0.001927946	0.253332806
ASV828	0.118523	0.332383360	0.014659655	0.008525454
ASV37	0.075138	0.009734725	0.212283770	0.003396496
ASV883	0.085498	0.002333312	0.254161937	0.000000000
ASV123	0.070018	0.045167897	0.001481205	0.163405907
ASV50	0.074845	0.03843709	0.01684280	0.16925658
ASV829	0.076447	0.011142455	0.002795289	0.215403730
ASV53	0.073493	0.10070831	0.09846069	0.02130969
ASV63	0.077405	0.03184921	0.00548266	0.19488420
ASV42	0.065392	0.02393142	0.03037309	0.14187045
ASV80	0.061269	0.028188041	0.152939250	0.002679273
ASV95	0.081203	0.224422923	0.006227097	0.012957913
ASV884	0.058596	0.001218255	0.002068928	0.172502155
ASV885	0.068378	0.190636599	0.009789150	0.004708022
ASV25	0.055626	0.02982958	0.05425363	0.08279502
ASV886	0.154716	0.455453548	0.005120535	0.003574127
ASV830	0.048965	0.00000000	0.01345727	0.13343869
ASV887	0.135955	0.39495670	0.00000000	0.01290849
ASV888	0.044013	0.002149475	0.001673546	0.128216991
ASV889	0.04967	0.001268515	0.147742519	0.000000000
ASV125	0.039926	0.01203767	0.03608685	0.07165358
ASV24	0.044906	0.09874820	0.02558084	0.01038996
ASV890	0.114023	0.329504641	0.002415347	0.010147807
ASV64	0.036078	0.03665970	0.01607820	0.05549759
ASV51	0.030829	0.008863601	0.083624740	0.000000000
ASV52	0.034069	0.002011627	0.006957253	0.093237840
ASV35	0.03579	0.02594246	0.08142804	0.00000000
ASV891	0.037607	0.001841709	0.110979295	0.000000000
ASV47	0.03957	0.029637770	0.002851928	0.086221619
ASV60	0.033511	0.0029601662	0.0006883964	0.0968847666
ASV39	0.030987	0.004975203	0.017726665	0.070259211
ASV297	0.033065	0.0011305320	0.0009639731	0.0971013295
ASV122	0.029201	0.001499154	0.086103391	0.000000000
ASV1817	0.028679	0.002737936	0.000000000	0.083299552
ASV112	0.029655	0.000000000	0.082235069	0.006730763
ASV170	0.031079	0.005196315	0.002172375	0.085868068
ASV81	0.029925	0.004988704	0.000000000	0.084786591
ASV359	0.026131	0.0001704978	0.0000000000	0.0782222289
ASV253	0.030036	0.02796006	0.03243089	0.02971731
ASV835	0.026464	0.04153949	0.02106819	0.01678557
ASV23	0.025264	0.01328623	0.00000000	0.06250612
ASV43	0.026956	0.003596643	0.004287246	0.072983469
ASV892	0.069176	0.19714640	0.00000000	0.01038298
ASV71	0.024033	0.00000000	0.07209977	0.00000000
ASV512	0.025985	0.0018549790	0.0004137857	0.0756872080
ASV831	0.024128	0.002356789	0.002111351	0.067916954
ASV832	0.022505	0.0028433924	0.0008445404	0.0638259720
ASV838	0.019924	0.027196565	0.001034464	0.031542409
ASV893	0.021793	0.004210704	0.000000000	0.061168638
ASV120	0.025878	0.0741956751	0.0029508875	0.0004883404
ASV151	0.017558	0.00000000	0.00000000	0.05267486
ASV894	0.02484	0.04467599	0.00000000	0.02984408
ASV75	0.019423	0.006225199	0.001448250	0.050595852
ASV1818	0.015166	0.0000000	0.0000000	0.0454993
ASV561	0.016804	0.020445790	0.006084287	0.023883222
ASV895	0.030611	0.06777094	0.00000000	0.02406093
ASV1820	0.014459	0.00000000	0.00000000	0.04337713
ASV1821	0.014402	0.00000000	0.00000000	0.04320736
ASV13	0.015519	0.001525627	0.001671820	0.043360441
ASV837	0.015574	0.00000000	0.04672346	0.00000000
ASV896	0.016244	0.00000000	0.04873205	0.00000000
ASV1819	0.014375	0.0000000	0.0000000	0.0431238
ASV522	0.015929	0.0028569079	0.0003933694	0.0445353665
ASV833	0.016432	0.0013887675	0.0006206785	0.0472869925
ASV74	0.016224	0.0035798381	0.0007241249	0.0443681793
ASV897	0.014664	0.025448021	0.006210005	0.012332771
ASV834	0.015467	0.001677436	0.000000000	0.044724083
ASV898	0.015858	0.0006091275	0.0000000000	0.0469662784
ASV94	0.013645	0.039755707	0.001180108	0.000000000
ASV196	0.012319	0.009009988	0.027946690	0.000000000
ASV899	0.014294	0.0009871704	0.0418938375	0.0000000000
ASV900	0.014235	0.0001794855	0.0425254198	0.0000000000
ASV901	0.013246	0.0003459585	0.0000000000	0.0393910467
ASV155	0.017676	0.041787588	0.002611754	0.008628062
ASV902	0.013768	0.00000000	0.04130378	0.00000000
ASV836	0.013955	0.001454002	0.000000000	0.040412204
ASV148	0.010555	0.00000000	0.01334704	0.01831861
ASV481	0.01182	0.000461278	0.001963031	0.033036109
ASV903	0.012897	0.0007520435	0.0003103393	0.0376292097
ASV904	0.012101	0.00000000	0.00000000	0.03630367
ASV134	0.012258	0.0142195034	0.0006756323	0.0218776492
ASV164	0.010614	0.002296803	0.003776764	0.025767436
ASV905	0.011516	0.00000000	0.00000000	0.03454897
ASV1823	0.01028	0.00000000	0.00000000	0.03083929
ASV906	0.011789	0.00000000	0.03536644	0.00000000
ASV907	0.01104	0.00000000	0.00000000	0.03312088
ASV908	0.01104	0.00000000	0.00000000	0.03312088
ASV909	0.010083	0.0000000000	0.0006426487	0.0296058134
ASV910	0.011031	0.000230639	0.000000000	0.032863311
