OTUID	All	CW	OW	PW
ASV_1	1.41328	1.638739	1.003656	1.597444
ASV_3	1.003656	0.0041720796	3.0063181515	0.0004771545
ASV_6	0.962312	0.000000	2.886935	0.000000
ASV_9	0.869065	1.4028953	1.0764170	0.1278837
ASV_22	0.763523	0.03855737	2.21900654	0.03300420
ASV_7	0.765933	1.2378948	0.2904229	0.7694817
ASV_4	0.666529	0.4652983	0.7271828	0.8071048
ASV_28	0.527137	1.443976	0.137434	0.000000
ASV_17	0.59222	0.4697628	0.2293906	1.0775052
ASV_34	0.570209	0.6914255	0.3549583	0.6642440
ASV_2	0.557116	0.3907410	0.4072422	0.8733645
ASV_30	0.465384	0.10734994	1.21018540	0.07861806
ASV_8	0.481385	0.02598819	0.58497933	0.83318757
ASV_45	0.533599	0.985309036	0.613209971	0.002277784
ASV_5	0.44228	0.37825170	0.07099652	0.87759081
ASV_24	0.595449	1.1775269	0.2334472	0.3753743
ASV_18	0.529603	0.6628181	0.4083163	0.5176751
ASV_20	0.503316	0.5471768	0.1850242	0.7777482
ASV_19	0.450933	0.2353042	0.3160073	0.8014873
ASV_100	0.389709	1.169126	0.000000	0.000000
ASV_14	0.427368	0.4162213	0.3820572	0.4838266
ASV_16	0.415638	0.4872340	0.2829122	0.4767672
ASV_76	0.377321	1.1310387970	0.0009234351	0.0000000000
ASV_125	0.352547	0.80798938	0.24654289	0.00310746
ASV_53	0.362508	0.8221237	0.1390079	0.1263922
ASV_23	0.415007	0.07864669	0.85258005	0.31379311
ASV_12	0.379254	0.3931085	0.3009455	0.4437067
ASV_35	0.344717	0.3121882	0.1480205	0.5739427
ASV_55	0.285937	0.01014221	0.61177247	0.23589541
ASV_26	0.345451	0.2767624	0.3142373	0.4453521
ASV_29	0.311092	0.3868989	0.1956185	0.3507584
ASV_108	0.253808	0.0004658226	0.7607646934	0.0001924735
ASV_95	0.259032	0.10500586	0.61793005	0.05416042
ASV_25	0.34963	0.4008648	0.2671038	0.3809223
ASV_64	0.303593	0.22891654	0.58315716	0.09870423
ASV_54	0.283575	0.2206686	0.1317202	0.4983375
ASV_83	0.320549	0.3292223	0.2597476	0.3726771
ASV_39	0.333072	0.4765333	0.2639521	0.2587314
ASV_27	0.335735	0.5149278	0.2390100	0.2532658
ASV_90	0.238716	0.0000000	0.7161475	0.0000000
ASV_10	0.309596	0.3891637	0.1840320	0.3555932
ASV_42	0.308163	0.4503142	0.1671063	0.3070678
ASV_21	0.240082	0.1619163	0.0577355	0.5005935
ASV_31	0.300099	0.2367977	0.1116635	0.5518344
ASV_115	0.217748	0.0000000000	0.6530076115	0.0002374225
