OTUID	All	CC	OC	PC
ASV_1	1.087287	1.1855442	0.9479251	1.1283911
ASV_2	0.920524	0.7209048	0.9875172	1.0531513
ASV_11	0.848025	1.4788897	0.3440604	0.7211248
ASV_5	0.581297	0.5630143	0.4489555	0.7319218
ASV_7	0.632459	0.6434722	0.3706093	0.8832945
ASV_13	0.583634	0.3813591	0.4906845	0.8788590
ASV_10	0.530025	0.5537771	0.4618459	0.5744512
ASV_8	0.649561	1.2608541	0.2707786	0.4170494
ASV_15	0.319131	0.950301418	0.002167111	0.004925641
ASV_4	0.522406	0.1720684	0.1731123	1.2220358
ASV_21	0.456793	0.6898951	0.1535276	0.5269555
ASV_12	0.476352	0.4524553	0.5047846	0.4718164
ASV_32	0.415139	0.34539616	0.82644533	0.07357464
ASV_18	0.432262	0.4551420	0.4000736	0.4415715
ASV_23	0.408593	0.2455917	0.6143174	0.3658699
ASV_36	0.350207	0.3378574	0.1150466	0.5977169
ASV_16	0.432859	0.4357982	0.4188171	0.4439631
ASV_50	0.448858	0.5988728	0.3599229	0.3877779
ASV_25	0.356284	0.3645293	0.3001146	0.4042083
ASV_46	0.368097	0.2715869	0.4661098	0.3665930
ASV_20	0.341935	0.3225642	0.2778863	0.4253539
ASV_57	0.331908	0.5370246	0.2296714	0.2290285
ASV_61	0.285574	0.52986239	0.23609912	0.09076075
ASV_37	0.330011	0.3532151	0.2733570	0.3634601
ASV_83	0.344764	0.3169968	0.4129358	0.3043594
ASV_14	0.311523	0.2880396	0.2283537	0.4181767
ASV_41	0.317959	0.3440256	0.3374808	0.2723694
ASV_52	0.25527	0.3217774	0.2369946	0.2070368
ASV_26	0.284668	0.3031009	0.2182460	0.3326565
ASV_59	0.228126	0.37413786	0.06798967	0.24224897
ASV_47	0.291905	0.3222467	0.2332882	0.3201787
ASV_48	0.195011	0.51241895	0.01639659	0.05621810
ASV_44	0.283834	0.2249596	0.4423886	0.1841528
ASV_38	0.26707	0.3570809	0.2182533	0.2258753
ASV_33	0.276916	0.2215740	0.4633366	0.1458375
ASV_62	0.227995	0.30289798	0.02935138	0.35173473
ASV_40	0.261275	0.2338242	0.2513574	0.2986423
ASV_81	0.270178	0.00000000	0.78468386	0.02585153
ASV_31	0.248772	0.1996832	0.2438300	0.3028014
ASV_70	0.192742	0.1532722	0.1613703	0.2635838
ASV_87	0.284195	0.1854883	0.4644833	0.2026138
ASV_123	0.200881	0.05943262	0.07592573	0.46728480
ASV_51	0.229861	0.40659006	0.02310263	0.25988957
ASV_89	0.20372	0.601083647	0.008250750	0.001824668
ASV_67	0.198721	0.1442744	0.1086132	0.3432759
ASV_74	0.228154	0.2415287	0.3088158	0.1341167
ASV_73	0.241453	0.2530042	0.3562021	0.1151524
ASV_78	0.135822	0.4060088367	0.0003483058	0.0011083616
ASV_49	0.250029	0.1402039	0.2325485	0.3773339
ASV_42	0.240848	0.3022117	0.1816106	0.2387218
ASV_3	0.295075	0.46511244	0.39870701	0.02140655
ASV_27	0.2298	0.2262605	0.2555120	0.2076274
ASV_93	0.225128	0.0004931938	0.1609299984	0.5139619693
ASV_43	0.209248	0.2203966	0.1906515	0.2166958
ASV_58	0.226552	0.2402772	0.1996635	0.2397150
ASV_17	0.220966	0.2506122	0.1594123	0.2528733
ASV_63	0.23693	0.1344108	0.2864113	0.2899668
ASV_19	0.21313	0.1947575	0.1663909	0.2782402
ASV_122	0.347032	0.00000000	0.98934712	0.05174877
ASV_53	0.180694	0.03912492	0.21446645	0.28848976
ASV_85	0.214433	0.1545369	0.3378603	0.1509017
ASV_91	0.22673	0.06489128	0.09902466	0.51627387
ASV_94	0.185971	0.2065228	0.1640035	0.1873876
ASV_96	0.193501	0.208457839	0.369914087	0.002131611
ASV_804	0.187243	0.1683813	0.2174264	0.1759206
ASV_29	0.189458	0.2285504	0.1040972	0.2357259
ASV_105	0.166924	0.32297275	0.13525961	0.04254101
ASV_75	0.198268	0.1735867	0.1503510	0.2708670
ASV_86	0.169751	0.07036477	0.22924925	0.20963768
ASV_112	0.196318	0.2310556	0.1880489	0.1698508
ASV_104	0.161128	0.1682379	0.1012183	0.2139267
ASV_165	0.137687	0.26080639	0.12679065	0.02546417
ASV_35	0.187852	0.05223193	0.05149146	0.45983271
ASV_101	0.161326	0.1359058	0.1712360	0.1768373
