group,summer,winter
C,6.532032284,6.333368187
C,4.897561422,6.405226317
C,5.750022178,6.542633672
C,6.427692981,6.752102792
C,6.065869143,6.400894142
C,6.44119542,6.612592877
C,5.755762194,6.90377521
C,6.214475205,6.949285423
C,6.172720667,6.717674327
C,6.594547435,6.59246975
C,6.327642826,6.505220623
C,6.539399757,6.908329585
O,3.96593011,6.413959388
O,6.00127607,6.881047181
O,6.39928403,6.74537017
O,3.318028732,6.597113766
O,6.661892487,6.523110078
O,5.471479654,6.769928106
O,6.313230759,6.958336326
O,6.052473233,6.694881273
O,3.392339421,6.844329884
O,6.621137988,6.64927119
O,5.776802806,6.225975955
O,6.172839718,6.850914321
P,6.585870093,6.114700116
P,6.559110525,6.834467013
P,6.646914603,6.797804822
P,6.495020928,6.523185002
P,6.498573968,6.353655408
P,6.711958651,6.645230433
P,6.634723248,6.266360427
P,6.726523606,6.923448426
P,6.66557163,6.705719191
P,6.540074045,6.243222392
P,6.595125568,6.601907178
P,6.620725784,6.501172658
