Sample,CW1,CW10,CW11,CW12,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CC1,CC10,CC11,CC12,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,OW1,OW10,OW11,OW12,OW2,OW3,OW4,OW5,OW6,OW7,OW8,OW9,OC1,OC10,OC11,OC12,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,PW1,PW10,PW11,PW12,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PC1,PC10,PC11,PC12,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CW1,0,0.585,0.618,0.629,0.716,0.675,0.621,0.683,0.621,0.715,0.695,0.69,0.736,0.631,0.642,0.698,0.707,0.704,0.681,0.722,0.64,0.705,0.712,0.648,0.959,0.675,0.699,0.676,0.686,0.692,0.985,0.662,0.724,0.683,0.666,0.972,0.716,0.687,0.722,0.662,0.692,0.708,0.737,0.675,0.672,0.661,0.634,0.665,0.642,0.668,0.635,0.628,0.702,0.64,0.622,0.658,0.639,0.635,0.634,0.648,0.734,0.671,0.675,0.684,0.724,0.714,0.714,0.728,0.677,0.654,0.638,0.646
CW10,0.585,0,0.62,0.618,0.71,0.699,0.632,0.703,0.612,0.688,0.67,0.655,0.704,0.603,0.618,0.651,0.68,0.683,0.668,0.699,0.648,0.7,0.703,0.65,0.957,0.666,0.722,0.708,0.732,0.698,0.985,0.681,0.771,0.69,0.669,0.973,0.697,0.679,0.71,0.649,0.685,0.695,0.737,0.686,0.653,0.635,0.632,0.657,0.67,0.673,0.657,0.649,0.692,0.653,0.632,0.659,0.662,0.618,0.616,0.662,0.721,0.667,0.664,0.679,0.702,0.703,0.699,0.716,0.682,0.67,0.63,0.64
CW11,0.618,0.62,0,0.567,0.747,0.668,0.685,0.61,0.66,0.722,0.719,0.699,0.734,0.65,0.663,0.687,0.725,0.736,0.724,0.718,0.657,0.746,0.754,0.698,0.949,0.679,0.722,0.708,0.725,0.678,0.984,0.692,0.778,0.721,0.661,0.972,0.746,0.717,0.731,0.68,0.725,0.737,0.741,0.694,0.711,0.679,0.686,0.652,0.669,0.688,0.691,0.675,0.727,0.68,0.669,0.659,0.659,0.607,0.607,0.675,0.75,0.683,0.683,0.679,0.747,0.735,0.724,0.747,0.708,0.687,0.669,0.658
CW12,0.629,0.618,0.567,0,0.754,0.686,0.674,0.624,0.66,0.69,0.69,0.675,0.728,0.659,0.672,0.687,0.702,0.722,0.709,0.717,0.664,0.738,0.745,0.7,0.948,0.647,0.718,0.72,0.726,0.684,0.984,0.698,0.801,0.709,0.698,0.974,0.729,0.695,0.722,0.674,0.708,0.724,0.729,0.694,0.696,0.656,0.661,0.644,0.662,0.676,0.659,0.649,0.672,0.644,0.63,0.654,0.653,0.623,0.616,0.663,0.751,0.653,0.675,0.675,0.717,0.702,0.699,0.734,0.699,0.671,0.658,0.653
CW2,0.716,0.71,0.747,0.754,0,0.775,0.686,0.779,0.687,0.771,0.769,0.763,0.81,0.749,0.762,0.788,0.793,0.802,0.797,0.793,0.745,0.801,0.816,0.764,0.969,0.742,0.779,0.786,0.758,0.783,0.958,0.768,0.809,0.791,0.789,0.975,0.803,0.788,0.806,0.763,0.792,0.804,0.808,0.785,0.778,0.772,0.755,0.768,0.769,0.775,0.763,0.754,0.799,0.783,0.771,0.806,0.77,0.756,0.757,0.778,0.819,0.783,0.753,0.753,0.808,0.799,0.771,0.815,0.764,0.782,0.751,0.754
CW3,0.675,0.699,0.668,0.686,0.775,0,0.671,0.673,0.688,0.747,0.736,0.734,0.785,0.719,0.722,0.782,0.784,0.778,0.776,0.773,0.745,0.793,0.802,0.708,0.956,0.768,0.775,0.747,0.762,0.744,0.984,0.747,0.778,0.775,0.754,0.971,0.801,0.78,0.798,0.754,0.773,0.794,0.806,0.769,0.764,0.773,0.744,0.758,0.715,0.74,0.735,0.733,0.743,0.743,0.725,0.766,0.713,0.706,0.709,0.733,0.792,0.758,0.724,0.715,0.794,0.787,0.774,0.787,0.781,0.752,0.738,0.725
CW4,0.621,0.632,0.685,0.674,0.686,0.671,0,0.691,0.623,0.716,0.703,0.69,0.757,0.673,0.68,0.745,0.75,0.754,0.745,0.739,0.668,0.749,0.762,0.676,0.953,0.682,0.71,0.714,0.677,0.695,0.986,0.688,0.736,0.729,0.736,0.963,0.749,0.744,0.737,0.693,0.725,0.753,0.763,0.725,0.722,0.705,0.678,0.701,0.692,0.708,0.702,0.683,0.729,0.711,0.698,0.732,0.701,0.693,0.688,0.699,0.773,0.727,0.668,0.675,0.757,0.761,0.737,0.761,0.727,0.747,0.68,0.704
CW5,0.683,0.703,0.61,0.624,0.779,0.673,0.691,0,0.684,0.76,0.74,0.745,0.784,0.732,0.742,0.788,0.769,0.784,0.775,0.775,0.72,0.798,0.807,0.732,0.942,0.744,0.761,0.745,0.751,0.686,0.982,0.756,0.768,0.792,0.746,0.973,0.795,0.779,0.784,0.745,0.756,0.785,0.797,0.768,0.752,0.742,0.725,0.726,0.692,0.734,0.688,0.689,0.725,0.727,0.707,0.729,0.691,0.677,0.681,0.71,0.774,0.753,0.727,0.707,0.793,0.79,0.781,0.802,0.773,0.749,0.75,0.722
CW6,0.621,0.612,0.66,0.66,0.687,0.688,0.623,0.684,0,0.719,0.711,0.703,0.761,0.678,0.696,0.743,0.73,0.753,0.713,0.744,0.659,0.747,0.758,0.681,0.959,0.661,0.717,0.689,0.713,0.701,0.986,0.67,0.719,0.712,0.71,0.97,0.736,0.695,0.724,0.685,0.726,0.735,0.741,0.72,0.708,0.714,0.668,0.668,0.666,0.667,0.677,0.658,0.694,0.7,0.663,0.724,0.663,0.656,0.66,0.673,0.75,0.73,0.683,0.687,0.736,0.749,0.699,0.741,0.695,0.701,0.687,0.701
CW7,0.715,0.688,0.722,0.69,0.771,0.747,0.716,0.76,0.719,0,0.298,0.27,0.82,0.73,0.741,0.77,0.763,0.783,0.782,0.812,0.737,0.798,0.807,0.752,0.941,0.734,0.769,0.756,0.778,0.779,0.981,0.778,0.819,0.781,0.745,0.951,0.789,0.762,0.781,0.738,0.742,0.795,0.816,0.755,0.76,0.754,0.734,0.743,0.763,0.776,0.754,0.732,0.771,0.761,0.731,0.749,0.764,0.734,0.733,0.762,0.809,0.744,0.749,0.721,0.805,0.795,0.794,0.814,0.794,0.753,0.734,0.743
