bray_curtis,OW1,OW2,OW3,OW4,OW5,OW6,OW7,OW8,OW9,OW10,OW11,OW12,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,OC11,OC12,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
OW1,0,0.585,0.421,0.285,0.331,0.458,0.431,0.562,0.532,0.589,0.546,0.546,0.678,0.736,0.559,0.742,0.574,0.609,0.692,0.686,0.371,0.582,0.568,0.625,0.863,0.917,0.624,0.908,0.623,0.933,0.911,0.904,0.899,0.907,0.617,0.62,0.882,0.594,0.743,0.608,0.86,0.801,0.864,0.87,0.575,0.61,0.607,0.832,0.76,0.883,0.954,0.623,0.938,0.727,0.614,0.606,0.639,0.605,0.635,0.611,0.642,0.642,0.904,0.724,0.622,0.626,0.509,0.499,0.531,0.605,0.609,0.599
OW2,0.585,0,0.583,0.582,0.548,0.539,0.575,0.538,0.54,0.528,0.449,0.531,0.832,0.876,0.528,0.766,0.552,0.606,0.854,0.844,0.536,0.533,0.556,0.622,0.531,0.908,0.58,0.904,0.603,0.917,0.919,0.905,0.909,0.905,0.607,0.628,0.875,0.609,0.77,0.617,0.863,0.854,0.866,0.874,0.581,0.614,0.611,0.826,0.721,0.879,0.947,0.612,0.914,0.697,0.468,0.492,0.567,0.596,0.599,0.574,0.644,0.725,0.914,0.692,0.616,0.596,0.626,0.668,0.586,0.564,0.556,0.556
OW3,0.421,0.583,0,0.533,0.54,0.484,0.482,0.597,0.581,0.615,0.549,0.578,0.557,0.711,0.449,0.479,0.574,0.602,0.695,0.674,0.539,0.519,0.6,0.663,0.719,0.919,0.659,0.908,0.689,0.923,0.917,0.903,0.906,0.907,0.689,0.703,0.826,0.687,0.762,0.687,0.757,0.762,0.869,0.876,0.664,0.698,0.693,0.842,0.71,0.844,0.921,0.656,0.899,0.691,0.68,0.676,0.693,0.685,0.685,0.667,0.644,0.649,0.882,0.687,0.698,0.673,0.572,0.59,0.63,0.634,0.628,0.616
OW4,0.285,0.582,0.533,0,0.259,0.421,0.504,0.483,0.461,0.496,0.469,0.463,0.853,0.889,0.485,0.747,0.499,0.613,0.868,0.86,0.294,0.515,0.496,0.647,0.887,0.93,0.543,0.928,0.543,0.939,0.93,0.922,0.915,0.917,0.54,0.545,0.917,0.519,0.763,0.518,0.89,0.876,0.887,0.887,0.493,0.553,0.528,0.847,0.763,0.877,0.956,0.536,0.93,0.731,0.539,0.536,0.552,0.554,0.547,0.531,0.646,0.665,0.899,0.731,0.555,0.551,0.567,0.557,0.469,0.589,0.538,0.533
OW5,0.331,0.548,0.54,0.259,0,0.288,0.525,0.317,0.29,0.323,0.284,0.301,0.87,0.913,0.331,0.731,0.385,0.594,0.88,0.877,0.178,0.493,0.352,0.614,0.833,0.911,0.376,0.897,0.381,0.928,0.907,0.901,0.899,0.9,0.371,0.383,0.915,0.355,0.749,0.364,0.913,0.901,0.853,0.861,0.325,0.533,0.496,0.82,0.727,0.87,0.937,0.516,0.914,0.708,0.46,0.487,0.39,0.539,0.424,0.383,0.626,0.655,0.888,0.725,0.511,0.388,0.547,0.539,0.337,0.564,0.493,0.393
OW6,0.458,0.539,0.484,0.421,0.288,0,0.424,0.188,0.261,0.193,0.237,0.175,0.751,0.808,0.295,0.767,0.331,0.583,0.771,0.756,0.322,0.461,0.317,0.604,0.799,0.885,0.242,0.878,0.278,0.906,0.882,0.867,0.869,0.878,0.258,0.283,0.842,0.348,0.748,0.273,0.827,0.776,0.859,0.863,0.241,0.542,0.49,0.82,0.734,0.851,0.928,0.511,0.906,0.703,0.448,0.473,0.293,0.528,0.407,0.365,0.63,0.696,0.905,0.695,0.503,0.267,0.599,0.636,0.341,0.538,0.461,0.366
OW7,0.431,0.575,0.482,0.504,0.525,0.424,0,0.443,0.452,0.471,0.456,0.45,0.447,0.489,0.51,0.815,0.479,0.644,0.415,0.408,0.464,0.468,0.477,0.61,0.846,0.928,0.552,0.916,0.575,0.941,0.903,0.864,0.883,0.891,0.533,0.552,0.884,0.553,0.759,0.555,0.862,0.804,0.842,0.859,0.513,0.544,0.544,0.824,0.713,0.832,0.906,0.541,0.882,0.68,0.558,0.552,0.576,0.564,0.565,0.54,0.656,0.743,0.921,0.703,0.551,0.546,0.611,0.657,0.519,0.511,0.481,0.485
OW8,0.562,0.538,0.597,0.483,0.317,0.188,0.443,0,0.253,0.0993,0.185,0.0481,0.832,0.884,0.317,0.791,0.346,0.613,0.785,0.787,0.302,0.408,0.323,0.593,0.83,0.92,0.193,0.908,0.202,0.934,0.9,0.867,0.884,0.894,0.171,0.185,0.875,0.353,0.757,0.266,0.874,0.867,0.827,0.851,0.192,0.526,0.501,0.811,0.699,0.825,0.896,0.516,0.869,0.665,0.464,0.489,0.242,0.535,0.414,0.377,0.637,0.715,0.901,0.703,0.504,0.187,0.588,0.628,0.347,0.492,0.42,0.328
OW9,0.532,0.54,0.581,0.461,0.29,0.261,0.452,0.253,0,0.269,0.226,0.239,0.802,0.89,0.255,0.766,0.319,0.537,0.75,0.738,0.262,0.364,0.258,0.522,0.771,0.917,0.367,0.903,0.388,0.93,0.877,0.846,0.861,0.88,0.345,0.373,0.869,0.306,0.702,0.289,0.857,0.845,0.783,0.792,0.234,0.463,0.412,0.757,0.668,0.832,0.906,0.407,0.875,0.592,0.458,0.484,0.403,0.546,0.425,0.369,0.509,0.6,0.795,0.698,0.448,0.334,0.457,0.508,0.228,0.451,0.37,0.248
OW10,0.589,0.528,0.615,0.496,0.323,0.193,0.471,0.0993,0.269,0,0.209,0.115,0.869,0.904,0.335,0.792,0.383,0.627,0.841,0.835,0.328,0.432,0.315,0.596,0.829,0.927,0.197,0.914,0.213,0.937,0.903,0.868,0.887,0.89,0.175,0.206,0.906,0.362,0.77,0.273,0.893,0.886,0.851,0.861,0.198,0.536,0.499,0.82,0.672,0.809,0.869,0.496,0.842,0.638,0.44,0.465,0.242,0.523,0.4,0.355,0.628,0.717,0.906,0.71,0.517,0.201,0.577,0.636,0.339,0.526,0.449,0.356
