Sample,Group,Season
CW1,CW,warm
CW10,CW,warm
CW11,CW,warm
CW12,CW,warm
CW2,CW,warm
CW3,CW,warm
CW4,CW,warm
CW5,CW,warm
CW6,CW,warm
CW7,CW,warm
CW8,CW,warm
CW9,CW,warm
CC1,CC,cold
CC10,CC,cold
CC11,CC,cold
CC12,CC,cold
CC2,CC,cold
CC3,CC,cold
CC4,CC,cold
CC5,CC,cold
CC6,CC,cold
CC7,CC,cold
CC8,CC,cold
CC9,CC,cold
OW1,OW,warm
OW10,OW,warm
OW11,OW,warm
OW12,OW,warm
OW2,OW,warm
OW3,OW,warm
OW4,OW,warm
OW5,OW,warm
OW6,OW,warm
OW7,OW,warm
OW8,OW,warm
OW9,OW,warm
OC1,OC,cold
OC10,OC,cold
OC11,OC,cold
OC12,OC,cold
OC2,OC,cold
OC3,OC,cold
OC4,OC,cold
OC5,OC,cold
OC6,OC,cold
OC7,OC,cold
OC8,OC,cold
OC9,OC,cold
PW1,PW,warm
PW10,PW,warm
PW11,PW,warm
PW12,PW,warm
PW2,PW,warm
PW3,PW,warm
PW4,PW,warm
PW5,PW,warm
PW6,PW,warm
PW7,PW,warm
PW8,PW,warm
PW9,PW,warm
PC1,PC,cold
PC10,PC,cold
PC11,PC,cold
PC12,PC,cold
PC2,PC,cold
PC3,PC,cold
PC4,PC,cold
PC5,PC,cold
PC6,PC,cold
PC7,PC,cold
PC8,PC,cold
PC9,PC,cold
