Sample,Group
OC1,Marco Polo sheep
OC2,Marco Polo sheep
OC3,Marco Polo sheep
OC4,Marco Polo sheep
OC5,Marco Polo sheep
OC6,Marco Polo sheep
OC7,Marco Polo sheep
OC8,Marco Polo sheep
OC9,Marco Polo sheep
OC10,Marco Polo sheep
OC11,Marco Polo sheep
OC12,Marco Polo sheep
CC1,Siberian ibex
CC2,Siberian ibex
CC3,Siberian ibex
CC4,Siberian ibex
CC5,Siberian ibex
CC6,Siberian ibex
CC7,Siberian ibex
CC8,Siberian ibex
CC9,Siberian ibex
CC10,Siberian ibex
CC11,Siberian ibex
CC12,Siberian ibex
PC1,Bharal
PC2,Bharal
PC3,Bharal
PC4,Bharal
PC5,Bharal
PC6,Bharal
PC7,Bharal
PC8,Bharal
PC9,Bharal
PC10,Bharal
PC11,Bharal
PC12,Bharal
