bray_curtis,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,OC11,OC12,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
OC1,0,0.365,0.673,0.734,0.736,0.802,0.311,0.29,0.801,0.692,0.81,0.83,0.764,0.84,0.859,0.846,0.698,0.725,0.851,0.856,0.849,0.866,0.859,0.854,0.871,0.872,0.927,0.838,0.844,0.852,0.881,0.898,0.898,0.789,0.779,0.775
OC2,0.365,0,0.866,0.878,0.855,0.885,0.365,0.337,0.87,0.873,0.897,0.914,0.79,0.921,0.944,0.929,0.812,0.733,0.933,0.941,0.929,0.948,0.944,0.935,0.913,0.869,0.93,0.894,0.926,0.903,0.923,0.948,0.942,0.895,0.886,0.892
OC3,0.673,0.866,0,0.598,0.315,0.503,0.752,0.772,0.317,0.259,0.281,0.542,0.822,0.29,0.683,0.3,0.774,0.828,0.788,0.797,0.272,0.465,0.433,0.764,0.626,0.707,0.906,0.687,0.429,0.372,0.621,0.652,0.361,0.435,0.359,0.265
OC4,0.734,0.878,0.598,0,0.786,0.742,0.853,0.851,0.698,0.674,0.806,0.823,0.842,0.828,0.861,0.842,0.783,0.842,0.882,0.884,0.813,0.845,0.85,0.855,0.796,0.734,0.914,0.822,0.848,0.829,0.741,0.756,0.798,0.788,0.783,0.776
OC5,0.736,0.855,0.315,0.786,0,0.588,0.805,0.793,0.347,0.43,0.317,0.599,0.856,0.373,0.722,0.343,0.834,0.814,0.825,0.836,0.353,0.501,0.461,0.803,0.61,0.686,0.856,0.677,0.468,0.387,0.614,0.638,0.372,0.494,0.426,0.331
OC6,0.802,0.885,0.503,0.742,0.588,0,0.652,0.796,0.534,0.51,0.42,0.122,0.878,0.384,0.239,0.537,0.878,0.878,0.355,0.362,0.522,0.184,0.258,0.327,0.646,0.708,0.927,0.696,0.23,0.663,0.621,0.651,0.634,0.285,0.394,0.536
OC7,0.311,0.365,0.752,0.853,0.805,0.652,0,0.191,0.752,0.661,0.633,0.647,0.829,0.7,0.706,0.779,0.816,0.758,0.667,0.688,0.763,0.69,0.694,0.683,0.897,0.894,0.948,0.875,0.691,0.879,0.857,0.887,0.882,0.58,0.577,0.692
OC8,0.29,0.337,0.772,0.851,0.793,0.796,0.191,0,0.727,0.705,0.766,0.784,0.801,0.844,0.853,0.849,0.783,0.741,0.819,0.834,0.815,0.843,0.838,0.825,0.891,0.892,0.933,0.812,0.84,0.873,0.848,0.886,0.879,0.719,0.709,0.709
OC9,0.801,0.87,0.317,0.698,0.347,0.534,0.752,0.727,0,0.357,0.311,0.557,0.866,0.392,0.732,0.407,0.859,0.863,0.82,0.831,0.351,0.508,0.478,0.794,0.635,0.656,0.916,0.681,0.486,0.426,0.521,0.547,0.371,0.457,0.376,0.295
OC10,0.692,0.873,0.259,0.674,0.43,0.51,0.661,0.705,0.357,0,0.347,0.496,0.826,0.416,0.663,0.43,0.779,0.839,0.746,0.759,0.369,0.424,0.421,0.727,0.654,0.737,0.918,0.685,0.426,0.515,0.607,0.655,0.49,0.329,0.273,0.266
