bray_curtis,OW1,OW2,OW3,OW4,OW5,OW6,OW7,OW8,OW9,OW10,OW11,OW12,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12
OW1,0,0.585,0.421,0.285,0.331,0.458,0.431,0.562,0.532,0.589,0.546,0.546,0.863,0.917,0.624,0.908,0.623,0.933,0.911,0.904,0.899,0.907,0.617,0.62,0.76,0.883,0.954,0.623,0.938,0.727,0.614,0.606,0.639,0.605,0.635,0.611
OW2,0.585,0,0.583,0.582,0.548,0.539,0.575,0.538,0.54,0.528,0.449,0.531,0.531,0.908,0.58,0.904,0.603,0.917,0.919,0.905,0.909,0.905,0.607,0.628,0.721,0.879,0.947,0.612,0.914,0.697,0.468,0.492,0.567,0.596,0.599,0.574
OW3,0.421,0.583,0,0.533,0.54,0.484,0.482,0.597,0.581,0.615,0.549,0.578,0.719,0.919,0.659,0.908,0.689,0.923,0.917,0.903,0.906,0.907,0.689,0.703,0.71,0.844,0.921,0.656,0.899,0.691,0.68,0.676,0.693,0.685,0.685,0.667
OW4,0.285,0.582,0.533,0,0.259,0.421,0.504,0.483,0.461,0.496,0.469,0.463,0.887,0.93,0.543,0.928,0.543,0.939,0.93,0.922,0.915,0.917,0.54,0.545,0.763,0.877,0.956,0.536,0.93,0.731,0.539,0.536,0.552,0.554,0.547,0.531
OW5,0.331,0.548,0.54,0.259,0,0.288,0.525,0.317,0.29,0.323,0.284,0.301,0.833,0.911,0.376,0.897,0.381,0.928,0.907,0.901,0.899,0.9,0.371,0.383,0.727,0.87,0.937,0.516,0.914,0.708,0.46,0.487,0.39,0.539,0.424,0.383
OW6,0.458,0.539,0.484,0.421,0.288,0,0.424,0.188,0.261,0.193,0.237,0.175,0.799,0.885,0.242,0.878,0.278,0.906,0.882,0.867,0.869,0.878,0.258,0.283,0.734,0.851,0.928,0.511,0.906,0.703,0.448,0.473,0.293,0.528,0.407,0.365
OW7,0.431,0.575,0.482,0.504,0.525,0.424,0,0.443,0.452,0.471,0.456,0.45,0.846,0.928,0.552,0.916,0.575,0.941,0.903,0.864,0.883,0.891,0.533,0.552,0.713,0.832,0.906,0.541,0.882,0.68,0.558,0.552,0.576,0.564,0.565,0.54
OW8,0.562,0.538,0.597,0.483,0.317,0.188,0.443,0,0.253,0.0993,0.185,0.0481,0.83,0.92,0.193,0.908,0.202,0.934,0.9,0.867,0.884,0.894,0.171,0.185,0.699,0.825,0.896,0.516,0.869,0.665,0.464,0.489,0.242,0.535,0.414,0.377
OW9,0.532,0.54,0.581,0.461,0.29,0.261,0.452,0.253,0,0.269,0.226,0.239,0.771,0.917,0.367,0.903,0.388,0.93,0.877,0.846,0.861,0.88,0.345,0.373,0.668,0.832,0.906,0.407,0.875,0.592,0.458,0.484,0.403,0.546,0.425,0.369
OW10,0.589,0.528,0.615,0.496,0.323,0.193,0.471,0.0993,0.269,0,0.209,0.115,0.829,0.927,0.197,0.914,0.213,0.937,0.903,0.868,0.887,0.89,0.175,0.206,0.672,0.809,0.869,0.496,0.842,0.638,0.44,0.465,0.242,0.523,0.4,0.355
