Sample,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,OC11,OC12,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
OC1,0,0.615,0.66,0.641,0.675,0.59,0.618,0.647,0.677,0.667,0.745,0.648,0.716,0.654,0.687,0.67,0.708,0.693,0.69,0.691,0.712,0.717,0.721,0.675,0.753,0.689,0.683,0.718,0.715,0.689,0.729,0.672,0.694,0.759,0.705,0.745
OC2,0.615,0,0.632,0.64,0.652,0.615,0.329,0.614,0.626,0.66,0.721,0.634,0.708,0.674,0.693,0.654,0.698,0.681,0.665,0.665,0.672,0.693,0.699,0.686,0.732,0.676,0.673,0.703,0.721,0.69,0.711,0.666,0.686,0.727,0.699,0.695
OC3,0.66,0.632,0,0.659,0.678,0.63,0.624,0.609,0.643,0.659,0.706,0.642,0.715,0.691,0.701,0.661,0.715,0.704,0.675,0.672,0.689,0.706,0.712,0.676,0.744,0.703,0.695,0.702,0.718,0.699,0.721,0.689,0.714,0.754,0.708,0.745
OC4,0.641,0.64,0.659,0,0.655,0.623,0.651,0.684,0.611,0.649,0.723,0.639,0.705,0.657,0.685,0.657,0.697,0.702,0.678,0.681,0.704,0.715,0.728,0.675,0.743,0.693,0.689,0.694,0.718,0.678,0.755,0.705,0.712,0.738,0.71,0.737
OC5,0.675,0.652,0.678,0.655,0,0.631,0.625,0.608,0.584,0.621,0.676,0.578,0.728,0.699,0.716,0.682,0.711,0.698,0.705,0.717,0.648,0.639,0.619,0.692,0.768,0.709,0.702,0.73,0.712,0.711,0.7,0.641,0.647,0.699,0.668,0.67
OC6,0.59,0.615,0.63,0.623,0.631,0,0.602,0.622,0.606,0.64,0.702,0.607,0.713,0.653,0.655,0.623,0.715,0.69,0.66,0.663,0.643,0.658,0.667,0.668,0.722,0.673,0.666,0.684,0.703,0.662,0.693,0.648,0.654,0.718,0.694,0.701
OC7,0.618,0.329,0.624,0.651,0.625,0.602,0,0.549,0.584,0.639,0.69,0.585,0.695,0.674,0.675,0.64,0.691,0.658,0.655,0.663,0.651,0.644,0.648,0.649,0.726,0.67,0.65,0.691,0.717,0.664,0.666,0.623,0.639,0.683,0.673,0.682
OC8,0.647,0.614,0.609,0.684,0.608,0.622,0.549,0,0.597,0.626,0.665,0.56,0.73,0.707,0.706,0.668,0.716,0.66,0.686,0.696,0.604,0.613,0.615,0.694,0.739,0.699,0.679,0.711,0.716,0.691,0.64,0.606,0.621,0.651,0.635,0.654
OC9,0.677,0.626,0.643,0.611,0.584,0.606,0.584,0.597,0,0.587,0.644,0.548,0.698,0.657,0.669,0.656,0.692,0.652,0.678,0.686,0.621,0.609,0.614,0.67,0.746,0.696,0.679,0.697,0.71,0.654,0.674,0.635,0.622,0.659,0.63,0.66
OC10,0.667,0.66,0.659,0.649,0.621,0.64,0.639,0.626,0.587,0,0.639,0.58,0.74,0.7,0.698,0.682,0.724,0.698,0.704,0.709,0.672,0.668,0.687,0.707,0.756,0.705,0.713,0.722,0.712,0.686,0.695,0.659,0.651,0.734,0.669,0.691
OC11,0.745,0.721,0.706,0.723,0.676,0.702,0.69,0.665,0.644,0.639,0,0.651,0.756,0.763,0.752,0.738,0.749,0.708,0.741,0.749,0.679,0.682,0.689,0.753,0.756,0.769,0.758,0.737,0.763,0.743,0.734,0.708,0.707,0.719,0.705,0.72
OC12,0.648,0.634,0.642,0.639,0.578,0.607,0.585,0.56,0.548,0.58,0.651,0,0.739,0.706,0.684,0.672,0.729,0.681,0.678,0.687,0.613,0.596,0.599,0.653,0.752,0.696,0.689,0.712,0.713,0.686,0.659,0.603,0.623,0.681,0.646,0.665
CC1,0.716,0.708,0.715,0.705,0.728,0.713,0.695,0.73,0.698,0.74,0.756,0.739,0,0.688,0.707,0.71,0.233,0.527,0.718,0.714,0.737,0.75,0.758,0.71,0.757,0.719,0.689,0.697,0.702,0.669,0.761,0.735,0.74,0.745,0.72,0.729
CC2,0.654,0.674,0.691,0.657,0.699,0.653,0.674,0.707,0.657,0.7,0.763,0.706,0.688,0,0.546,0.588,0.69,0.695,0.62,0.629,0.665,0.667,0.68,0.605,0.724,0.636,0.65,0.696,0.708,0.66,0.713,0.661,0.679,0.74,0.706,0.699
CC3,0.687,0.693,0.701,0.685,0.716,0.655,0.675,0.706,0.669,0.698,0.752,0.684,0.707,0.546,0,0.599,0.715,0.696,0.617,0.626,0.67,0.675,0.68,0.584,0.721,0.69,0.693,0.726,0.708,0.678,0.704,0.698,0.688,0.743,0.726,0.716
CC4,0.67,0.654,0.661,0.657,0.682,0.623,0.64,0.668,0.656,0.682,0.738,0.672,0.71,0.588,0.599,0,0.699,0.7,0.567,0.575,0.623,0.63,0.644,0.58,0.672,0.61,0.643,0.678,0.69,0.661,0.67,0.638,0.655,0.722,0.687,0.722
CC5,0.708,0.698,0.715,0.697,0.711,0.715,0.691,0.716,0.692,0.724,0.749,0.729,0.233,0.69,0.715,0.699,0,0.504,0.714,0.718,0.724,0.732,0.74,0.714,0.751,0.708,0.685,0.686,0.691,0.663,0.751,0.717,0.724,0.737,0.7,0.704
CC6,0.693,0.681,0.704,0.702,0.698,0.69,0.658,0.66,0.652,0.698,0.708,0.681,0.527,0.695,0.696,0.7,0.504,0,0.716,0.727,0.673,0.661,0.668,0.683,0.74,0.716,0.7,0.695,0.695,0.664,0.695,0.653,0.682,0.696,0.666,0.665
CC7,0.69,0.665,0.675,0.678,0.705,0.66,0.655,0.686,0.678,0.704,0.741,0.678,0.718,0.62,0.617,0.567,0.714,0.716,0,0.212,0.625,0.654,0.658,0.565,0.736,0.652,0.672,0.71,0.715,0.68,0.735,0.67,0.69,0.745,0.704,0.723
CC8,0.691,0.665,0.672,0.681,0.717,0.663,0.663,0.696,0.686,0.709,0.749,0.687,0.714,0.629,0.626,0.575,0.718,0.727,0.212,0,0.64,0.675,0.679,0.571,0.742,0.664,0.679,0.719,0.727,0.689,0.744,0.687,0.704,0.754,0.719,0.736
CC9,0.712,0.672,0.689,0.704,0.648,0.643,0.651,0.604,0.621,0.672,0.679,0.613,0.737,0.665,0.67,0.623,0.724,0.673,0.625,0.64,0,0.296,0.326,0.678,0.737,0.684,0.681,0.708,0.717,0.694,0.646,0.611,0.62,0.681,0.628,0.634
CC10,0.717,0.693,0.706,0.715,0.639,0.658,0.644,0.613,0.609,0.668,0.682,0.596,0.75,0.667,0.675,0.63,0.732,0.661,0.654,0.675,0.296,0,0.231,0.636,0.734,0.69,0.69,0.716,0.709,0.684,0.605,0.578,0.571,0.646,0.626,0.632
CC11,0.721,0.699,0.712,0.728,0.619,0.667,0.648,0.615,0.614,0.687,0.689,0.599,0.758,0.68,0.68,0.644,0.74,0.668,0.658,0.679,0.326,0.231,0,0.649,0.748,0.706,0.695,0.729,0.718,0.697,0.619,0.589,0.595,0.654,0.644,0.648
CC12,0.675,0.686,0.676,0.675,0.692,0.668,0.649,0.694,0.67,0.707,0.753,0.653,0.71,0.605,0.584,0.58,0.714,0.683,0.565,0.571,0.678,0.636,0.649,0,0.738,0.668,0.662,0.715,0.698,0.643,0.695,0.643,0.649,0.716,0.698,0.732
PC1,0.753,0.732,0.744,0.743,0.768,0.722,0.726,0.739,0.746,0.756,0.756,0.752,0.757,0.724,0.721,0.672,0.751,0.74,0.736,0.742,0.737,0.734,0.748,0.738,0,0.689,0.686,0.726,0.722,0.701,0.696,0.704,0.712,0.765,0.736,0.754
PC2,0.689,0.676,0.703,0.693,0.709,0.673,0.67,0.699,0.696,0.705,0.769,0.696,0.719,0.636,0.69,0.61,0.708,0.716,0.652,0.664,0.684,0.69,0.706,0.668,0.689,0,0.523,0.659,0.689,0.649,0.625,0.401,0.596,0.708,0.676,0.691
PC3,0.683,0.673,0.695,0.689,0.702,0.666,0.65,0.679,0.679,0.713,0.758,0.689,0.689,0.65,0.693,0.643,0.685,0.7,0.672,0.679,0.681,0.69,0.695,0.662,0.686,0.523,0,0.666,0.673,0.636,0.629,0.561,0.593,0.665,0.683,0.703
PC4,0.718,0.703,0.702,0.694,0.73,0.684,0.691,0.711,0.697,0.722,0.737,0.712,0.697,0.696,0.726,0.678,0.686,0.695,0.71,0.719,0.708,0.716,0.729,0.715,0.726,0.659,0.666,0,0.676,0.586,0.705,0.672,0.691,0.678,0.637,0.694
PC5,0.715,0.721,0.718,0.718,0.712,0.703,0.717,0.716,0.71,0.712,0.763,0.713,0.702,0.708,0.708,0.69,0.691,0.695,0.715,0.727,0.717,0.709,0.718,0.698,0.722,0.689,0.673,0.676,0,0.652,0.705,0.691,0.696,0.688,0.687,0.713
PC6,0.689,0.69,0.699,0.678,0.711,0.662,0.664,0.691,0.654,0.686,0.743,0.686,0.669,0.66,0.678,0.661,0.663,0.664,0.68,0.689,0.694,0.684,0.697,0.643,0.701,0.649,0.636,0.586,0.652,0,0.708,0.645,0.651,0.689,0.618,0.672
PC7,0.729,0.711,0.721,0.755,0.7,0.693,0.666,0.64,0.674,0.695,0.734,0.659,0.761,0.713,0.704,0.67,0.751,0.695,0.735,0.744,0.646,0.605,0.619,0.695,0.696,0.625,0.629,0.705,0.705,0.708,0,0.572,0.569,0.612,0.682,0.677
PC8,0.672,0.666,0.689,0.705,0.641,0.648,0.623,0.606,0.635,0.659,0.708,0.603,0.735,0.661,0.698,0.638,0.717,0.653,0.67,0.687,0.611,0.578,0.589,0.643,0.704,0.401,0.561,0.672,0.691,0.645,0.572,0,0.493,0.626,0.609,0.617
PC9,0.694,0.686,0.714,0.712,0.647,0.654,0.639,0.621,0.622,0.651,0.707,0.623,0.74,0.679,0.688,0.655,0.724,0.682,0.69,0.704,0.62,0.571,0.595,0.649,0.712,0.596,0.593,0.691,0.696,0.651,0.569,0.493,0,0.63,0.602,0.599
PC10,0.759,0.727,0.754,0.738,0.699,0.718,0.683,0.651,0.659,0.734,0.719,0.681,0.745,0.74,0.743,0.722,0.737,0.696,0.745,0.754,0.681,0.646,0.654,0.716,0.765,0.708,0.665,0.678,0.688,0.689,0.612,0.626,0.63,0,0.623,0.629
PC11,0.705,0.699,0.708,0.71,0.668,0.694,0.673,0.635,0.63,0.669,0.705,0.646,0.72,0.706,0.726,0.687,0.7,0.666,0.704,0.719,0.628,0.626,0.644,0.698,0.736,0.676,0.683,0.637,0.687,0.618,0.682,0.609,0.602,0.623,0,0.579
PC12,0.745,0.695,0.745,0.737,0.67,0.701,0.682,0.654,0.66,0.691,0.72,0.665,0.729,0.699,0.716,0.722,0.704,0.665,0.723,0.736,0.634,0.632,0.648,0.732,0.754,0.691,0.703,0.694,0.713,0.672,0.677,0.617,0.599,0.629,0.579,0
