Sample,OW1,OW2,OW3,OW4,OW5,OW6,OW7,OW8,OW9,OW10,OW11,OW12,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12
OW1,0,0.954,0.935,0.99,0.965,0.964,0.962,0.947,0.914,0.954,0.956,0.948,0.959,0.969,0.956,0.953,0.942,0.959,0.941,0.941,0.94,0.957,0.949,0.948,0.959,0.942,0.953,0.94,0.933,0.961,0.96,0.961,0.96,0.961,0.952,0.943
OW2,0.954,0,0.696,0.979,0.706,0.755,0.73,0.759,0.95,0.689,0.257,0.724,0.686,0.758,0.762,0.677,0.751,0.713,0.778,0.759,0.756,0.732,0.725,0.726,0.742,0.774,0.779,0.743,0.797,0.749,0.741,0.737,0.752,0.763,0.753,0.748
OW3,0.935,0.696,0,0.98,0.676,0.705,0.681,0.726,0.968,0.715,0.693,0.697,0.692,0.783,0.744,0.695,0.686,0.701,0.779,0.763,0.762,0.698,0.678,0.684,0.729,0.757,0.749,0.727,0.745,0.725,0.724,0.722,0.718,0.733,0.723,0.718
OW4,0.99,0.979,0.98,0,0.981,0.89,0.986,0.984,0.975,0.985,0.981,0.984,0.985,0.958,0.984,0.986,0.982,0.986,0.981,0.981,0.98,0.985,0.984,0.984,0.987,0.985,0.986,0.984,0.986,0.987,0.986,0.986,0.985,0.986,0.986,0.985
OW5,0.965,0.706,0.676,0.981,0,0.723,0.665,0.717,0.978,0.676,0.718,0.698,0.662,0.768,0.747,0.688,0.756,0.67,0.778,0.768,0.761,0.681,0.692,0.698,0.695,0.713,0.722,0.7,0.723,0.692,0.69,0.688,0.683,0.69,0.678,0.671
OW6,0.964,0.755,0.705,0.89,0.723,0,0.776,0.797,0.97,0.784,0.771,0.778,0.724,0.809,0.778,0.736,0.768,0.719,0.819,0.814,0.812,0.771,0.778,0.801,0.739,0.794,0.779,0.745,0.832,0.762,0.763,0.771,0.792,0.774,0.799,0.789
OW7,0.962,0.73,0.681,0.986,0.665,0.776,0,0.706,0.974,0.69,0.722,0.704,0.683,0.791,0.775,0.729,0.792,0.712,0.781,0.765,0.761,0.69,0.721,0.709,0.733,0.733,0.732,0.721,0.73,0.728,0.723,0.708,0.717,0.704,0.717,0.713
OW8,0.947,0.759,0.726,0.984,0.717,0.797,0.706,0,0.959,0.689,0.757,0.335,0.666,0.789,0.754,0.736,0.746,0.71,0.745,0.732,0.715,0.669,0.661,0.698,0.687,0.779,0.696,0.661,0.679,0.689,0.637,0.643,0.705,0.719,0.726,0.717
OW9,0.914,0.95,0.968,0.975,0.978,0.97,0.974,0.959,0,0.962,0.947,0.957,0.972,0.975,0.971,0.963,0.973,0.97,0.951,0.946,0.947,0.973,0.972,0.974,0.979,0.979,0.982,0.97,0.977,0.983,0.982,0.982,0.975,0.977,0.975,0.973
OW10,0.954,0.689,0.715,0.985,0.676,0.784,0.69,0.689,0.962,0,0.687,0.687,0.675,0.742,0.768,0.682,0.744,0.661,0.734,0.727,0.723,0.666,0.679,0.647,0.7,0.732,0.724,0.695,0.725,0.704,0.672,0.676,0.688,0.693,0.696,0.675
OW11,0.956,0.257,0.693,0.981,0.718,0.771,0.722,0.757,0.947,0.687,0,0.727,0.699,0.779,0.775,0.71,0.761,0.717,0.769,0.748,0.747,0.722,0.722,0.718,0.745,0.768,0.772,0.732,0.787,0.752,0.742,0.735,0.745,0.757,0.744,0.742
OW12,0.948,0.724,0.697,0.984,0.698,0.778,0.704,0.335,0.957,0.687,0.727,0,0.676,0.786,0.747,0.714,0.745,0.689,0.756,0.741,0.737,0.708,0.708,0.72,0.693,0.758,0.718,0.696,0.722,0.703,0.691,0.69,0.706,0.709,0.713,0.703
CW1,0.959,0.686,0.692,0.985,0.662,0.724,0.683,0.666,0.972,0.675,0.699,0.676,0,0.716,0.675,0.621,0.683,0.621,0.715,0.695,0.69,0.585,0.618,0.629,0.642,0.702,0.64,0.622,0.658,0.639,0.635,0.634,0.648,0.668,0.635,0.628
CW2,0.969,0.758,0.783,0.958,0.768,0.809,0.791,0.789,0.975,0.742,0.779,0.786,0.716,0,0.775,0.686,0.779,0.687,0.771,0.769,0.763,0.71,0.747,0.754,0.769,0.799,0.783,0.771,0.806,0.77,0.756,0.757,0.778,0.775,0.763,0.754
CW3,0.956,0.762,0.744,0.984,0.747,0.778,0.775,0.754,0.971,0.768,0.775,0.747,0.675,0.775,0,0.671,0.673,0.688,0.747,0.736,0.734,0.699,0.668,0.686,0.715,0.743,0.743,0.725,0.766,0.713,0.706,0.709,0.733,0.74,0.735,0.733
CW4,0.953,0.677,0.695,0.986,0.688,0.736,0.729,0.736,0.963,0.682,0.71,0.714,0.621,0.686,0.671,0,0.691,0.623,0.716,0.703,0.69,0.632,0.685,0.674,0.692,0.729,0.711,0.698,0.732,0.701,0.693,0.688,0.699,0.708,0.702,0.683
CW5,0.942,0.751,0.686,0.982,0.756,0.768,0.792,0.746,0.973,0.744,0.761,0.745,0.683,0.779,0.673,0.691,0,0.684,0.76,0.74,0.745,0.703,0.61,0.624,0.692,0.725,0.727,0.707,0.729,0.691,0.677,0.681,0.71,0.734,0.688,0.689
CW6,0.959,0.713,0.701,0.986,0.67,0.719,0.712,0.71,0.97,0.661,0.717,0.689,0.621,0.687,0.688,0.623,0.684,0,0.719,0.711,0.703,0.612,0.66,0.66,0.666,0.694,0.7,0.663,0.724,0.663,0.656,0.66,0.673,0.667,0.677,0.658
CW7,0.941,0.778,0.779,0.981,0.778,0.819,0.781,0.745,0.951,0.734,0.769,0.756,0.715,0.771,0.747,0.716,0.76,0.719,0,0.298,0.27,0.688,0.722,0.69,0.763,0.771,0.761,0.731,0.749,0.764,0.734,0.733,0.762,0.776,0.754,0.732
CW8,0.941,0.759,0.763,0.981,0.768,0.814,0.765,0.732,0.946,0.727,0.748,0.741,0.695,0.769,0.736,0.703,0.74,0.711,0.298,0,0.217,0.67,0.719,0.69,0.749,0.739,0.745,0.718,0.742,0.749,0.722,0.72,0.739,0.76,0.733,0.714
CW9,0.94,0.756,0.762,0.98,0.761,0.812,0.761,0.715,0.947,0.723,0.747,0.737,0.69,0.763,0.734,0.69,0.745,0.703,0.27,0.217,0,0.655,0.699,0.675,0.74,0.751,0.737,0.709,0.732,0.741,0.706,0.701,0.738,0.758,0.738,0.718
CW10,0.957,0.732,0.698,0.985,0.681,0.771,0.69,0.669,0.973,0.666,0.722,0.708,0.585,0.71,0.699,0.632,0.703,0.612,0.688,0.67,0.655,0,0.62,0.618,0.67,0.692,0.653,0.632,0.659,0.662,0.618,0.616,0.662,0.673,0.657,0.649
CW11,0.949,0.725,0.678,0.984,0.692,0.778,0.721,0.661,0.972,0.679,0.722,0.708,0.618,0.747,0.668,0.685,0.61,0.66,0.722,0.719,0.699,0.62,0,0.567,0.669,0.727,0.68,0.669,0.659,0.659,0.607,0.607,0.675,0.688,0.691,0.675
CW12,0.948,0.726,0.684,0.984,0.698,0.801,0.709,0.698,0.974,0.647,0.718,0.72,0.629,0.754,0.686,0.674,0.624,0.66,0.69,0.69,0.675,0.618,0.567,0,0.662,0.672,0.644,0.63,0.654,0.653,0.623,0.616,0.663,0.676,0.659,0.649
PW1,0.959,0.742,0.729,0.987,0.695,0.739,0.733,0.687,0.979,0.7,0.745,0.693,0.642,0.769,0.715,0.692,0.692,0.666,0.763,0.749,0.74,0.67,0.669,0.662,0,0.612,0.558,0.553,0.585,0.212,0.271,0.28,0.595,0.62,0.605,0.603
PW2,0.942,0.774,0.757,0.985,0.713,0.794,0.733,0.779,0.979,0.732,0.768,0.758,0.702,0.799,0.743,0.729,0.725,0.694,0.771,0.739,0.751,0.692,0.727,0.672,0.612,0,0.588,0.569,0.63,0.604,0.63,0.626,0.599,0.581,0.612,0.599
PW3,0.953,0.779,0.749,0.986,0.722,0.779,0.732,0.696,0.982,0.724,0.772,0.718,0.64,0.783,0.743,0.711,0.727,0.7,0.761,0.745,0.737,0.653,0.68,0.644,0.558,0.588,0,0.519,0.552,0.558,0.563,0.561,0.604,0.616,0.597,0.599
PW4,0.94,0.743,0.727,0.984,0.7,0.745,0.721,0.661,0.97,0.695,0.732,0.696,0.622,0.771,0.725,0.698,0.707,0.663,0.731,0.718,0.709,0.632,0.669,0.63,0.553,0.569,0.519,0,0.541,0.548,0.539,0.547,0.579,0.596,0.572,0.556
PW5,0.933,0.797,0.745,0.986,0.723,0.832,0.73,0.679,0.977,0.725,0.787,0.722,0.658,0.806,0.766,0.732,0.729,0.724,0.749,0.742,0.732,0.659,0.659,0.654,0.585,0.63,0.552,0.541,0,0.573,0.555,0.552,0.601,0.617,0.62,0.607
PW6,0.961,0.749,0.725,0.987,0.692,0.762,0.728,0.689,0.983,0.704,0.752,0.703,0.639,0.77,0.713,0.701,0.691,0.663,0.764,0.749,0.741,0.662,0.659,0.653,0.212,0.604,0.558,0.548,0.573,0,0.252,0.255,0.595,0.616,0.597,0.601
