Sample,Group
OW1,Marco Polo sheep
OW2,Marco Polo sheep
OW3,Marco Polo sheep
OW4,Marco Polo sheep
OW5,Marco Polo sheep
OW6,Marco Polo sheep
OW7,Marco Polo sheep
OW8,Marco Polo sheep
OW9,Marco Polo sheep
OW10,Marco Polo sheep
OW11,Marco Polo sheep
OW12,Marco Polo sheep
CW1,Siberian ibex
CW2,Siberian ibex
CW3,Siberian ibex
CW4,Siberian ibex
CW5,Siberian ibex
CW6,Siberian ibex
CW7,Siberian ibex
CW8,Siberian ibex
CW9,Siberian ibex
CW10,Siberian ibex
CW11,Siberian ibex
CW12,Siberian ibex
PW1,Bharal
PW2,Bharal
PW3,Bharal
PW4,Bharal
PW5,Bharal
PW6,Bharal
PW7,Bharal
PW8,Bharal
PW9,Bharal
PW10,Bharal
PW11,Bharal
PW12,Bharal
