Pathway,OC1,OC2,OC3,OC4,OC5,OC6,CC1,CC2,CC3,CC4,CC5,CC6,PC1,PC2,PC3,PC4,PC5,PC6,SUM,Description
ko00230,291028,293660,295541,269937,284116,309284,270973,297233,280516,297162,282037,280348,268464,286043,278925,268456,268978,277403,5100104,Metabolism; Nucleotide metabolism; Purine metabolism
ko00010,274432,279266,284647,258650,268307,286301,253597,275568,266215,289683,267971,274471,260331,277162,270040,252003,256501,270763,4865908,Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00620,233716,238279,243677,220759,230145,262923,218034,242135,230964,253594,229374,236274,220628,239407,233396,215824,220177,230180,4199486,Metabolism; Carbohydrate metabolism; Pyruvate metabolism
ko00520,223441,227124,224802,215140,221446,223028,217375,227550,216103,225692,221330,215277,210623,221312,217987,212340,214317,212388,3947275,Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
ko00720,210736,214280,220430,199761,204896,212312,191751,219085,206463,223067,203620,213457,203438,222007,207749,189273,195784,205906,3744015,Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
ko00240,210086,210307,215383,198727,207973,211039,202231,209287,199235,209769,207354,206158,195311,206486,203075,195408,195157,201462,3684448,Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00500,201365,211349,190679,186274,193351,207576,180443,203134,189718,201359,185356,198513,170067,186071,190587,172213,182848,176650,3427553,Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism
ko00270,172536,175200,171863,160335,163562,176489,166113,176571,168487,172482,171249,168085,160306,170530,165234,166945,162940,164393,3033320,Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00550,171152,167951,169462,156601,164934,164913,162274,158756,152227,169159,167642,166894,151920,159737,164967,161293,158113,170093,2938088,Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis
ko00250,162776,164355,162629,151628,154800,170848,145270,166769,159317,163754,148097,150928,151265,163226,155795,151884,151280,152902,2827523,"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"
ko00680,155797,159106,162241,148766,149919,173384,145339,159629,153021,165796,156209,163566,145827,159173,162865,155620,145965,163689,2825912,Metabolism; Energy metabolism; Methane metabolism
