KO_Pathway_Level3,OW1,OW2,OW3,OW4,OW5,OW6,CW1,CW2,CW3,CW4,CW5,CW6,PW1,PW2,PW3,PW4,PW5,PW6,SUM,Description
ko00230,222967 ,265062 ,271568 ,281417 ,280244 ,219219 ,290842 ,286453 ,273810 ,279059 ,255073 ,255238 ,286806 ,287558 ,275789 ,284439 ,287755 ,287992 ,4891288 ,Metabolism; Nucleotide metabolism; Purine metabolism
ko00010,175440 ,252355 ,261041 ,243551 ,276202 ,177690 ,279676 ,270584 ,252442 ,257754 ,221600 ,220671 ,278520 ,276028 ,268108 ,279245 ,283539 ,285945 ,4560391 ,Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00620,158314 ,213639 ,221423 ,247135 ,239069 ,160025 ,238848 ,230999 ,212911 ,223333 ,190978 ,190556 ,241862 ,239146 ,227521 ,240516 ,246776 ,248038 ,3971088 ,Metabolism; Carbohydrate metabolism; Pyruvate metabolism
ko00520,201378 ,199267 ,211204 ,206421 ,217586 ,155484 ,222750 ,218434 ,210170 ,211849 ,192327 ,194380 ,216529 ,216003 ,212830 ,220893 ,224932 ,224117 ,3756552 ,Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
ko00240,179436 ,199163 ,206076 ,190204 ,206520 ,152521 ,214936 ,211483 ,205591 ,208995 ,191460 ,190896 ,206221 ,207732 ,204872 ,206824 ,211668 ,210862 ,3605460 ,Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00720,149449 ,188904 ,203876 ,187859 ,208346 ,147516 ,218765 ,208185 ,199852 ,208001 ,167433 ,165482 ,219732 ,214355 ,208142 ,220489 ,222577 ,225594 ,3564556 ,Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
ko00500,132096 ,166984 ,178997 ,195489 ,200442 ,160664 ,200299 ,201748 ,181773 ,192462 ,160394 ,158859 ,185382 ,186338 ,172688 ,190270 ,192339 ,189973 ,3247195 ,Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism
ko00270,140191 ,158707 ,157942 ,161767 ,167606 ,156781 ,167660 ,166402 ,162103 ,168489 ,160858 ,163747 ,170344 ,167927 ,160978 ,168041 ,169573 ,170764 ,2939879 ,Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00680,103295 ,158117 ,150887 ,138462 ,163446 ,163955 ,162711 ,158290 ,146883 ,170999 ,197314 ,201285 ,164292 ,163061 ,153230 ,159912 ,166220 ,167611 ,2889969 ,Metabolism; Energy metabolism; Methane metabolism
ko00550,115779 ,169423 ,167193 ,135369 ,173756 ,107921 ,173583 ,173774 ,172055 ,160512 ,145082 ,143159 ,170677 ,175350 ,177072 ,171113 ,172710 ,171892 ,2876421 ,Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis
ko00250,124167 ,143604 ,150721 ,166355 ,149681 ,125440 ,161051 ,155154 ,144197 ,150903 ,140146 ,142537 ,154017 ,153471 ,147483 ,154505 ,157507 ,158538 ,2679478 ,"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"
ko00030,110910 ,131069 ,132025 ,138591 ,146891 ,117350 ,146204 ,147207 ,137549 ,143448 ,124960 ,126478 ,145157 ,145127 ,137314 ,141950 ,148411 ,148086 ,2468725 ,Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00260,113371 ,126882 ,134823 ,145503 ,137157 ,105674 ,143163 ,137272 ,134941 ,140762 ,120569 ,121960 ,141558 ,138907 ,136745 ,145168 ,144961 ,146509 ,2415927 ,"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
ko00052,121131 ,109545 ,125171 ,124467 ,137159 ,108727 ,132216 ,134716 ,129162 ,131562 ,112408 ,112039 ,127848 ,127179 ,121881 ,128671 ,134718 ,135505 ,2254104 ,Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00710,85114 ,118256 ,123828 ,105112 ,126187 ,78892 ,128546 ,126894 ,121056 ,121053 ,98516 ,97526 ,128095 ,127217 ,124711 ,128692 ,129683 ,131310 ,2100688 ,Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms
ko00020,90315 ,113279 ,122383 ,125731 ,119205 ,77126 ,127874 ,118496 ,116111 ,116941 ,103488 ,103904 ,124688 ,122375 ,118551 ,126522 ,125747 ,128566 ,2081302 ,Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00650,85805 ,107388 ,119488 ,140294 ,117900 ,81214 ,124931 ,118933 ,116151 ,114332 ,96875 ,97589 ,122133 ,121029 ,118700 ,125839 ,124411 ,125201 ,2058215 ,Metabolism; Carbohydrate metabolism; Butanoate metabolism
ko00630,92018 ,101737 ,105058 ,157978 ,107244 ,82813 ,113302 ,106346 ,107044 ,107656 ,93695 ,95166 ,113062 ,110224 ,110830 ,116437 ,117138 ,118560 ,1956308 ,Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
ko00051,100758 ,102138 ,111600 ,109403 ,106782 ,78007 ,114587 ,109780 ,107326 ,107063 ,93308 ,93638 ,113686 ,112097 ,109175 ,114740 ,114418 ,116053 ,1914560 ,Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00300,77508 ,93570 ,100557 ,94622 ,103319 ,80971 ,103235 ,102891 ,101159 ,106940 ,93965 ,95084 ,104048 ,103523 ,99689 ,103457 ,104673 ,105174 ,1774384 ,Metabolism; Amino acid metabolism; Lysine biosynthesis
ko00190,102825 ,92110 ,93528 ,124411 ,89183 ,96171 ,98348 ,90511 ,102794 ,97373 ,82482 ,81197 ,91477 ,90627 ,92099 ,95170 ,95085 ,95929 ,1711320 ,Metabolism; Energy metabolism; Oxidative phosphorylation
ko00670,76243 ,85496 ,90983 ,89096 ,93739 ,70119 ,96154 ,95342 ,95452 ,95652 ,76476 ,75473 ,97828 ,96117 ,94892 ,95856 ,97414 ,98077 ,1620408 ,Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate
ko00220,62753 ,81630 ,87855 ,108306 ,92569 ,80580 ,96074 ,93238 ,89026 ,91945 ,86227 ,87932 ,93956 ,92761 ,88971 ,95154 ,94583 ,94589 ,1618148 ,Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00640,64190 ,79456 ,81588 ,129666 ,84605 ,59966 ,86827 ,82224 ,81001 ,78723 ,71738 ,71915 ,88329 ,86895 ,85950 ,86196 ,91844 ,92068 ,1503179 ,Metabolism; Carbohydrate metabolism; Propanoate metabolism
ko00040,65910 ,76753 ,81392 ,76929 ,88369 ,63459 ,88694 ,85801 ,79881 ,85540 ,77730 ,79613 ,90895 ,90226 ,79437 ,86302 ,90054 ,91218 ,1478204 ,Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00400,74716 ,74434 ,73197 ,82213 ,81328 ,87758 ,79371 ,79542 ,75842 ,80482 ,88924 ,90064 ,77782 ,77358 ,74751 ,76396 ,79045 ,80189 ,1433392 ,"Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
ko00541,99802 ,74545 ,81035 ,85695 ,72589 ,61528 ,81191 ,73211 ,75208 ,75061 ,80236 ,82846 ,71997 ,70933 ,76461 ,79906 ,73462 ,73427 ,1389131 ,Metabolism; Glycan biosynthesis and metabolism; O-Antigen nucleotide sugar biosynthesis
ko00760,73980 ,69766 ,70093 ,74543 ,68553 ,59120 ,75078 ,71057 ,66212 ,69464 ,67972 ,68215 ,68648 ,67292 ,70261 ,71620 ,69150 ,70248 ,1251272 ,Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00730,70303 ,70884 ,70015 ,60165 ,67832 ,59889 ,72236 ,69059 ,70938 ,67465 ,65047 ,65374 ,69928 ,69233 ,70466 ,70129 ,71847 ,71601 ,1232412 ,Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism
ko00564,64539 ,65394 ,65612 ,65732 ,67843 ,58924 ,67249 ,68497 ,67344 ,69742 ,65408 ,66047 ,66978 ,66557 ,66695 ,64491 ,68403 ,68180 ,1193634 ,Metabolism; Lipid metabolism; Glycerophospholipid metabolism
ko00983,65832 ,65324 ,69948 ,67133 ,65861 ,50762 ,68863 ,68981 ,67597 ,68221 ,61437 ,60796 ,66147 ,66637 ,66948 ,68001 ,67904 ,67473 ,1183865 ,Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00900,59602 ,63521 ,67753 ,66488 ,63200 ,54119 ,67604 ,67304 ,69628 ,66546 ,64389 ,65296 ,64835 ,65623 ,65627 ,67339 ,66099 ,66514 ,1171488 ,Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00511,70215 ,48496 ,67990 ,52314 ,59534 ,26203 ,69074 ,65076 ,61560 ,63359 ,46821 ,46956 ,69741 ,67250 ,70383 ,71339 ,72940 ,74799 ,1104049 ,Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation
ko00770,60022 ,53444 ,55123 ,71519 ,53487 ,61521 ,58734 ,56179 ,65019 ,56185 ,60292 ,61274 ,54184 ,53978 ,56935 ,57865 ,56996 ,58485 ,1051242 ,Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00340,45864 ,50838 ,52865 ,64381 ,56143 ,59542 ,55828 ,54551 ,56885 ,55255 ,59394 ,60968 ,57065 ,56023 ,55516 ,59004 ,60279 ,60169 ,1020570 ,Metabolism; Amino acid metabolism; Histidine metabolism
ko00470,44539 ,55383 ,54300 ,56348 ,55862 ,53022 ,58116 ,56382 ,57967 ,58869 ,52658 ,52383 ,58335 ,58410 ,54835 ,57132 ,58150 ,58957 ,1001649 ,Metabolism; Metabolism of other amino acids; D-Amino acid metabolism
ko00061,65009 ,53719 ,62680 ,74401 ,48050 ,52465 ,59116 ,53494 ,58433 ,50064 ,43554 ,42341 ,51777 ,52015 ,57422 ,59798 ,51589 ,52944 ,988871 ,Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00561,46194 ,48234 ,48162 ,60265 ,60656 ,53357 ,54529 ,57144 ,54730 ,56001 ,50035 ,49149 ,55920 ,56128 ,50882 ,51766 ,55721 ,55724 ,964598 ,Metabolism; Lipid metabolism; Glycerolipid metabolism
ko00860,57370 ,53328 ,41526 ,58376 ,49906 ,111821 ,43525 ,44843 ,44380 ,48485 ,68528 ,66970 ,38112 ,38827 ,37152 ,36293 ,38174 ,38129 ,915744 ,Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism
ko00600,56686 ,38929 ,53001 ,37932 ,51026 ,29062 ,53522 ,53115 ,53354 ,53646 ,39063 ,38677 ,55353 ,54135 ,54388 ,57331 ,57807 ,59127 ,896156 ,Metabolism; Lipid metabolism; Sphingolipid metabolism
