#OTUID	CW1	CW2	CW3	CW4	CW5	CW6	CC1	CC2	CC3	CC4	CC5	CC6
GT2	161121	157986	155327	157305	164180	160013	153518	164543	159921	161894	154270	158082
GH13	112967	111334	107589	109603	85526	84725	101711	115108	105131	112709	105261	111588
GT4	102482	96745	99503	96337	95562	96906	97187	103065	98199	96446	97159	96589
GH2	59960	62770	57173	60361	46171	46080	60723	64552	59063	64170	62804	63285
CBM50	60191	64418	61056	55520	49387	49562	58098	57025	55029	61873	61581	61802
GH3	55799	59851	53698	56111	44280	43302	54120	62138	55234	61322	56268	60397
GH28	50284	47932	45628	44678	36958	36261	44710	45591	44936	50366	45977	47800
GH43	47309	43508	42173	42792	29054	27574	45888	45657	42704	48001	44171	37718
CBM48	33066	33070	30678	32724	26426	26518	29821	34331	30799	33939	30728	32716
GT1	31013	30986	27890	27335	22121	21571	27422	29869	30603	33054	29471	31393
GT51	29842	29751	30395	26775	23441	23098	24791	28073	26474	29056	25194	25921
GH5	30816	28046	26019	24937	21661	21476	24333	29313	29320	29379	23559	26898
GH35	24326	23561	20389	23331	18648	18777	23230	25999	24176	25383	23315	22893
CE8	22723	23026	22174	20862	16890	16939	21625	21781	22184	24248	22179	23253
GT35	21183	22055	21609	21305	17691	17900	20707	21515	20828	23775	22066	23260
GH23	19788	18250	21872	16406	16317	16109	19943	18280	18047	16973	19414	19655
GT28	17713	17418	17903	17158	16458	16447	16715	17694	16406	19003	17652	18069
GH34	19142	18026	18376	16103	12425	12418	16207	18030	17270	20168	17293	18249
GH78	16352	16796	11686	16073	13277	14038	18579	18918	16979	16897	18102	17176
GH31	16823	16834	18336	17182	12019	11539	16040	17341	16372	17794	16821	16381
GH38	15600	15354	13304	13536	11657	12659	19901	16651	15814	17423	20546	17926
CBM13	16913	16280	13621	14532	14116	14282	14415	16099	16321	17198	14692	16160
CE4	14830	15882	15725	14177	14227	14087	15671	14967	14947	15855	16067	16657
CE9	13432	14015	13678	14131	12227	12652	13704	15910	13978	15162	15032	14885
GH77	14173	14342	14064	14425	11263	10999	14987	14843	13062	14501	15446	14697
GH20	13832	11662	14114	13378	8712	8929	12705	16495	15965	12539	11670	10782
GT9	13809	12862	14725	11168	10065	9841	12903	13422	13150	13551	12478	11881
GT5	12522	12585	11288	12071	10843	10425	11581	12419	12467	12893	12337	12881
GH36	10875	10408	12271	11627	8427	8410	12482	12782	11531	11754	12851	12305
GH6	11818	11260	10942	9930	8345	8254	10146	11152	10641	13138	10764	11829
GH29	12028	10072	9282	10630	7110	6898	11679	12655	12726	11165	10856	10157
GT32	11292	10220	10171	9160	8623	8847	10555	10042	9631	10336	10482	10324
CBM91	10710	10371	9303	9071	7156	7007	9437	10583	10566	11904	9877	9859
GT77	11224	10358	10308	9361	7731	8039	9381	9295	9256	10699	9228	9614
GH10	10316	8963	9049	8704	7145	7022	8952	10173	10676	12011	9226	7892
GT106	9464	9387	8247	10282	7075	7196	8324	9881	9097	10027	9647	10447
GH47	9048	9170	7998	8191	7633	8015	8869	9250	8349	10850	9626	10674
GH73	9435	9159	9289	9312	7713	8113	8420	7975	8257	8123	9105	9420
GT116	9741	9206	9380	8553	6762	7564	8513	8566	8939	9261	8436	8897
GH25	8200	8752	6882	9166	9406	9151	7667	8843	8810	8654	8323	9526
CBM32	10065	8534	8342	7574	4445	4348	8662	10124	9574	9670	9343	9779
GH33	8373	7405	9013	6778	5828	5690	9105	9523	10212	8201	9035	8832
GT19	8937	8111	9376	8250	6327	6864	8266	8869	8247	7707	8094	7460
GH51	8672	8240	7190	8078	4657	4513	9413	9220	8072	10187	9653	7507
GH97	11342	8202	7862	9235	4462	4171	8128	10248	8734	7944	7234	7702
GH92	8729	8736	6374	7954	5270	5008	8595	11828	10728	7556	7249	6177
CE14	8533	8103	8409	6707	6736	6748	7972	8304	7999	8585	7789	7709
GT58	8151	7536	8201	8188	6123	5961	7446	8457	7672	8642	8161	8038
GH94	7270	7851	7393	6273	5445	4746	7028	6669	7368	9437	7542	9302
GT66	6871	7185	6651	7528	7630	7535	6915	6954	6470	7192	7166	7467
