#OTUID	CW-a	CW-b	CW-c	CW-d	CW-e	CW-f	CC-a	CC-b	CC-c	CC-d	CC-e	CC-f
CBM90	0	0	0	0	0	0	0	0	0	0	0	0
PL39	0	0	0	0	0	0	0	2	0	0	0	0
CBM52	0	0	0	0	0	0	0	0	0	0	0	0
GH119	1	1	0	0	0	0	0	4	6	8	3	0
GT112	0	0	0	0	2	2	0	16	0	4	1	7
GT108	10	3	4	6	0	3	40	54	46	102	55	43
GT91	0	0	0	0	6	11	0	0	0	0	0	0
GH169	3	0	0	0	0	18	0	0	0	0	0	0
GT59	0	0	0	0	8	27	0	0	2	0	0	0
GH68	0	0	0	0	0	0	0	11	0	0	0	0
GH147	3	15	17	14	24	29	16	15	28	10	27	26
GH131	1	0	0	1	9	11	0	2	2	1	0	0
AA7	3	0	0	3	35	36	0	20	12	6	0	0
CBM59	15	2	5	0	53	23	14	9	9	15	13	29
GT95	3	0	0	0	17	16	0	0	4	0	0	0
GH22	0	0	0	0	16	5	0	0	28	0	0	0
GT45	0	0	0	0	0	0	0	0	0	0	0	0
GT76	5	7	0	0	64	35	0	20	53	5	0	3
GT24	4	0	0	0	76	78	0	9	7	4	0	0
GT21	15	0	2	1	15	10	14	4	6	13	4	10
GT74	0	0	6	14	5	2	14	2	12	2	27	62
CBM78	36	20	29	1	9	16	72	76	259	225	61	156
GH159	31	28	60	122	27	20	107	112	88	59	119	71
PL31	39	7	14	3	8	9	55	39	110	81	51	188
GT80	14	17	13	20	13	3	64	8	0	16	69	46
PL30	0	0	0	0	0	0	0	0	0	0	0	0
CBM17	4	22	4	0	9	8	7	12	10	12	22	29
GH46	8	43	8	9	11	16	54	9	109	52	59	119
CBM10	36	22	15	19	6	5	39	111	59	73	22	45
GH70	1	10	14	8	63	43	7	7	24	3	9	3
CBM73	2	8	12	13	0	1	7	4	4	6	8	39
CE13	0	0	0	0	6	14	0	0	4	2	0	0
GH129	176	135	89	43	92	100	193	247	244	184	208	357
GH149	5	19	10	0	32	22	0	0	6	13	1	0
GT49	17	7	14	9	27	33	0	10	13	28	13	7
CBM83	17	72	26	28	20	12	53	6	8	18	42	29
