#OTUID	OW1	OW2	OW3	OW4	OW5	OW6	OC1	OC2	OC3	OC4	OC5	OC6
GT2	193254	151916	157409	182021	160065	154381	164187	159753	159242	156336	159171	179691
GH13	77824	97429	102680	128971	107640	81464	110642	111414	107242	101187	103191	121107
GT4	130462	92369	99878	111118	97341	73394	99730	98570	97164	98184	99676	99863
CBM50	53587	59085	55558	62432	59938	42756	59622	59573	59952	58583	60275	61527
GH2	51676	45435	56765	49156	60287	31378	64108	69132	59822	59711	57720	56468
GH3	33527	44983	47535	58189	55280	38095	56919	63205	55329	53517	56896	66321
GH28	28444	43058	47906	38095	45967	20520	48305	49864	50526	46801	49707	46960
GH43	35377	33530	46996	31860	40091	14519	51529	50336	44794	51074	52979	38454
CBM48	20237	27058	28308	37723	32740	25880	32334	33238	30310	29833	30779	36366
GT1	13732	29612	30680	29066	31556	16999	30657	31568	32348	29956	30561	31434
GT51	20729	28181	30499	28315	27748	15995	29112	28925	30176	28242	30496	29564
GH5	17276	24821	30943	27075	28652	14505	31545	32772	28597	30436	30762	26704
GH35	22125	19661	22874	20600	22153	13617	24871	25562	24823	23665	24802	23945
GH23	27162	18620	21628	28091	16594	18874	18895	18191	19526	20063	20254	17262
CE8	12139	19098	20127	19168	21649	12361	23116	24339	23559	20854	22781	22700
GT35	12314	18370	20771	17166	22575	12982	22904	23503	22782	20343	21632	22195
GH34	8417	17788	18555	19298	18909	7813	18035	18841	18596	17154	18931	20555
GT28	9598	18606	16569	19117	17750	11244	17764	17884	18514	16137	17620	20221
CBM13	17807	16267	17047	17268	16054	9438	17405	16564	16472	16556	17246	18298
GH31	10962	14418	16767	12663	15201	7715	17901	18538	16505	17520	18572	15492
CE4	12003	13273	14714	12300	16430	12266	15413	15592	14999	14433	14641	15432
GH38	5655	13300	12715	14636	17129	4396	13896	17405	16359	14006	13855	18291
CE9	8950	12602	11839	16113	14336	8992	13200	13689	15065	12847	12483	17409
GH78	6195	12029	14032	10542	14226	6676	15681	17074	16721	14560	14753	14997
GT9	10088	14120	13805	16015	12964	6801	13482	12868	13493	13601	13258	14159
GH77	9637	11415	11682	11421	14492	12833	13887	14378	13316	12623	12394	13809
GH20	21237	9082	13618	9047	9322	3502	14383	14448	15760	14939	13885	8050
GT5	8882	11391	11287	7851	13178	8237	12396	12779	12746	11841	11260	11899
GH6	5019	11338	10266	9415	11518	5575	11909	12217	13090	10415	12018	12914
GH36	8150	8362	8903	8685	12330	9870	11803	12610	11635	10197	10184	10685
GH10	5766	8032	10915	9184	9878	11190	10840	10901	10373	12461	13299	9913
GH29	15968	8028	12282	7092	7883	2702	11194	11713	11905	11776	11119	7835
GT32	9443	10099	10943	8381	10041	6222	11053	10603	10751	10102	10205	9866
CBM91	6021	7946	10306	8499	10109	3237	11831	12013	11414	11600	12242	10045
GH25	6387	8784	7670	14869	9652	12572	8832	8286	7573	7779	8119	11285
GT77	5938	10551	9902	8503	9993	5855	10208	10444	10642	9799	9823	9658
GH73	9347	9526	9225	7913	9022	11405	9344	8599	9527	9684	8764	7058
CBM32	18714	5966	6936	7240	6640	4535	9912	12712	9981	8998	8347	8065
GT116	6730	9866	9387	7278	8950	5223	9115	9031	9472	9493	9296	8819
GH1	3561	7533	4718	14535	9845	19321	6845	6564	6325	5393	5901	12019
GH97	9103	6058	12168	6028	5512	1882	10682	11121	8735	11170	11638	6189
GH47	2298	8247	7910	8601	10339	4363	8919	10010	10339	8137	9244	11119
GH51	5489	6250	8016	7605	8021	3239	9869	10606	8876	10072	11564	8698
GH92	12589	5748	12003	6277	4765	1075	10077	9840	9475	10973	9393	5737
GT106	5389	7658	7725	7746	9344	3951	8901	9801	9446	8448	8200	9068
GT19	11736	7854	9058	5896	6488	2738	9155	8531	8675	8922	9100	6356
CE14	8454	7134	8427	9352	7835	3100	8063	7877	8497	7919	7770	8489
GH33	8951	6516	8277	5826	6351	3456	8837	9278	9459	8840	8157	7371
GT58	5020	7228	7581	7706	8306	6724	8290	8164	8038	7078	7416	8317
GH94	1722	7346	8884	5023	9238	3832	8531	9389	8361	8621	9509	7737
