#OTUID	OW-a	OW-b	OW-c	OW-d	OW-e	OW-f	OC-a	OC-b	OC-c	OC-d	OC-e	OC-f
CBM90	0	0	0	0	0	0	2	0	0	2	0	0
PL39	0	0	0	0	0	0	0	0	7	0	14	0
CBM52	2	0	0	0	0	0	0	13	0	1	0	0
GH119	0	2	0	12	2	0	3	3	13	3	16	9
GT112	0	6	0	50	16	0	6	2	0	5	0	0
GT108	84	40	20	5	81	26	25	84	56	67	43	81
GT91	0	0	2	0	0	0	0	0	2	2	0	0
GH169	0	5	0	0	0	0	0	0	0	0	0	0
GT59	0	0	0	2	0	0	0	0	0	2	0	2
GH68	0	14	0	0	13	0	0	0	0	0	10	0
GH147	0	34	53	38	2	0	0	16	39	33	35	26
GH131	1	0	0	1	0	0	0	0	1	1	1	2
AA7	0	0	6	104	1	0	0	0	1	2	3	18
CBM59	11	13	3	8	62	0	15	24	33	15	38	13
GT95	0	0	0	1	0	0	0	0	0	0	0	7
GH22	0	15	0	0	0	0	0	0	0	0	0	0
GT45	0	0	0	11	0	0	0	0	0	0	0	1
GT76	1	7	12	253	4	0	8	9	22	2	18	119
GT24	6	0	20	7	2	0	0	0	1	12	10	26
GT21	0	1	33	242	12	0	22	20	15	9	49	33
GT74	0	0	13	4	1	0	11	0	18	1	16	27
CBM78	0	28	85	123	147	0	164	132	308	156	197	92
GH159	992	46	99	118	30	82	130	58	67	21	30	83
PL31	0	5	19	210	39	0	91	55	92	56	146	101
GT80	0	16	7	5	15	0	27	47	41	3	48	23
PL30	0	0	0	0	0	0	2	0	2	0	0	0
CBM17	0	29	7	0	2	0	3	6	22	11	6	18
GH46	119	9	21	0	0	1	45	52	98	67	28	9
CBM10	2	47	36	324	28	83	17	32	51	72	78	141
GH70	15	49	5	38	52	5	32	9	2	13	3	33
CBM73	0	9	5	7	1	0	17	7	5	0	12	0
CE13	0	0	2	2	0	0	0	0	0	0	8	2
GH129	227	142	137	153	168	35	272	287	209	348	301	473
GH149	0	2	6	27	3	0	33	13	16	5	3	9
GT49	5	8	9	29	19	19	16	31	33	4	20	37
CBM83	28	72	45	35	11	10	24	33	14	36	3	9
CBM11	9	0	0	0	0	0	29	32	0	10	7	0
GT57	15	3	35	42	7	69	23	22	38	69	93	49
GH126	395	26	38	84	54	64	87	58	51	53	72	72
AA5	139	243	225	174	185	65	226	206	204	163	160	206
PL42	120	13	264	92	45	10	194	226	176	231	382	58
GH138	0	23	221	46	61	0	163	102	108	81	112	55
CBM75	0	0	4	9	20	0	19	33	12	2	9	0
GH139	0	61	192	53	78	0	164	94	104	124	115	69
CBM56	3	33	35	66	51	49	67	108	74	45	38	69
GT107	0	14	34	0	0	0	23	31	22	29	27	7
GH144	2237	101	208	149	82	165	200	168	150	402	122	58
GH135	0	57	41	1000	16	43	22	51	59	51	108	577
GH93	17	38	43	906	71	0	98	108	121	35	74	360
GT50	24	309	79	76	162	628	41	72	89	74	67	199
GT85	0	0	0	45	0	0	2	0	0	2	1	4
CBM89	0	11	87	71	20	0	203	157	105	139	130	17
CBM60	0	1	3	0	4	0	33	4	4	8	7	3
CBM97	0	64	282	63	64	0	183	201	145	115	170	84
GH96	0	57	52	61	120	45	95	89	86	112	193	99
GH52	0	5	5	11	16	0	5	11	27	10	15	6
GH86	40	195	113	174	196	78	183	199	130	184	197	104
GT92	0	139	155	102	149	7	149	189	207	177	143	112
GT10	1321	218	272	253	395	596	401	699	391	381	440	316
CBM63	0	11	24	54	38	0	125	87	84	161	135	63
GH176	99	62	94	1074	202	73	78	101	125	99	127	665
CBM18	5	65	45	30	91	41	35	33	50	35	59	39
GH98	193	16	198	120	51	0	290	300	239	280	385	65
GT55	0	0	0	0	0	0	0	18	19	0	0	0
GT23	493	39	29	77	50	67	85	90	63	70	141	33
CBM93	1053	655	973	358	527	54	654	571	483	757	775	341
GT31	77	220	307	503	322	88	352	317	461	432	411	359
GT56	5	18	5	0	11	0	0	48	37	4	3	10
GT97	0	21	21	2	0	19	0	5	19	0	8	9
GH114	0	231	112	2607	119	48	193	322	246	46	283	1485
GH166	2	75	32	41	117	153	30	5	11	3	9	11
GH107	0	32	18	2	16	0	12	30	18	12	13	0
GH59	64	31	26	84	61	20	169	106	64	82	82	58
GH111	0	4	4	6	0	0	10	4	2	4	11	6
PL40	9	7	25	69	63	3	131	41	133	114	91	30
GH44	0	40	138	326	285	0	580	578	378	448	505	149
CBM68	182	16	18	99	35	10	61	41	57	44	35	112
AA9	45	219	197	230	202	67	181	130	238	148	156	251
GT15	40	28	52	76	52	1	116	82	48	59	47	123
PL26	59	19	127	348	94	28	340	237	263	174	188	119
GH102	0	38	63	23	11	15	28	46	72	47	81	13
GT64	19	165	63	112	81	408	23	43	98	69	32	180
CE16	0	11	0	16	5	0	2	9	3	5	4	6
PL4	1	19	62	1832	25	15	79	108	91	52	142	828
CBM3	64	436	899	969	1213	60	1508	1851	1394	1521	1828	812
GT105	192	793	742	1096	916	421	918	913	866	732	983	997
GT99	2	5	35	61	43	9	19	56	25	115	34	28
PL14	0	3	20	66	0	0	75	107	69	199	63	5
GT113	183	699	478	128	349	548	293	191	207	246	132	269
GH172	3018	778	751	432	928	1122	814	822	930	728	617	876
GH137	74	172	425	184	201	16	348	383	351	240	351	246
CBM47	54	214	209	715	207	56	266	261	192	240	353	408
GT62	2	22	17	136	70	34	25	24	34	12	26	82
GH177	4	285	757	275	273	50	740	695	637	590	772	365
CBM27	34	142	91	90	133	50	115	96	203	101	134	105
GH108	14	598	151	232	77	230	307	239	162	351	684	123
GH120	1444	1100	975	872	1843	2156	1256	1640	1542	1918	1894	1651
GH151	294	1251	1374	991	1558	584	1137	1426	1623	1235	1194	1311
CBM4	361	1435	2973	1702	2352	491	2609	2748	2093	2935	3086	1601
GH175	304	766	776	685	1087	234	997	1180	1187	1059	875	1080
GT17	82	688	498	238	603	306	520	559	520	658	480	572
PL10	369	169	845	402	355	16	1240	787	813	806	852	336
PL41	0	0	0	0	0	0	0	0	0	0	0	0
GH128	159	350	781	289	311	70	477	535	377	796	456	206
CBM16	161	492	432	779	843	247	640	668	569	646	740	823
CBM23	300	238	298	309	393	83	284	341	459	206	349	336
GT7	55	95	62	208	85	134	93	138	99	106	125	113
GH37	228	434	413	427	586	14	498	714	666	514	448	667
CBM37	671	1421	1826	1894	3048	1037	3162	3550	3285	2606	3740	2731
GH123	2960	2092	3108	2786	3225	912	3575	4135	4031	3471	3399	3124
GH130	8855	4579	6757	4431	6076	3834	6568	6740	6800	6630	7346	6374
GT93	0	0	0	11	0	0	0	0	0	0	0	2
GH74	113	421	977	783	979	34	1271	1510	1087	1163	1419	703
GH12	657	2998	2909	4715	4017	2423	3789	4137	3905	3176	3438	4996
GH77	9637	11415	11682	11421	14492	12833	13887	14378	13316	12623	12394	13809
GH18	8261	6603	6896	4934	6586	5683	6945	7913	7463	7773	7026	7235
GH121	83	13	15	19	19	15	52	93	102	165	73	162
GT90	1575	2275	1984	3512	3026	3765	2642	2668	2755	2458	2285	3583
GT60	0	26	0	0	0	0	0	0	0	0	0	0
AA15	0	21	20	50	7	107	21	39	18	42	17	15
GT5	8882	11391	11287	7851	13178	8237	12396	12779	12746	11841	11260	11899
GT22	1316	1589	1288	3844	1495	1416	1282	1611	1561	1153	1416	3297
GH164	0	64	130	41	2	0	60	20	82	87	21	2
