#OTUID	PW1	PW2	PW3	PW4	PW5	PW6	PC1	PC2	PC3	PC4	PC5	PC6
GT2	150998	150060	155035	159542	158736	157552	150266	155619	161498	148028	157277	153292
GH13	106258	106304	104681	110132	113961	112777	100003	106631	105609	97386	101936	101544
GT4	94485	94490	99242	98813	98430	98646	99081	96652	99284	93930	97569	94472
GH2	62180	60918	57157	61390	63632	64223	58998	61765	61803	58143	58124	59463
CBM50	62419	61245	60764	59871	62730	62460	54795	57669	59566	58053	58273	61639
GH3	53210	53837	47587	52471	53744	52624	48513	56182	55010	49568	52081	52640
GH28	47671	48656	47891	49693	48112	48949	43998	47371	48252	43506	44728	48926
GH43	40123	40982	41288	48944	43248	42857	43054	47532	52198	43001	46360	45081
CBM48	31038	30781	28701	32024	33970	33143	27978	30781	32347	28185	29633	29032
GT1	31642	31834	30150	31460	31590	32168	28686	31394	30462	27315	29398	30416
GT51	28955	29227	29330	29180	27912	28626	28047	28408	27539	26813	27092	28192
GH5	27104	27673	25621	30119	27165	26444	25661	28229	29335	23591	30055	25883
GH35	23360	23566	22143	23689	24629	24624	22896	25190	23686	23516	23481	22829
GT35	22287	22040	21335	22637	23019	23088	20964	22072	22347	20725	20720	21412
CE8	22249	22388	20657	22094	21801	22175	20400	22343	22130	20944	21224	22399
GH23	19038	17870	20313	18892	18771	19207	21997	20940	19517	18394	19625	20341
GH34	18683	18969	18664	19182	18527	18308	16728	17850	17754	15238	16610	17442
GT28	17416	18020	18338	17838	17896	17968	16132	16831	18005	17063	16347	18325
GH31	17129	17363	14190	18348	16918	16335	15534	16965	17416	15901	17366	16922
CBM13	15367	15525	16706	16698	16538	16788	14608	15458	17516	15079	15814	15497
GH78	17163	16616	16123	13887	16663	16972	15986	17693	14938	15654	13729	14882
GH38	16061	15742	13888	14798	16280	16532	12631	15059	15415	15632	14394	15489
CE4	15719	16159	14167	14243	16329	15689	13424	14082	15664	14888	15268	15564
GH20	13259	12776	16256	14962	15298	15986	20260	18134	12806	12788	13626	12750
CE9	15571	14923	13646	14004	16401	16566	13758	13930	13734	15214	12880	14123
GH77	14405	14123	13559	14180	14541	14607	13201	13558	13900	13638	12979	13682
GT9	13175	13126	13529	13384	12992	12471	12344	13113	12935	11284	12711	12717
GH29	11448	10664	11834	11771	12084	12900	14609	14657	11424	10561	11750	11482
GT5	12261	12317	11794	11897	12676	12729	11105	12093	12545	11648	11666	11940
GH6	11926	12013	11330	12312	12920	12771	10587	11697	11479	9768	9826	11460
GH10	10222	10370	8961	11579	10423	10080	9900	12505	14464	11080	12743	12784
GH36	12156	11626	9738	10492	11346	11542	11357	10981	10565	12086	10950	11278
GT32	11421	11110	10793	10688	10839	11056	10855	10539	10221	9606	10076	10465
CBM91	9116	9449	9590	11848	10011	9573	9292	10688	11968	9694	11178	11060
GH97	7393	7404	10647	11342	10842	11712	12224	11727	11047	7350	9253	8574
CBM32	8688	8504	9076	9650	11310	11651	10715	11001	9690	8778	9382	8854
GT77	9962	9821	10126	10087	10156	9805	9066	9520	9646	8895	9596	9956
GT106	10212	10201	8800	10316	10442	10492	8681	9099	8950	8251	8452	8105
GH92	8059	7518	9645	9401	8619	9553	12855	12451	8903	7475	8989	7589
GH47	9416	9626	9007	9862	10150	9948	7457	9043	9028	8243	7797	9373
GH33	8822	8176	8792	8152	8466	8628	10165	10496	8191	9536	8619	8937
GT116	8801	9081	9234	9225	9207	9337	8242	8952	9217	7922	8374	9179
GH73	8666	8462	9451	8893	8358	8474	8673	8486	8527	9284	9199	9239
GT19	7884	7755	9220	8548	8224	8642	9582	9130	7819	8324	8886	8675
GH51	7205	7733	7766	9168	8079	7816	8054	9215	10024	8207	9290	8310
CE14	8292	8420	8433	8783	8394	8620	7299	8087	8122	7329	7728	7678
GH94	8162	9119	6907	7919	8387	7721	5840	6849	9034	6310	8597	8340
GH95	7258	6818	7912	7083	7469	7588	8572	9287	8233	6879	8062	7229
GT58	8529	8264	7329	7689	8371	8406	7019	7688	7579	7064	7472	6343
GH25	7524	7480	6339	7137	7754	7589	6393	6517	8201	7336	8088	6779
