#OTUID	CW1	CW2	CW3	CW4	CW5	CW6	CC1	CC2	CC3	CC4	CC5	CC6
ko04610	0	0	0	0	0	0	0	0	0	0	0	0
ko01056	0	0	0	0	0	0	2	0	0	0	0	0
ko03240	0	0	0	0	0	0	3	2	5	1	16	2
ko00624	12	4	8	10	15	11	29	508	327	356	12	29
ko03266	2	0	0	0	29	56	0	3	3	5	0	0
ko04215	0	0	0	1	20	9	2	8	16	7	2	7
ko00571	16	2	12	21	22	18	13	967	448	693	12	5
ko04744	4	0	0	0	49	82	0	0	0	3	0	0
ko00073	0	3	2	0	25	8	0	0	0	2	0	0
ko04670	5	0	2	1	97	111	0	13	11	7	0	5
ko04624	0	0	0	1	27	12	0	0	2	2	0	0
ko04658	1	0	2	8	113	104	0	11	11	6	0	0
ko00232	15	0	0	8	57	44	0	382	186	200	0	0
ko05416	7	0	0	0	47	41	2	15	25	8	2	12
ko05130	12879	13107	11763	11520	9518	9958	11353	12532	12690	13043	12351	12550
ko00524	11060	10269	10284	9947	8453	8355	10250	10683	10299	9567	10293	9861
ko05133	6738	5148	6431	5630	3678	3468	4851	6915	6676	4392	3400	3625
ko05012	10565	11678	11830	11712	14612	15823	11711	11680	11374	10856	11381	11602
ko00405	1130	1174	527	1315	3780	3561	547	813	771	825	572	706
ko04630	9	2	5	5	208	174	0	3	23	10	0	0
ko02025	5275	5838	5156	5187	7357	7223	4317	5847	5834	4965	3888	4602
ko00030	142153	143835	135043	140853	124960	126417	139190	144724	136124	148788	145474	145901
ko01524	5236	5462	5347	4798	5691	5634	6447	6292	5859	7148	7268	6707
ko00600	52072	51892	52434	52656	39063	38656	54833	59019	55606	52582	53343	52352
ko04341	0	0	3	0	61	51	0	4	10	3	0	0
ko04923	1	0	3	7	94	113	0	12	3	5	2	6
ko04914	10605	9961	10303	9954	8948	8619	9193	10216	10511	10631	9421	10040
ko04011	1722	1291	2505	1498	1943	2018	1468	3117	2467	2346	1199	909
ko05014	5100	4775	6148	6106	10233	10894	4295	6885	6432	5539	4135	3940
ko05412	4	0	0	3	23	10	0	7	7	1	0	5
ko04142	30086	26580	28189	27426	21331	21367	30204	34282	35177	27869	28007	25115
ko00310	18242	16631	16743	15661	13786	14028	15935	23257	22627	22234	16929	16101
ko04930	7045	7709	7887	6850	7533	7746	5910	6533	6197	7004	6474	7148
ko04626	38541	36943	35434	33719	27808	27379	33605	36592	37179	37119	34136	35075
ko00740	18576	18183	19425	18831	23869	23533	18574	20410	20060	19413	19189	17735
ko04922	36726	38330	36663	33763	33199	33863	34225	36400	35816	41372	37584	39685
ko04066	40617	40528	39249	39061	33655	34070	36388	38382	37543	40226	38456	39422
ko01054	1271	1113	1152	1138	1023	986	1302	951	1144	1333	1453	1867
ko04141	13818	12960	12765	13407	16366	16366	11240	13710	13909	13255	11460	12016
ko00604	9860	8289	9623	9429	6317	6391	9202	12168	11440	8232	7942	7065
ko04724	18010	17806	15318	16988	16517	17022	17182	18996	17926	18847	17478	17470
ko05215	10610	10006	10293	9954	8847	8485	9189	10190	10506	10600	9407	10045
ko00680	158277	154657	144275	167904	197314	201184	143544	154158	149304	160189	153314	160103
ko00625	12035	12850	11083	11956	9991	9748	11121	12814	11249	12875	11724	12860
ko00998	7582	8659	7553	6979	7911	8006	8303	7537	8537	7646	7838	7768
ko05208	5341	4713	7017	5986	5870	5759	4655	7194	6276	5896	4598	4064
ko00121	4704	4614	4944	5363	3502	3671	4807	4806	4504	4237	4593	4483
ko05214	61	57	30	15	332	344	30	47	43	99	21	29
ko00965	0	2	2	0	30	43	0	4	0	3	0	0
ko04213	16523	15714	18318	16370	13453	13365	13503	17910	16558	16554	13435	13156
ko05016	5277	4733	6060	5868	8416	8539	4134	5425	5511	4505	4068	3867
ko00642	116	143	176	141	74	66	279	608	353	521	324	163
ko00550	168755	169841	168883	157501	145082	143084	160247	153378	148667	163408	164601	163542
ko00830	3907	3642	2989	3623	2461	2389	2775	4319	3679	3708	2614	2766
ko00362	24101	24008	22189	22916	23191	23243	24569	31816	28297	31913	26093	24461
ko05230	20502	21047	21700	19403	19460	19830	17641	20464	19735	21695	18674	20333
ko05415	19128	18958	17191	17924	19057	19508	16461	18031	18518	19883	18104	18690
ko00525	14573	14075	13865	15756	15049	15489	14648	13657	13331	12652	14410	13609
ko05168	109	112	106	426	1549	1865	42	103	165	146	129	114
ko04151	15202	14001	13956	13300	13100	13030	13962	15232	15595	16269	14648	14750
ko02040	21997	27244	24499	17245	15983	15749	24407	24791	30844	27075	23471	29885
ko04214	3318	3866	4555	4067	4293	3919	4136	2950	2878	3041	4016	3864
ko01522	60	57	28	16	269	223	30	47	42	95	21	28
ko05152	38100	37646	37114	38131	28018	27857	36423	38451	37257	40391	38986	40818
ko04370	53	54	31	11	172	162	29	44	27	95	21	30
ko04130	2	0	3	7	107	138	0	1	1	12	0	0
ko00903	3114	2784	2725	3070	2081	2035	2457	5280	4536	3839	2414	2202
ko00430	26598	26361	23967	24810	20626	20355	23553	25604	24351	26016	24130	25040
ko04062	58	54	33	12	291	299	29	52	42	101	21	30
ko05206	14453	14044	14094	12899	16562	17771	16202	14361	16083	14114	14618	15702
ko00542	3632	3223	3753	2951	2708	2572	2674	2519	2836	3380	2601	3124
ko00520	216551	213423	206277	208088	192327	194273	214612	219869	210858	218064	217314	210737
ko00983	67011	67371	66299	66994	61437	60772	64340	67412	63381	64932	63717	62781
ko00997	758	874	502	533	474	422	688	808	937	939	797	838
ko04150	142	129	87	345	1682	1803	91	126	174	186	96	121
ko00290	44068	43276	47553	44602	47719	48657	48481	48720	47497	47376	49442	44034
ko05160	154	173	128	416	1532	1815	74	144	159	219	151	143
ko05202	11	0	7	13	219	266	0	8	15	13	0	0
ko00785	4501	3481	6620	3938	3056	3212	3708	4497	4445	3911	3195	3237
ko04977	3	0	2	7	93	107	0	3	2	6	0	0
ko01040	1148	1201	1223	1019	1525	1671	1869	1781	1291	1405	1916	1052
ko03450	467	517	518	727	1288	1205	659	1276	930	1122	650	826
ko05164	159	172	124	428	1432	1711	74	144	166	216	148	150
ko04713	3	0	0	1	165	218	0	12	6	11	0	0
ko04068	8287	6743	8672	6294	5350	5438	7629	9837	9062	9450	7708	6643
ko00071	35895	33874	31671	31630	27929	27017	29838	39068	35408	37381	29863	31302
ko00311	1934	2132	2187	2087	1707	1807	1932	2190	2101	2417	2058	1732
ko04659	10547	9946	10280	9957	8726	8393	9143	10145	10489	10530	9381	9969
ko03260	0	0	0	0	0	0	0	0	0	0	0	0
ko00780	27343	25358	28175	24981	22879	22929	25929	29636	28978	26664	25507	26082
ko00350	23118	23367	22184	23085	22116	22704	22434	25904	23212	25914	23025	22746
ko00960	15107	15376	14935	15635	15817	16389	14818	15767	15613	15729	14823	14374
ko05120	18570	18768	18609	18240	16604	15971	17547	17364	15880	18588	18774	18621
ko04915	10616	10009	10281	9961	8929	8611	9188	10195	10518	10648	9411	10020
ko04212	45835	44601	45626	43710	34838	34307	42674	46013	43954	47830	45163	46113
ko05022	5364	5195	6468	6477	10540	11302	4600	7108	6700	5937	4522	4301
ko04612	10535	9938	10263	9932	8739	8409	9182	10152	10506	10467	9365	9967
ko00982	1473	1724	1395	1568	1124	1145	1334	2266	1545	2262	1491	1676
ko00340	54228	53311	55820	54277	59394	60937	56754	58427	57871	55277	55554	54512
ko00460	51001	52734	45997	50565	39812	39453	47169	55073	49931	52535	47663	49754
ko00620	232281	225637	209080	219253	190978	190460	215311	234025	225474	244950	225260	231288
ko00920	35242	37707	34357	40843	41636	41683	37286	38568	35082	37629	40185	38031
ko00650	121549	116211	114031	112245	96875	97546	112234	124921	119250	126616	115124	114738
ko00450	49853	49443	49075	51712	44382	43807	47174	53176	49900	52264	49890	50174
ko00633	10529	11399	12449	12187	12177	12583	8879	9180	8042	10953	9789	12112
ko00361	2839	3051	2727	3311	2866	2949	3071	4250	3623	4031	3117	3333
ko00999	41322	43654	38578	41052	33479	32836	38699	43768	39762	42675	39784	41271
ko02060	22791	24823	18124	19762	23718	23415	16426	19076	17075	18018	17755	20374
ko04917	4187	4744	4091	4721	4061	4217	5118	5258	4224	4712	5397	5297
