#OTUID	OW-a	OW-b	OW-c	OW-d	OW-e	OW-f	OC-a	OC-b	OC-c	OC-d	OC-e	OC-f
ko04610	0	0	0	5	0	0	0	0	18	0	0	0
ko01056	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	0	0	0	0	0	0	0	0	0	4	4	0
ko00624	0	70	25	3153	35	0	12	21	65	16	191	1384
ko03266	0	0	2	4	0	3	0	0	4	0	4	4
ko04215	0	0	1	13	0	0	10	6	18	8	7	5
ko00571	8	32	63	5975	49	49	42	97	104	20	320	2379
ko04744	0	0	17	2	3	0	4	0	0	3	9	10
ko00073	0	0	3	27	0	9	0	0	0	2	3	5
ko04670	0	0	13	30	0	23	2	0	6	4	7	9
ko04624	0	0	3	3	0	0	0	0	2	0	0	2
ko04658	3	0	29	12	3	0	114	1	1	9	20	22
ko00232	0	5	26	1197	9	0	3	9	36	9	108	950
ko05416	0	0	6	28	0	38	13	6	19	9	10	12
ko05130	7989	11553	12197	12166	12229	6681	12274	11942	12383	11719	12340	13150
ko00524	10066	8597	9653	7727	9983	7425	9959	10478	9928	9603	9264	8153
ko05133	8836	6421	8710	3574	2833	573	7298	7127	6719	8625	7197	2306
ko05012	16607	11195	11577	12037	11594	9062	10988	10689	10871	10581	10881	11709
ko00405	3159	2014	809	3193	1237	5446	649	638	618	558	563	1849
ko04630	4	2	22	23	3	0	0	1	3	4	16	16
ko02025	8330	5656	5567	11746	4762	9076	5319	5333	5247	5231	5405	6950
ko00030	109781	126211	125904	128673	139532	117350	136812	138342	137661	124839	130334	146994
ko01524	1866	5367	5301	6160	5895	3595	6622	7446	7477	5398	6517	7448
ko00600	56097	37452	50425	35252	48495	29062	55222	59024	53648	54966	51698	41302
ko04341	0	1	11	1	3	29	0	2	3	7	1	10
ko04923	20	0	19	15	10	10	0	0	1	2	9	7
ko04914	7613	8773	9995	6423	9270	6246	10583	10315	10171	10245	9795	8913
ko04011	2431	1256	2230	8730	864	232	1549	1428	1622	1687	2220	5040
ko05014	6955	5221	5795	14290	5051	6680	4932	4617	4736	5280	5836	9626
ko05412	0	0	3	13	0	24	3	0	0	4	1	13
ko04142	36816	20073	29595	19749	21526	9850	30638	31102	32034	32849	28483	19479
ko00310	17248	15947	15199	48479	15483	18501	16699	16932	19996	17991	19585	32424
ko04930	6787	6869	6012	5654	8171	5771	6673	6394	6693	6393	6585	7424
ko04626	28199	32120	35357	26527	33939	21674	38952	38715	36597	37348	37147	32277
ko00740	23031	20235	17762	22422	16864	21022	19958	19374	20314	18343	18726	19331
ko04922	22314	34220	32884	33820	39347	24063	36386	38370	37182	33676	34487	41121
ko04066	28048	37657	38314	33088	39350	24408	37530	37561	38509	36405	37522	38139
ko01054	1093	981	1138	797	1208	852	1164	1477	1145	1097	1155	1429
ko04141	12020	12128	13734	11771	12518	12647	13337	13173	12658	13244	13009	12964
ko00604	15950	6143	10241	6147	5881	2046	10289	9722	11165	11381	10113	5133
ko04724	11726	14873	15975	18993	16747	15283	18257	18926	18547	17197	17563	19133
ko05215	7609	8738	9944	6397	9266	6219	10589	10357	10137	10194	9820	8883
ko00680	102194	152207	143914	128382	155381	163955	146520	149531	152640	141603	141810	160665
ko00625	8335	10678	10228	21071	12675	8340	11313	10997	11205	10210	11789	16725
ko00998	9925	7250	7413	5730	7085	8233	8107	7696	8553	8908	7676	6415
ko05208	8610	4670	5965	14946	4345	4036	5190	4621	5212	5482	5656	9042
ko00121	3827	3809	4761	3124	4182	1085	4127	4473	4318	4363	4368	3186
ko05214	4	5	112	54	11	0	64	52	90	97	57	37
ko00965	4	7	10	48	0	718	0	0	22	2	17	5
ko04213	16920	14219	16791	24206	13848	11821	16328	15623	15973	15883	17341	18502
ko05016	7721	5465	5982	7792	5128	6088	5215	4698	4906	5699	5412	5695
ko00642	59	111	118	3713	84	155	80	97	153	136	209	1293
ko00550	114623	162978	159286	125660	165032	107921	161078	157902	159443	149142	156005	153032
ko00830	1831	2963	3178	8601	2350	1395	3679	3142	3234	3456	4193	5579
ko00362	23234	20482	20693	66799	24781	22038	23539	24112	26057	21941	25135	44737
ko05230	20943	19932	18228	26271	21404	19446	19140	19736	19635	18434	18653	24490
ko05415	12801	19520	17509	22598	19018	16215	18408	17861	18340	17226	17864	21669
ko00525	17199	12739	12896	10983	13082	14176	13669	13171	12411	13214	13705	12277
ko05168	32	238	189	113	173	650	66	58	107	86	113	255
ko04151	8400	13518	13604	13115	13757	7141	14753	15249	14877	14427	13873	15620
ko02040	15071	18798	25464	37471	27470	9854	31994	31044	28272	30589	28288	25761
ko04214	4666	3366	2974	1881	3820	1465	3172	2846	2985	2911	2811	2779
ko01522	4	5	86	37	6	1	171	54	83	94	48	32
ko05152	19783	33657	35069	34085	36350	21360	37252	37356	38041	35422	36902	40418
ko04370	2	3	87	39	5	0	61	50	85	94	37	23
ko04130	0	0	35	5	1	2	2	5	9	6	16	22
ko00903	2540	2168	2622	14256	2293	3843	2650	2847	2891	2929	3534	7509
ko00430	19418	24578	25325	28626	23956	19085	24196	23489	24831	23737	24221	27774
ko04062	5	3	88	49	8	0	66	51	90	89	40	33
ko05206	12544	19156	13821	15825	13438	12688	14278	13836	13970	15479	13275	13458
ko00542	1086	3295	3133	1513	2607	1564	3015	2469	2709	2482	2554	2633
ko00520	199298	191928	201413	191496	206779	155484	210416	213708	211495	204787	209665	206932
ko00983	65148	62872	66623	62229	62603	50762	63594	61939	62850	59530	62637	63794
ko00997	210	863	613	714	773	1756	883	782	965	728	785	1137
ko04150	41	248	272	146	145	527	129	97	181	173	116	308
ko00290	41407	36163	38683	52971	41331	54796	46325	47639	45259	41653	43028	48330
ko05160	64	240	222	126	176	647	162	158	177	168	127	239
ko05202	9	0	44	22	6	70	3	4	21	12	20	29
ko00785	7722	4087	4376	6405	3383	2189	3542	3888	3877	3588	3811	4148
ko04977	0	1	29	15	8	0	1	0	5	10	2	12
ko01040	391	1352	1108	4737	1216	268	1084	1124	1197	901	1139	2700
ko03450	1461	929	801	5836	675	1182	592	297	441	369	696	3348
