#OTUID	PW1	PW2	PW3	PW4	PW5	PW6	PC1	PC2	PC3	PC4	PC5	PC6
ko03010	436159	443076	456718	455000	441556	438081	413458	430175	440526	393869	417009	430979
ko02010	369110	369877	328320	348342	379688	372373	310713	339417	346763	373072	342184	358353
ko00970	331832	337216	332580	333623	338362	336560	303032	325750	328541	294301	297965	321863
ko00230	282923	284190	273252	280057	282935	282925	266648	281079	275903	268456	267823	274922
ko00010	274800	272767	265629	274852	278811	280896	258592	272371	267185	252003	255479	268216
ko00620	238725	236328	225440	236773	242645	243556	219123	235404	230855	215824	219326	228064
ko00520	213658	213420	210854	217441	221217	220239	209254	217417	215651	212340	213416	210466
ko00720	216847	211836	206306	216988	218904	221718	202055	218226	205464	189273	194995	203968
ko00240	203532	205375	202961	203569	208106	207203	194000	202949	200754	195408	194412	199584
ko02024	204904	207156	191992	203455	205177	204514	186974	199480	196148	192462	186048	194575
ko03440	203400	205414	206314	199299	200736	200985	185194	193128	193268	189825	185599	195753
ko00500	182945	184189	171140	187314	189105	186583	168894	182807	188458	172213	182149	174918
ko03430	182394	185488	183682	177158	179490	178198	163103	169102	171336	167157	164657	174973
ko02020	167678	164352	162587	172479	170124	168292	166189	170159	176168	169208	185701	172345
ko00550	168478	173285	175503	168399	169787	168863	150891	157041	163096	161293	157472	168555
ko00270	168009	165957	159513	165491	166864	167674	159281	167684	163394	166945	162223	162882
ko00680	162126	161225	151854	157531	163493	164664	144895	156380	161052	155620	145412	162189
ko00250	151965	151714	146135	152110	154885	155722	150276	160390	154106	151884	150685	151480
ko03030	148626	150825	149619	144002	143984	144000	131846	137245	139543	137306	131483	142350
ko00260	139777	137316	135558	142842	142611	143971	135805	145801	138676	133767	134992	136810
ko00030	143304	143414	136108	139739	145879	145513	128222	136535	138982	135499	131501	140226
ko00052	126178	125735	120752	126667	132436	133116	123713	129690	128130	126823	124567	125708
ko00710	126349	125639	123625	126699	127537	129066	118443	124861	122661	113474	115221	120127
ko00020	123052	121005	117520	124619	123694	126311	123297	130353	120945	115869	118861	120330
ko03018	122156	121603	124059	125379	124628	125388	118116	127089	122892	109627	114691	121674
ko00650	120444	119617	117597	123898	122290	123078	120638	129251	122490	111517	116949	120103
ko00630	111622	108889	109827	114604	115137	116454	111269	117236	108523	109146	109139	110670
ko00051	112163	110782	108172	113001	112551	113992	110766	111593	109787	109453	109535	110340
ko03060	103021	103835	105966	106196	104649	106010	101786	104259	104360	98312	101054	102886
ko03420	107365	108089	107110	106197	106469	107092	95582	102100	101897	97639	97490	104746
ko00300	102691	102367	98810	101822	102983	103415	95242	102391	99424	100490	98400	101139
ko03070	99774	99354	102504	102892	100225	101165	98649	100728	100309	94446	100258	99301
ko00670	96518	95022	94021	94337	95825	96386	88666	95822	90959	88934	88468	88664
ko00220	92776	91672	88149	93694	93071	92945	88302	95935	92315	94558	91660	94577
ko00190	90266	89579	91254	93679	93476	94264	99409	97688	93717	87487	93276	84633
ko04112	92154	91416	93766	91660	93397	91734	87158	88240	90818	85460	86052	90648
ko00040	89747	89146	78720	85027	88558	89640	82875	84667	87482	93079	87197	88257
ko00640	87189	85890	85169	84809	90302	90517	79854	84841	83241	79122	79533	86513
ko00400	76756	76449	74062	75246	77715	78716	72256	75993	75976	80379	75836	78045
ko00541	71062	70089	75777	78695	72243	72159	79236	78993	80577	73998	78984	73417
ko03020	77243	77311	75797	78791	77164	75994	72239	74914	75370	65710	69147	73597
ko00511	68797	66490	69747	70222	71719	73458	79572	79400	70328	66234	69533	69041
ko00730	69015	68409	69832	69066	70667	70426	70704	70364	71576	70025	71837	71049
ko01501	71418	71331	69004	71084	72408	72960	70334	71753	65718	67364	65549	65840
ko00760	67734	66546	69596	70480	67977	69070	69614	72091	69767	69822	70297	69555
ko03410	70128	71419	70830	68585	69614	70181	61565	64475	66789	67318	63931	69562
ko00900	63982	64826	65014	66298	65037	65337	63313	66084	63607	65314	64549	64693
ko00983	65287	65852	66327	66948	66770	66294	62377	64713	64518	60952	63702	63679
ko00564	66133	65747	66085	63478	67250	66931	61350	60348	62205	64759	62146	62924
ko00770	53431	53322	56458	56948	56050	57466	60517	61792	58401	58172	59683	57853
