#OTUID	PW-a	PW-b	PW-c	PW-d	PW-e	PW-f	PC-a	PC-b	PC-c	PC-d	PC-e	PC-f
ko04610	0	0	0	0	0	0	0	19	0	0	0	0
ko01056	0	0	0	0	0	0	0	0	0	9	2	6
ko03240	0	0	0	0	0	0	0	0	0	1	0	0
ko00624	10	17	8	37	42	52	35	90	28	45	58	18
ko03266	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	3	2	0	2	5	0	0	9	0	2	7	0
ko00571	29	16	29	10	12	9	26	103	23	14	47	7
ko04744	0	0	0	0	0	0	0	0	0	0	0	0
ko00073	0	0	0	0	0	0	0	0	0	3	0	0
ko04670	0	0	0	0	0	0	1	0	2	4	2	0
ko04624	0	0	0	0	0	0	0	0	0	1	0	0
ko04658	0	0	0	0	2	2	0	0	1	1	0	0
ko00232	0	2	2	0	0	0	2	46	2	0	16	1
ko05416	3	2	0	2	5	2	1	9	0	3	9	0
ko05130	12771	12630	12733	12886	12840	12846	12360	12759	12855	11143	11673	12226
ko00524	10737	10276	10005	10657	10011	10523	10164	10554	9370	10562	9829	9386
ko05133	5352	4990	7988	7745	6323	7002	9403	8340	6673	5474	8302	6776
ko05012	10558	10459	10463	10028	11550	11363	10662	10280	11334	11630	10513	10210
ko00405	542	672	549	574	615	547	488	638	815	1165	511	926
ko04630	0	0	0	0	1	0	0	1	2	0	1	5
ko02025	4232	4166	4867	5438	4797	4630	5214	5197	5398	4728	5554	4978
ko00030	143304	143414	136108	139739	145879	145513	128222	136535	138982	135499	131501	140226
ko01524	5905	5718	5256	5295	6320	6396	5310	6274	6015	6682	5617	5886
ko00600	54634	53510	53885	56451	56866	58043	61755	60554	55022	53028	54117	53896
ko04341	0	0	0	0	0	0	0	0	0	0	2	0
ko04923	3	15	2	0	0	0	0	0	2	1	2	0
ko04914	10512	10277	10279	10512	10814	10665	10722	10759	10406	9049	10569	10423
ko04011	1489	1487	1928	1925	1495	1574	2277	2297	1814	1558	1740	1568
ko05014	4308	4262	4492	4740	4666	4610	5427	5337	5824	5347	5018	4638
ko05412	0	0	3	0	2	0	1	0	0	1	2	0
ko04142	31451	29935	33564	31778	31908	33106	42998	39354	29807	30287	32106	30788
ko00310	18570	18120	18348	18872	18314	19125	18467	20912	17731	16666	17662	18163
