CAZy	OW1	OW2	OW3	OW4	OW5	OW6	CW1	CW2	CW3	CW4	CW5	CW6	PW1	PW2	PW3	PW4	PW5	PW6
GT106	5390	7669	7756	7767	9368	3951	9487	9400	8262	10290	7077	7196	10214	10202	8800	10327	10449	10497
GT35	12319	18394	20831	17200	22630	12982	21226	22078	21657	21341	17693	17900	22294	22046	21343	22673	23037	23105
GH78	6199	12044	14060	10572	14277	6676	16387	16835	11704	16097	13281	14038	17168	16629	16132	13903	16681	16987
GH2	51711	45511	56918	49256	60438	31378	60067	62861	57250	60433	46178	46080	62202	60935	57179	61470	63700	64277
GH6	5020	11367	10295	9433	11547	5575	11844	11277	10959	9942	8347	8254	11932	12017	11334	12323	12929	12777
GH28	28462	43135	48026	38187	46088	20520	50400	48019	45698	44742	36964	36261	47682	48675	47911	49749	48163	48987
GT32	9447	10119	10962	8392	10067	6222	11308	10238	10180	9177	8623	8847	11425	11112	10797	10697	10852	11068
GT1	13741	29665	30770	29126	31641	16999	31088	31040	27926	27372	22124	21571	31652	31842	30166	31500	31627	32196
GH35	22141	19693	22942	20655	22209	13617	24374	23598	20414	23352	18648	18777	23366	23573	22147	23723	24653	24644
CE8	12145	19130	20175	19218	21707	12361	22771	23070	22191	20891	16892	16939	22255	22401	20661	22124	21816	22198
