Genus,Bacteroides,Phocaeicola,Coprococcus_3,Ruminiclostridium_5,Ruminococcaceae_UCG-002,Ruminococcaceae_UCG-013,Escherichia-Shigella,Arthrobacter,Prevotellaceae_UCG-004,Lachnoclostridium_10,Lachnospiraceae_UCG-008,Roseburia,Tyzzerella_4,Ruminococcaceae_UCG-009,Phascolarctobacterium
OW1,10.2,0,0.00467,0.378,0.0933,0.42,0,0.00467,3.02,0.275,0.0607,0.0373,4.17,0.0607,0
OW2,1.94,0.187,0.154,1.42,0.989,7.35,0.084,0.042,0.737,0.042,0.07,0.289,0.905,0.546,0.168
OW3,10.2,0.0747,0.285,1.94,1.13,4.75,0.042,0.0467,3.01,0.0653,0.0653,0.224,1.22,0.303,1.12
OW4,1.11,0.0467,0,0.00933,0.0233,0.00467,0.63,47,0.0747,0,0,0.00467,0.00467,0.00467,0.00467
OW8,3.7,0.00467,0.084,1.09,0.28,2.55,0,0.014,0.0747,0.07,0.131,0.457,0.7,0.611,0.00467
OW9,33.8,0,0.107,0.126,0.00467,0.098,0.00467,0.00467,0,0,7.06,0.07,0,0,0.014
OC1,4.38,2.13,0.107,0.639,0.868,3.27,0,0,2.49,0.513,0.205,1.22,0.518,0.425,1.2
OC2,4.67,2.23,0.247,1.04,0.905,4.45,0.103,0.00467,3.05,0.485,0.196,1.16,1.18,0.579,1.68
OC3,8.72,2.03,0.112,0.971,1.26,3.76,0.341,0.0187,2.22,0.285,0.131,0.103,0.303,0.593,1.12
OC4,7.57,0.751,0.131,0.775,0.994,2.82,0,0.00467,6.4,0.555,0.159,1.19,0.392,0.299,0.901
OC5,7.16,0.191,0.145,0.826,2.05,4.19,0.042,3.21,4.93,0.117,0.121,0.565,0.681,0.434,1.16
OC6,8.22,1.56,0.205,1.14,1.37,4.4,0,0.117,4.47,0.177,0.201,0.322,1.16,0.574,1.2
CW1,5,0.135,0.733,1.13,0.761,6.04,0,0.00933,2.57,0.145,0.313,0.835,1.16,0.49,0.219
CW2,1.19,0.014,0.322,0.653,0.611,2.25,0,0,2.05,0.121,0.098,0.812,1.07,0.187,0.084
CW3,1.9,0.126,0.803,0.957,0.401,3.79,0,0.00933,3.01,0.0653,0.159,1.04,3.69,0.336,0.042
CW5,4.91,0.056,0.798,2.02,0.112,4.47,0,0.084,5.89,0.0233,0.21,0.574,2.37,0.163,0.177
CW7,1.63,0.173,3.1,0.924,0.117,2.26,0.0187,0,2.07,0.028,0.191,0.686,2.78,0.159,0.261
CW8,2.01,0.243,4.1,1.61,0.182,3.77,0,0,2.99,0.0327,0.201,0.607,3.88,0.247,0.243
CC1,6.29,0.504,0.0933,0.7,1.61,6.07,0,0,3.91,0.555,0.0607,0.798,0.84,0.495,1.08
CC2,5.15,2.53,0.191,0.775,0.439,2.17,0,0.327,7.3,0.261,0.121,1.7,1.14,0.397,1.25
CC3,5.39,0.905,0.084,1.41,0.644,4.06,0,0.117,6.87,0.317,0.0747,0.546,0.7,0.285,0.905
CC4,5.64,0.509,0.187,1.04,0.961,3.77,0,0.117,7.28,0.667,0.233,0.831,0.546,0.299,2.12
CC5,5.28,0.835,0.177,0.98,1.56,5.72,0,0,5.74,0.541,0.103,0.98,1.01,0.658,1.22
CC6,6.48,0.616,0.63,0.924,1.39,5.61,0,0,3.35,0.397,0.187,1.31,1.11,0.583,0.784
PW7,3.82,0.751,0.583,0.625,0.677,5.02,0,0,2.8,0.135,0.266,0.537,2.75,0.499,0.149
PW8,4.77,0.812,0.644,0.98,0.476,6.11,0,0,1.45,0.0933,0.215,0.509,2.82,0.747,0.219
PW9,6.46,1.45,0.271,1.72,0.807,7.31,0,0.00467,6.05,0.145,0.084,0.462,1,0.663,0.817
PW10,7.17,0.621,0.406,1.23,0.448,4.78,0,0,11.2,0.378,0.154,0.481,1.34,0.775,0.35
PW11,10.4,1.03,0.84,1.33,0.597,8.07,0,0,5.32,0.177,0.098,0.602,2.37,1.33,0.303
PW12,6.89,0.7,1.21,1.48,0.588,7.55,0,0,5.59,0.233,0.163,1.07,2.83,1.18,0.224
PC7,6.11,0.7,0.513,0.999,0.541,6.15,0.014,0.00933,6.31,0.0467,0.126,0.933,1.08,0.303,0.616
PC8,3.49,0.355,0.733,1.43,1.1,6.29,0,0.0793,1.85,0.0887,0.163,1.27,1.75,0.742,0.513
PC9,4.32,0.695,0.812,1.17,0.653,7.4,0,0.014,6.11,0.126,0.331,1.25,1.33,0.448,0.453
PC10,1.92,0.439,0.789,1.27,1.51,6.1,0.00467,0.00467,6.01,0.028,0.252,0.327,1.66,0.35,0.341
PC11,2.85,0.327,1.44,1.47,1.26,6.28,0,0.0887,4.21,0.271,0.303,1.04,3.1,0.509,0.779
PC12,3.56,0.336,1.26,0.924,0.849,9.83,0,0,6.93,0.121,0.387,0.817,3.17,0.42,0.817
