Name,Histamine,4-Guanidinobutanoic acid,4-Guanidinobutyric acid,Morphine,Normorphine,L-(+)-Citrulline,L-Saccharopine,L-serine,L-Homocystine,Glutaric acid,Vitamin B2,Benzoic acid,Hippuric acid,Phenylglyoxylic acid,LPA 19:0,Tretinoin,Biotin,Hordenine,Metanephrine,Tyramine,"2,6-Xylidine",Folic acid,gamma-Tocopherol,Menaquinone,Adenosine 5'-monophosphate,Docosanoic acid,Lignoceric acid,LPC 15:0,LPE 10:0
OW1,6141828.361,9966838.383,32112970.63,2737115.022,143459.2981,8207680.138,341629.4307,255047.7649,3746283.719,34552322.41,1305527.56,7905410.467,586872.1828,1236243.467,201529.339,6111.172256,64338399.34,8074082.566,333620.338,10756445.72,317628.8941,322265.6027,1331181.099,3271301.317,114065.9486,303322.3731,61758.58901,140244.0561,625740.6205
OW2,8540664.806,19411673.84,102489764.9,1784727.475,109845.2939,459718067.4,843952.9657,5577192.914,205449.8737,201723820.7,12159366.26,15880677.43,2750075.402,2871461.725,201024.1607,197353.1388,5292510.722,4195449.252,1090771.032,7510287.854,233078.6932,536264.2137,3549321.452,3361996.315,4883640.662,524669.3194,98807.91204,1327252.887,485721.9183
OW3,1965492.593,8055613.809,34501575.33,2409433.049,123757.4389,287642867,661158.5057,5771900.724,166287.4743,57395872.76,58447799.2,15212622.43,1464228.28,2597370.954,278085.4013,13948.63791,26251594.12,4301646.969,295509.5486,7848572.776,253881.5616,364663.3967,4451387.683,6390616.627,4044382.611,1363849.495,107518.8714,1643576.147,1515729.507
OW4,3689892.551,46390861.22,138360103.5,2774444.943,374306.1981,49097542.38,467385.2935,333892.8939,1453594.035,241308002.4,38327952.83,13450090.21,976774.4655,2350839.895,2079569.376,10400.68845,49903903.05,3942203.922,835607.9652,8207595.58,238568.756,405167.1041,1347446.657,1307583.063,210453.132,417354.0101,84493.99775,205087.3048,345056.9089
OW8,10925409.89,34792582,152130396.4,1842793.102,99575.57679,180386395.4,659017.7308,2117551.661,138037.0678,416570837.2,5659579.482,18266477.77,1722590.328,3699625.902,587526.5136,16067.67469,4618436.636,118942535.3,1689339.648,7273093.079,179172.4364,374306.0881,6526638.031,16481621.12,11634373.77,1444436.851,243690.1233,2346875.549,1012333.67
OW9,33211058.79,266445851.3,528814290.2,1278207.699,100213.3866,265305137.9,1390442.306,11524879.43,161302.8657,122785661.7,1617684.703,16865147.48,6129049.764,2988728.419,421775.3398,6233444.257,40632044.19,10089550.88,1646537.505,9226200.378,260323.5553,669296.0916,5720268.552,7689133.566,297217.2789,436409.0276,106768.2304,767352.8525,358201.9957
OC1,1955879.763,6645761.086,13890046.77,3130481.129,118718.0886,26260436.3,343791.8412,233700.7728,10525321.26,48121487.17,98200017.89,15450671.98,1352672.117,3010046.843,189461.3627,13387.89352,33592363.82,4509421.546,7170673.54,9730573.191,275554.3292,365254.2524,6750044.999,157055.1723,2092400.164,1247493.22,144350.2475,283091.8049,395793.6855
OC2,1640575.874,5566095.265,17690747.12,2643358.89,96937.06988,65545752.99,351887.9325,402101.0981,10360443.43,59838985.95,97601972.02,19316674.94,1592159.409,3245451.587,596603.1925,12740.59797,26625583.8,4173880.979,225248.3705,8204484.426,211262.2201,304952.6462,8834339.303,532771.4654,3431587.994,541537.1102,123783.3053,200901.6003,385169.5931
OC3,1052555.849,2745579.043,6230226.361,2362890.426,79055.07258,53153074.27,289947.2442,610808.6182,129759.5821,24144568.14,41581263.67,18458611.79,1484670.464,3620023.276,559672.4289,216058.4761,21148749,4865725.252,223272.5603,8408029.103,223816.0396,289508.6552,12150630.28,28625455.61,1382826.53,1164354.248,221942.8306,291765.7289,477860.2244
OC4,3089274.271,4646038.309,8537750.881,2231532.016,77049.83182,41584384.55,263184.4261,1002714.458,110396.4978,39223588.84,4303675.436,21269779.27,1712792.284,3997213.342,1747283.865,16822.97831,16622591.45,4376069.019,11186803.03,8952893.35,178850.7418,233433.2851,5358692.529,58163465.88,1107094.006,1344697.75,207206.5354,358578.643,590292.9416
OC5,918653.1325,5092168.775,9928480.643,5697967.848,93584.35215,34078405.45,329392.883,489621.0341,145830.175,21849605.39,11195282.03,19167453.77,3947366.265,4229874.974,1080252.985,550378.368,16053581.32,7356504.494,216533.2624,9289019.511,246727.8768,340804.1877,2759391.679,12008510.49,1791598.879,2468289.962,123821.5162,271986.3669,591112.0689
OC6,3348011.826,11732141.69,41878443.66,1875449.887,92042.28031,68291377.25,362458.5185,640728.6323,7982298.421,108876237.1,31144372.75,19836381.9,1715596.202,4254836.016,1247643.114,10820405.65,11134622.02,4901120.24,213377.9771,8136421.529,154652.3882,215877.3692,14211460.89,58085307.46,2983348.964,423557.2274,190112.2212,248418.8443,495074.039
CW1,4858216.081,15442308.13,39789418.24,5615168.777,224651.4087,389318469.2,12932783.51,7621158.299,457767.9266,262920477.1,7748849.633,18730114.06,2131911.812,3327477.587,233894.246,16391.65371,6595992.409,183446186.2,6842398.405,117364935.6,375700.4308,8286524.325,992251.9905,4360672.021,5570369.505,5641173.36,502084.9155,374867.8736,544900.1042
