Family,PW-a,PW-b,PW-c,PW-d,PW-e,PW-f,PW-g,PW-h,PW-i,PW-j,PW-k,PW-l,PC-a,PC-b,PC-c,PC-d,PC-e,PC-f,PC-g,PC-h,PC-i,PC-j,PC-k,PC-l
Nitrariaceae,0,0,0,0,0,0,0,0,0,0,0,0,303,187,197,135,12,36,0,0,0,0,0,0
Plumbaginaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliaceae,67,0,0,0,16,109,94,37,14,197,36,43,0,0,0,0,0,0,0,0,7,0,0,0
Primulaceae,224,22,79,128,61,239,1704,1976,421,2503,211,486,36,2581,452,206,364,21,18718,6783,3707,554,2113,1692
Grossulariaceae,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantaginaceae,0,0,328,0,0,0,0,34,26,0,62,0,37,18,53,0,20,21,179,24,0,34,0,0
Tamaricaceae,0,0,0,0,0,0,0,0,0,0,0,0,247,158,232,0,0,13,0,0,0,0,0,0
Lamiaceae,12635,2457,1834,521,730,6736,168,155,105,96,51,125,39,0,45,30,40,633,10,8,0,34,159,0
Euphorbiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncaceae,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
Fabaceae,165,55,22,31,21,221,484,407,179,447,236,347,1725,1376,3139,332,332,642,998,5848,1873,507,609,523
Poaceae,16892,16958,17959,9875,23409,16086,6243,6718,2310,7314,5652,7350,5016,1339,3300,818,640,773,3646,3772,2844,1240,2508,2140
Saxifragaceae,39,0,0,0,6,0,181,306,0,25,52,118,0,0,19,0,17,0,12,0,12,0,96,0
Zygophyllaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Violaceae,0,0,0,89,0,0,0,4,0,0,44,79,0,0,0,0,0,0,0,0,0,0,0,0
Crassulaceae,784,737,1550,890,802,569,3286,4778,772,3669,838,1225,81,20,431,282,0,174,4364,1302,145,147,76,133
Campanulaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteraceae,3413,949,856,2373,1128,3557,1645,2153,527,1072,1014,2068,6332,10461,9761,5588,3093,4831,9797,10641,10175,9337,9325,10259
Polygonaceae,3836,318,66,2106,1451,3793,17324,15720,5454,3239,3216,3565,2054,471,316,0,573,123,670,2824,640,751,203,370
Orobanchaceae,19,0,0,0,0,0,113,57,20,0,26,32,41,353,717,0,0,7,16,681,0,9,0,0
Gentianaceae,0,36,61,0,0,0,4,53,0,0,0,9,0,0,0,0,0,0,114,483,6,11,0,0
Ephedraceae,0,0,0,0,0,0,206,160,312,511,375,684,576,36,247,411,39920,679,433,981,653,38199,25033,11935
Geraniaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ranunculaceae,7,202,383,0,65,29,19,35,12,66,33,78,8,0,0,212,210,215,21,18,8,492,507,253
Rubiaceae,0,0,0,0,0,0,0,0,0,0,0,0,53,2406,488,0,0,0,0,0,0,0,0,0
Rosaceae,14354,6288,1116,42995,2470,17732,48881,54602,58662,63266,63610,58500,25791,24524,5398,22635,37852,73625,36748,39309,56434,37650,45767,58985
Caprifoliaceae,0,0,0,0,0,0,85,93,0,0,0,37,15,11,10,5,0,0,43,0,0,0,36,272
Apiaceae,1743,40,720,0,1156,2328,414,637,164,356,346,823,0,0,0,0,0,0,69,595,21,44,9,5
Cyperaceae,5018,388,215,12618,1447,7816,631,532,187,244,333,925,20066,11378,13884,1132,661,4294,9915,11393,11557,1228,1143,5246
Brassicaceae,391,1248,938,168,604,312,185,175,208,235,372,431,689,59,517,151,130,361,195,953,593,65,147,10
Amaryllidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllaceae,13649,40587,49235,2051,35078,15905,2123,3019,822,789,3734,8227,16,16,211,0,0,0,4319,2271,2626,9217,9228,10239
Juncaginaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinaceae,0,0,0,0,0,0,0,15,0,0,0,0,8,0,12,5482,0,242,10,0,0,0,11,705
Amaranthaceae,0,0,0,0,0,0,0,0,8,0,0,4,285,211,266,410,4,32,0,0,0,0,0,0
Berberidaceae,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Salicaceae,0,0,0,0,0,0,0,0,0,0,0,0,75,45,56,23,0,17,0,0,0,0,0,0
Papaveraceae,152,658,285,20,1152,165,143,133,0,0,133,286,95,0,0,1519,2320,2164,239,142,57,4155,5465,5987
Boraginaceae,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,116,0,113
Pottiaceae,247,26,0,79,54,434,105,0,24,0,0,113,2646,4689,7640,36548,0,732,273,1762,42,20,3,0
Lamiales,70,0,0,0,17,35,65,21,0,0,0,0,19,0,0,0,0,8,0,0,143,0,0,0
Poales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,1004,60,55,2115,597,904,233,151,89,76,29,309,17933,28134,45572,51843,1597,1297,2123,10142,1454,164,327,270
