Family,OW-a,OW-b,OW-c,OW-d,OW-e,OW-f,OW-g,OW-h,OW-i,OW-j,OW-k,OW-l,OC-a,OC-b,OC-c,OC-d,OC-e,OC-f,OC-g,OC-h,OC-i,OC-j,OC-k,OC-l
Nitrariaceae,56,0,0,0,0,0,0,0,0,0,0,0,404,392,36,0,24,0,0,0,0,0,0,0
Plumbaginaceae,23,515,326,6,0,0,67,129,857,116,796,39,0,0,28,0,0,82,19,55,76,749,9,263
Liliaceae,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primulaceae,4440,125,114,512,575,136,39,135,239,161,84,210,18,0,6,58,30,21,14,33,132,19,7,7
Grossulariaceae,0,0,49,0,70,210,0,0,0,147,0,0,0,0,0,0,0,0,0,0,81,0,202,135
Plantaginaceae,265,33,327,1202,437,13,19,55,9,50,64,119,85,17,56,436,74,1869,126,34,869,72,4,0
Tamaricaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0
Lamiaceae,366,598,1712,24,376,401,181,111,371,24,212,373,1243,984,263,21,3496,43,797,1325,230,80,3227,624
Euphorbiaceae,0,0,0,0,0,0,0,11,88,5,6,0,0,0,0,0,0,0,2,26,0,0,0,0
Juncaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Fabaceae,910,285,985,1227,313,1200,2920,1799,262,375,942,2273,421,754,455,417,5237,372,378,1302,984,668,565,232
Poaceae,947,2213,5595,2558,4244,4309,3626,3056,3064,8510,3623,2733,1360,1204,2557,1577,4759,2195,1481,2867,3855,5592,6566,5058
Saxifragaceae,535,29,40,18,16,7,0,0,89,0,12,0,0,0,0,0,28,29,0,60,0,0,0,0
Zygophyllaceae,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
Violaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crassulaceae,636,227,252,91,268,172,46,0,82,0,443,35,21,0,31,0,31,10,13,232,10,344,203,124
Campanulaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteraceae,4168,6805,25097,2403,3325,5044,4387,5690,4320,4745,9235,5521,14513,6524,18754,62246,6420,5898,7837,8989,7061,21064,3319,2982
Polygonaceae,555,40595,2161,301,1031,366,442,1413,173,136,4652,1536,34,28,97,24,975,11,160,112,78,437,623,148
Orobanchaceae,143,0,0,139,530,0,0,54,0,11,0,0,0,0,7,39,38,20,0,0,76,0,0,5
Gentianaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephedraceae,1535,374,254,265,1438,1993,1105,1864,6710,768,1393,1108,4112,200,7747,692,3909,46701,22792,8160,4192,13825,22523,53665
Geraniaceae,28,1710,17,37,5,0,168,101,134,2739,1554,0,0,0,0,0,0,0,0,0,92,106,0,0
Ranunculaceae,16,0,0,0,8,10,0,4,0,4,8,0,9,0,5,0,0,0,0,0,0,0,4,0
Rubiaceae,0,0,0,0,0,0,0,0,0,0,0,0,7,130,0,57,33,0,0,0,0,0,0,0
Rosaceae,45769,31857,28794,67742,66443,60840,36887,76566,59079,83738,64315,76777,4704,2819,47220,16081,44288,28472,5340,5725,75486,49952,56020,31123
Caprifoliaceae,23,49,16,0,10,167,0,0,194,74,9,0,17,6,0,0,0,0,6,126,37,0,76,56
Apiaceae,33,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperaceae,56,150,15,159,212,120,633,168,11033,560,526,36,160,85,548,396,2083,49,145,240,22,1018,192,14
Brassicaceae,153,122,22,27,120,97,203,125,504,55,182,184,291,212,60,0,36,21,435,255,86,42,42,0
Amaryllidaceae,519,17,14,0,24,29,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Caryophyllaceae,194,124,202,109,220,69,4339,5422,4034,4421,8753,5100,3,0,0,21,17,0,7345,8310,6536,20453,3214,2874
Juncaginaceae,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinaceae,0,0,0,0,0,0,0,0,95,21,2,82,238,0,0,0,0,0,100,7755,1173,69,0,0
Amaranthaceae,14912,243,13209,3623,329,6924,39901,2365,1761,503,646,2260,39779,63121,1362,552,1975,134,55558,67929,1449,1852,1147,632
Berberidaceae,0,0,0,0,0,15,0,0,0,9,0,0,9,0,0,0,0,0,0,0,10,0,0,0
Salicaceae,0,0,0,0,0,0,0,0,0,0,0,0,74,317,28,12,13,0,0,0,0,0,0,0
Papaveraceae,0,5,0,0,0,0,3,0,10,0,13,10,109,23,73,0,0,39,0,166,0,6,0,0
Boraginaceae,23,26,0,11,0,24,0,0,209,8,31,0,75,93,9,0,7,0,0,16,0,0,0,0
Pottiaceae,54,28,1802,27,31,4,0,0,0,0,0,0,984,30,76,96,384,36,0,0,0,0,0,0
Lamiales,109,68,0,370,1042,38,0,36,494,8,0,98,0,171,250,0,0,191,342,1114,28,45,0,0
Poales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllales,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,207,196,2670,363,669,237,511,130,16,185,32,179,10054,9036,962,801,11265,846,1143,1066,447,362,1044,731
