Family,CW-a,CW-b,CW-c,CW-d,CW-e,CW-f,CW-g,CW-h,CW-i,CW-j,CW-k,CW-l,CC-a,CC-b,CC-c,CC-d,CC-e,CC-f,CC-g,CC-h,CC-i,CC-j,CC-k,CC-l
Nitrariaceae,0,6,0,0,0,0,0,0,0,0,0,0,11200,422,0,392,12101,728,0,0,0,0,0,0
Plumbaginaceae,69,0,0,0,0,0,0,0,53,0,34,0,0,48,0,10,0,0,7,26,10,23,0,0
Liliaceae,0,8,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Primulaceae,14,64,35,19,106,49,64,150,25,15,27,32,6,0,196,32,127,60,50,178,422,101,387,344
Grossulariaceae,116,5613,126,9454,0,211,0,0,105,6667,231,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantaginaceae,15,12,0,20,0,0,37,28,0,60,40,19,56,821,495,1302,14,0,19,29,1661,404,744,66
Tamaricaceae,0,0,0,0,0,0,0,0,0,0,0,0,183,24,0,0,561,4477,0,0,0,0,0,0
Lamiaceae,1435,86,245,148,114,112,651,207,174,92,203,145,63,105,145,138,39,52,316,30,117,16,134,10
Euphorbiaceae,10,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Juncaceae,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,5,0,0,0,0,0,0
Fabaceae,527,37,119,45,79,21,272,611,249,60,176,226,103,1117,686,1018,289,186,184,155,685,470,339,354
Poaceae,6555,720,911,580,971,539,6439,5070,3902,1230,1386,1201,2410,1607,709,2482,2684,621,1252,880,2255,1101,2159,1506
Saxifragaceae,21,38,0,0,87,44,36,29,79,0,0,66,35,33,2174,445,0,8,92,5195,82,175,26,909
Zygophyllaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Violaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Crassulaceae,330,366,1769,733,2322,510,89,111,193,170,4987,367,53,698,484,66,67,33,40,203,164,290,40,224
Campanulaceae,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteraceae,13143,2332,4738,2203,1850,1493,3627,4647,2359,1444,2299,1465,19038,2035,1620,2431,21550,11235,2868,1490,3079,1695,1659,2243
Polygonaceae,21387,1886,754,1217,1895,1786,296,254,181,400,1970,475,87,109,325,468,138,69,1213,670,1252,723,637,1995
Orobanchaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,110,9,31,47,31,0,0,36,0,0,83
Gentianaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,106,0,0,0,0,0,0,0
Ephedraceae,6009,1159,55,1104,49,234,1723,1576,1426,1034,1058,1826,1243,27361,69303,13388,384,126,89156,80079,11623,49866,42865,74318
Geraniaceae,77,5,0,10,0,19,0,63,0,91,76,0,0,0,0,0,0,0,0,0,0,58,0,0
Ranunculaceae,0,74,7,53,54,90,11,0,10,99,14,18,0,13,87,0,21,0,86,7,100,54,102,56
Rubiaceae,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,18,92,59,0,0,0,0,0,0
Rosaceae,20857,61803,73662,54397,69559,72336,75487,77555,80545,76621,77713,88696,11544,56949,18317,63421,12304,2877,7591,7974,68611,39897,43900,11505
Caprifoliaceae,1963,1946,84,1802,58,2127,2683,2204,1409,727,121,0,150,0,16,8,495,76,0,61,13,0,94,120
Apiaceae,0,33,0,8,0,12,31,8,0,0,0,0,0,0,14,0,0,12,46,0,9,0,47,0
Cyperaceae,3590,1126,92,5781,44,70,129,189,208,14,112,102,807,1182,122,4964,1787,597,226,376,4183,2135,3278,210
Brassicaceae,16,0,184,0,138,20,12,0,51,22,229,117,368,54,35,44,1387,167,0,24,15,0,0,18
Amaryllidaceae,0,15,0,0,13,16,0,5,19,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllaceae,17,116,0,34,0,6,1699,3355,1836,1261,2299,1451,0,0,0,17,33,70,2849,1490,2654,1467,1178,1979
Juncaginaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinaceae,0,0,0,0,0,0,0,7,56,16,0,0,5,5,0,0,340,6,0,42,0,0,0,0
Amaranthaceae,226,360,114,181,250,618,127,243,715,142,111,723,7527,250,0,252,11311,3333,351,386,23,60,0,0
Berberidaceae,709,63,0,17,0,35,0,0,9,88,0,0,88,9,0,0,188,22,0,0,0,0,0,0
Salicaceae,0,0,0,0,0,0,0,0,0,0,0,0,10701,404,0,315,1380,424,0,0,0,0,0,0
Papaveraceae,0,3,40,0,58,0,52,69,10,0,74,14,90,103,24,0,255,21,0,7,21,0,0,0
Boraginaceae,135,42,0,0,0,13,61,0,36,0,0,0,178,11,0,16,5,142,0,10,0,0,0,0
Pottiaceae,115,26,0,0,0,0,7,0,0,0,0,0,24,79,20,430,2355,358,0,0,0,0,0,0
Lamiales,80,0,19,22,0,19,0,51,103,8,0,0,0,25,0,0,0,77,20,33,0,0,0,0
Poales,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,300,104,31,63,20,35,301,216,143,27,64,70,6542,1469,709,1600,4558,1620,128,63,65,21,164,264
