Genus,PW-a,PW-b,PW-c,PW-d,PW-e,PW-f,PW-g,PW-h,PW-i,PW-j,PW-k,PW-l,PC-a,PC-b,PC-c,PC-d,PC-e,PC-f,PC-g,PC-h,PC-i,PC-j,PC-k,PC-l
Unassigned,10,11.5,9.11,10,9.25,10.4,9.63,9.08,10.5,12.2,8.82,9.79,12.2,13.7,10.5,14.1,11.5,11.7,8.12,10.4,7.85,6.3,14.6,6.98
Ruminococcaceae_UCG-010,4.84,5.12,7.23,5.26,6.55,5.87,4.4,5.19,4.92,5.14,4.74,4.33,8.14,11.5,10.9,5.61,6.57,8.82,2.93,3.92,2.06,3.05,3.1,2.47
Christensenellaceae_R-7_group,4.68,4.72,2.64,3.69,3.29,3.65,4.63,4.57,3.04,3.84,3.27,4.89,3.03,3.16,2.75,1.6,2.76,3.35,2.81,4.62,5.49,4.75,6.1,7.3
Ruminococcaceae_UCG-013,5.78,4.5,4.47,4.96,5.43,5.57,5.02,6.11,7.31,4.78,8.07,7.55,3.02,3.93,6.09,5.17,5.78,4.11,6.15,6.29,7.4,6.1,6.28,9.83
Ruminococcaceae_UCG-014,2.45,0.196,1.83,1.64,1.11,2.77,1.87,1.98,3.77,2.53,2.72,2.75,1.23,1.39,1.32,1.76,2.08,1.18,1.79,2.13,2.03,1.42,2.87,4.2
Rikenellaceae_RC9_gut_group,11.3,12.6,19.6,16.5,13.1,12.7,15.9,15.6,5.62,8.42,8.81,6.92,15.9,12.9,16.6,15.7,15.2,15.2,9.35,13.4,14.4,17,11,3.94
Ruminococcaceae_UCG-005,17.1,6.79,18.1,15.2,26.2,18.1,25.1,24.4,19.5,12.7,13.8,15.2,11.8,11.9,11.5,11.1,11.2,15.9,15.7,21.5,19.5,19.9,13.1,13.3
[Eubacterium]_coprostanoligenes_group,7.33,8.49,4.38,5.1,4.39,5.94,4.76,4.78,6.25,4.99,6.22,7.5,3.56,4.85,4.12,7.43,4.44,6.01,3.65,5.87,4.8,7.07,8.74,6.77
Bacteroides,4.98,5.21,2.96,2.81,4.92,5.73,3.82,4.77,6.46,7.17,10.4,6.89,7.93,7.06,5.6,5.55,4.96,6.79,6.11,3.49,4.32,1.92,2.85,3.56
Lachnospiraceae_NK4A136_group,1.09,1.56,1.57,1.55,0.583,1.05,1.36,1.51,1.73,2.84,1.96,2.74,2.81,1.86,0.574,1.96,2.65,1.86,0.672,2.1,2.97,0.593,2.1,1.91
Ruminiclostridium_5,1.18,1.64,1.54,1.33,1.95,1.18,0.625,0.98,1.72,1.23,1.33,1.48,0.686,0.999,0.765,1.37,0.779,0.952,0.999,1.43,1.17,1.27,1.47,0.924
Ruminococcaceae_NK4A214_group,1.26,0.789,0.826,0.639,1.28,0.938,0.803,0.803,1.21,0.817,1.04,1.02,0.574,1.06,0.639,0.397,0.691,0.597,0.565,1.01,0.663,0.84,1.05,0.509
Alistipes,1.85,3.84,2.74,2.61,2.98,2.43,1.97,2.34,4.35,4,4.29,3.14,3.63,3.9,6.14,2.89,3.49,2.58,4.75,2.27,2.88,2.3,2.03,3.85
Candidatus_Saccharimonas,0.205,0.849,0.243,0.056,0.107,0.187,0.159,0.117,0.621,0.625,0.509,0.462,0.07,0.0747,0.317,0.0373,0.056,0.056,0.205,0.877,1.39,0.602,0.355,1.09
Phocaeicola,1.25,1.55,0.985,0.677,0.509,1.2,0.751,0.812,1.45,0.621,1.03,0.7,0.947,1.04,1.94,1.42,0.719,0.966,0.7,0.355,0.695,0.439,0.327,0.336
Anaerotruncus,0.518,0.261,0.495,0.369,0.439,0.607,0.266,0.331,0.341,0.289,0.243,0.294,0.308,0.392,0.387,0.569,0.448,0.42,0.387,0.56,0.467,0.233,0.443,0.294
Prevotellaceae_UCG-004,2.45,12.6,4.26,5.29,5.27,2.77,2.8,1.45,6.05,11.2,5.32,5.59,7.2,7.2,5.93,5.05,8.43,4.81,6.31,1.85,6.11,6.01,4.21,6.93
dgA-11_gut_group,1.33,2.26,1.51,0.84,1.22,1.61,0.747,1.2,1.19,1.15,1.26,0.728,1.62,1.38,1.42,1.07,1.33,1.28,0.625,0.672,0.471,0.513,0.537,0.392
Ruminococcus_1,0.383,0.667,0.499,0.527,0.229,0.355,0.369,0.476,0.467,1.45,0.42,0.593,0.168,0.233,0.107,0.733,0.784,0.546,0.168,0.625,0.957,0.117,1.65,0.443
Akkermansia,5.84,0.042,5.07,5.96,0.42,3.38,3.07,1.55,0.154,0.233,1.26,0.327,2.58,0.238,0.751,1.05,2.88,0.691,17.7,2.55,0.35,7.35,1.99,3.96
Blautia,0.117,0.0373,0.0467,0.107,0.0187,0.056,0.126,0.135,0.056,0.0607,0.0793,0.117,0.028,0.0233,0.0187,0.0373,0.00933,0.0233,0.056,0.107,0.201,0.159,0.266,0.201
Oscillibacter,0.14,0.103,0.126,0.084,0.135,0.275,0.168,0.21,0.131,0.112,0.177,0.177,0.205,0.14,0.154,0.107,0.219,0.135,0.0747,0.215,0.112,0.182,0.163,0.201
Lachnospiraceae_FCS020_group,0.0793,0.177,0.219,0.0793,0.112,0.056,0.0653,0.0467,0.14,0.117,0.177,0.257,0.154,0.07,0.126,0.0933,0.131,0.201,0.056,0.056,0.205,0.028,0.103,0.107
Ruminococcaceae_UCG-011,0.243,0.294,0.177,0.107,0.271,0.219,0.275,0.219,0.182,0.112,0.112,0.201,0.0887,0.042,0.107,0.0933,0.042,0.0747,0.191,0.219,0.327,0.341,0.182,0.21
Lachnospiraceae_NC2004_group,0.425,0.308,0.163,0.28,0.0467,0.434,0.285,0.275,0.443,0.163,0.201,0.201,0.499,0.056,0.453,0.294,0.145,0.149,0.126,0.084,0.107,0.0887,0.084,0.098
Lachnospiraceae_UCG-008,0.21,0.0933,0.0653,0.07,0.0327,0.187,0.266,0.215,0.084,0.154,0.098,0.163,0.0747,0.0933,0.224,0.336,0.392,0.0793,0.126,0.163,0.331,0.252,0.303,0.387
Tyzzerella_4,2.82,2.13,1.22,2.43,0.303,2.36,2.75,2.82,1,1.34,2.37,2.83,1.27,0.807,1.12,2.05,0.831,1.43,1.08,1.75,1.33,1.66,3.1,3.17
Candidatus_Soleaferrea,0.453,0.471,0.439,0.383,0.406,0.481,0.257,0.243,0.481,0.275,0.359,0.448,0.215,0.252,0.201,0.252,0.121,0.159,0.196,0.322,0.154,0.163,0.21,0.163
Thalassospira,0.0327,0.252,0.0467,0,0.014,0.0653,0.042,0.0327,0.0933,0.0327,0.07,0.0187,0.028,0.014,0.084,0.028,0.00933,0.0607,0.0187,0.00933,0.0467,0,0.0233,0.00933
Ruminococcus_2,0.107,0.0467,0.084,0.084,0.117,0.0467,0.07,0.028,0.135,0.0793,0.121,0.168,0.0327,0.0373,0.0653,0.042,0.014,0.126,0.112,0.149,0.149,0.182,0.14,0.159
Barnesiella,0.0793,0.0793,0.266,0.117,0.07,0.145,0.0887,0.0933,0.149,0.294,0.205,0.149,0.182,0.378,0.154,0.924,1.15,0.677,0.0653,0.131,0.0653,0.168,0.0187,0.406
Ruminococcaceae_UCG-002,0.677,0.331,0.28,0.233,0.761,0.663,0.677,0.476,0.807,0.448,0.597,0.588,0.509,0.831,1.29,0.905,0.719,1.06,0.541,1.1,0.653,1.51,1.26,0.849
Roseburia,0.812,0.737,0.579,0.616,0.126,0.439,0.537,0.509,0.462,0.481,0.602,1.07,0.77,1.15,1.05,0.63,0.663,0.742,0.933,1.27,1.25,0.327,1.04,0.817
Family_XIII_AD3011_group,0.387,0.336,0.233,0.219,0.247,0.294,0.261,0.205,0.261,0.205,0.21,0.177,0.131,0.028,0.271,0.229,0.14,0.121,0.243,0.406,0.429,0.35,0.275,0.331
Pseudobutyrivibrio,0.154,0.476,0.247,0.285,0.103,0.107,0.257,0.219,0.331,0.364,0.247,0.453,0.131,0.159,0.163,0.187,0.201,0.168,0.289,0.247,0.439,0.233,0.378,0.355
Ruminiclostridium_6,0.168,0.014,0.0933,0.149,0.135,0.159,0.303,0.233,0.163,0.289,0.168,0.243,0.028,0.028,0.014,0.285,0.289,0.397,0.056,0.103,0.0933,0.0187,0.219,0.187
Atopobium,0.00467,0.0327,0.014,0.0513,0.028,0.00467,0.00467,0.0233,0,0,0.00933,0.00933,0,0.00467,0.00467,0.028,0,0,0.00467,0,0,0.0187,0.00467,0.014
Marvinbryantia,0.0793,0.028,0.028,0.028,0,0.0373,0.042,0.042,0.0233,0.0327,0.014,0.0327,0.0233,0,0.00467,0.00467,0.0187,0.014,0.0513,0.0653,0.0467,0.014,0.028,0.0653
Lachnoclostridium,0.187,0.107,0.07,0.145,0.135,0.205,0.149,0.145,0.117,0.294,0.471,0.742,0.117,0.135,0.121,0.163,0.0467,0.0467,0.056,0.173,0.238,0.0607,0.168,0.154
Ruminococcaceae_UCG-009,0.845,0.803,0.686,0.663,1.19,0.756,0.499,0.747,0.663,0.775,1.33,1.18,0.308,0.49,0.602,0.709,0.457,0.364,0.303,0.742,0.448,0.35,0.509,0.42
Treponema_2,0.327,0.723,0.0467,0.383,0.219,0.499,0.373,0.149,0.509,0.471,0.243,0.07,0.0607,0.761,0.159,0.233,0.971,0.425,0.42,0.149,0.0793,0.0607,0.0653,0.014
