Genus,OW-a,OW-b,OW-c,OW-d,OW-e,OW-f,OW-g,OW-h,OW-i,OW-j,OW-k,OW-l,OC-a,OC-b,OC-c,OC-d,OC-e,OC-f,OC-g,OC-h,OC-i,OC-j,OC-k,OC-l
Unassigned,17.4,18.2,13.3,4.26,11.5,8.05,10.8,8.95,8.33,11.7,23.9,11,11.5,12.6,13.2,15.7,8.93,10,10.8,7.67,8.06,15.3,11.2,10.1
Ruminococcaceae_UCG-010,0.873,2.89,3.8,0.0373,3.75,1.82,4.33,2.65,0.0187,2.72,3.13,3.05,6.62,7.34,8.27,6.26,1.43,5.46,5.31,2.37,2.64,1.68,2.39,2.43
Christensenellaceae_R-7_group,7,4.96,3.74,0.0653,3.35,3.4,2.85,4.41,0.481,8.55,4.74,6.71,2.73,3.57,2.15,4.09,5.66,3.19,3.67,4.3,6.97,3.55,4.46,5.69
Ruminococcaceae_UCG-013,0.42,7.35,4.75,0.00467,6.63,4.56,4.65,2.55,0.098,3.7,6.65,4.12,3.27,4.45,3.76,2.82,4.19,4.4,5.13,8.22,4.54,3.61,5.39,4.95
Ruminococcaceae_UCG-014,1.16,4.78,5.7,0.0887,5.24,8.93,1.58,1.14,0.0513,1.31,1.75,2.2,1.47,1.82,2.51,1.12,4.26,1.53,1.41,3.28,1.64,1.72,2.48,2.21
Rikenellaceae_RC9_gut_group,0,12.1,11.1,0.21,6.91,8.63,8.51,15.5,0,7.43,10.7,11.3,13.9,7.97,11.8,18.1,18.1,16.1,10.7,11.3,11.1,10.3,12.9,13
Ruminococcaceae_UCG-005,22.9,8.41,10.8,0.117,15,6.33,11.2,25.3,5.83,17.2,7.98,15,11.6,11.8,12,10.4,12,12.8,17.1,14.5,14.8,11.5,11.9,14.9
[Eubacterium]_coprostanoligenes_group,1.41,11,5.42,0.182,6.32,6.82,5.33,4.98,4.27,9.16,9.19,10.1,4.8,4.71,3.85,4.99,4.43,7.29,4.03,5.93,4.51,5.89,4.91,4.68
Bacteroides,10.2,1.94,10.2,1.11,8.08,3.92,6.22,3.7,33.8,3.07,5.53,6.37,4.38,4.67,8.72,7.57,7.16,8.22,6.57,5.56,9.27,9.44,9.19,5.91
Lachnospiraceae_NK4A136_group,0.555,1.14,1.21,0,3.42,1.47,2.38,3.43,0.77,3.42,1.41,4.15,1.84,1.11,0.943,2.83,1.18,0.915,0.915,1.03,1.19,2.84,3.34,3.06
Ruminiclostridium_5,0.378,1.42,1.94,0.00933,1.3,1.41,3.23,1.09,0.126,1.09,1.27,1.83,0.639,1.04,0.971,0.775,0.826,1.14,1.27,1.11,0.863,0.859,1.11,1.14
Ruminococcaceae_NK4A214_group,0.224,0.611,1.03,1.7,1.26,0.448,0.579,0.401,0.117,0.971,0.579,0.658,0.443,0.817,0.681,0.523,0.854,0.807,0.751,0.938,1.09,0.565,0.635,0.952
Alistipes,7.77,0.905,7.4,0.429,2.48,3.11,10.7,3.63,12.5,3.57,1.59,6.08,2.62,2.31,4.09,3.49,1.33,4,3.58,2.54,3.96,2.94,5.08,1.4
Candidatus_Saccharimonas,0.173,0.364,0.621,0.835,0.387,0.191,0.0887,0.159,2.72,0.159,0.448,0.257,0.0933,0.257,0.14,0.028,0.817,0.261,0.621,1.2,0.289,0.299,0.196,0.415
