Genus,CW-a,CW-b,CW-c,CW-d,CW-e,CW-f,CW-g,CW-h,CW-i,CW-j,CW-k,CW-l,CC-a,CC-b,CC-c,CC-d,CC-e,CC-f,CC-g,CC-h,CC-i,CC-j,CC-k,CC-l
Unassigned,9.71,8.53,8.59,11.1,8.34,13.2,8.87,12.8,10.2,9.44,9.62,9.36,9.45,13.3,10.2,11.6,9.94,8.98,14.6,14.1,8.82,6.63,6.48,9.63
Ruminococcaceae_UCG-010,2.59,1.11,1.61,2.7,2.28,1.84,1.77,2.69,2.08,3.9,2.16,3.36,8.07,9.06,11.5,8.48,7.72,4.27,18.2,19.9,3.28,2.19,2.11,14.6
Christensenellaceae_R-7_group,2.89,3.6,2.04,4.65,3.51,4.68,4.63,4.35,4.01,2.53,4.98,4.33,2.26,2.93,4.6,3.24,2.72,6.15,3.92,3.25,5.74,6.5,7.18,3.29
Ruminococcaceae_UCG-013,6.04,2.25,3.79,7.67,4.47,3.54,2.26,3.77,2.97,6.92,3.77,4.13,6.07,2.17,4.06,3.77,5.72,5.61,3.58,4.36,9.77,7.16,7.09,3.09
Ruminococcaceae_UCG-014,3.42,3.35,7.46,12.1,7.8,3.63,0.7,0.308,0.798,1.83,2.61,1.18,1.49,0.397,0.317,1.62,1.87,3.16,0.835,0.975,4.03,3.15,3.36,1.03
Rikenellaceae_RC9_gut_group,16.4,5.99,14.2,2.89,14.1,6.99,10.9,15.1,16.9,15.8,16.7,14.5,18.1,17.8,17.9,15.7,11.3,7.84,11,10.5,7.57,11.3,13.3,22.1
Ruminococcaceae_UCG-005,19.1,9.84,9.29,15,15.3,12.2,13.8,13.1,17.3,20.5,23.8,18.6,9.98,12.5,11.7,14.6,10.4,21.2,13.3,12.1,13.8,22.8,20.7,19.6
[Eubacterium]_coprostanoligenes_group,8.24,7.88,4.21,12.9,7.74,10.4,4.86,5.69,6.38,4.38,6.7,5.32,8.68,4.96,3.91,4.8,10.4,4.4,4.85,4.05,6.29,6.31,5.07,2.89
Bacteroides,5,1.19,1.9,0.854,4.91,5.77,1.63,2.01,2.11,3.13,3.63,5.59,6.29,5.15,5.39,5.64,5.28,6.48,4.93,5.02,7.69,4.84,3.78,3.43
Lachnospiraceae_NK4A136_group,1.96,1.12,1.61,3.51,0.756,2.2,1.28,1.33,1.19,1.72,1.31,2.15,1.59,1.67,1.63,1.53,2.1,1.71,1.47,1.58,0.957,1.01,0.663,1.28
Ruminiclostridium_5,1.13,0.653,0.957,1.56,2.02,0.625,0.924,1.61,1.45,1.14,1.18,2.25,0.7,0.775,1.41,1.04,0.98,0.924,1.22,0.989,1.11,0.849,0.714,0.719
Ruminococcaceae_NK4A214_group,0.957,0.691,0.709,1.28,0.84,1.12,0.873,1.15,1.12,0.831,0.747,0.457,0.644,0.723,0.644,0.989,0.765,1.36,0.779,0.607,1.63,1.15,1.05,0.495
Alistipes,2.08,1.47,4.62,0.177,4.26,4.89,2.33,4.14,2.73,5.68,4.84,3.48,5.36,3.73,4.94,3.49,4.37,2.25,4.98,5.66,2.95,1.75,1.47,3.5
Candidatus_Saccharimonas,0.117,0.0513,0.882,0.322,1.19,0.0653,1.88,3.57,2.47,0.0373,0.406,1.75,0.177,0.112,0.201,0.0467,0.0747,0.0327,0.084,0.0793,0.345,0.238,0.224,0.056
Phocaeicola,0.135,0.014,0.126,0.00467,0.056,0.084,0.173,0.243,0.126,0.112,0.187,0.448,0.504,2.53,0.905,0.509,0.835,0.616,0.527,0.56,0.355,0.173,0.257,1.09
Anaerotruncus,0.406,0.308,0.28,0.392,0.275,0.299,0.336,0.397,0.299,0.257,0.247,0.336,0.485,0.434,0.569,0.373,0.448,0.42,0.271,0.285,0.322,0.247,0.285,0.187
Prevotellaceae_UCG-004,2.57,2.05,3.01,1.3,5.89,5.41,2.07,2.99,0.985,3.01,3.3,4.66,3.91,7.3,6.87,7.28,5.74,3.35,2.39,2.39,3.32,1.99,1.12,1.62
dgA-11_gut_group,0.677,0.21,0.709,0.00933,0.471,0.975,0.0233,0.107,0.0513,1.49,0.509,0.471,1.1,0.649,1.2,1.03,0.999,0.742,1.44,1.63,0.513,0.387,0.364,0.681
Ruminococcus_1,0.551,0.252,0.205,1.55,0.229,1.34,0.0887,0.187,0.168,0.579,0.579,0.593,0.285,0.677,0.518,0.915,0.518,1.15,0.457,0.42,0.378,0.359,0.201,0.532
Akkermansia,4.34,1.4,15.4,3,2.73,3.54,7.06,0.215,1.61,0.373,2.91,4.49,2.59,0.117,1.4,1.17,4.85,4.41,0.107,0.257,2.77,5.84,8.34,1.39
Blautia,0.0887,0.159,0.121,0.168,0.252,0.149,0.233,0.163,0.145,0.07,0.145,0.112,0.028,0.042,0.0327,0.0187,0.103,0.173,0.084,0.112,0.257,0.224,0.149,0.0887
Oscillibacter,0.201,0,0.056,0.0607,0.014,0.0933,0.028,0.028,0.0233,0.0933,0.0607,0.0233,0.145,0.117,0.229,0.261,0.154,0.163,0.219,0.229,0.219,0.103,0.117,0.145
Lachnospiraceae_FCS020_group,0.117,0.084,0.392,0.0933,0.121,0.0887,0.201,0.21,0.182,0.191,0.0747,0.107,0.238,0.131,0.117,0.0887,0.201,0.303,0.0887,0.126,0.042,0.056,0.0747,0.121
Ruminococcaceae_UCG-011,0.145,0.369,0.145,0.313,0.658,0.243,0.406,0.224,0.257,0.229,0.341,0.275,0.107,0.0887,0.149,0.149,0.126,0.434,0.21,0.219,0.308,0.261,0.322,0.191
Lachnospiraceae_NC2004_group,0.196,0.0327,0.756,0.261,0.205,0.14,0.131,0.243,0.21,0.247,0.084,0.247,0.084,0.0373,0.149,0.317,0.149,0.145,0.0793,0.0327,0.0887,0.0747,0.056,0.107
Lachnospiraceae_UCG-008,0.313,0.098,0.159,0.159,0.21,0.121,0.191,0.201,0.149,0.163,0.187,0.229,0.0607,0.121,0.0747,0.233,0.103,0.187,0.168,0.103,0.313,0.294,0.341,0.397
Tyzzerella_4,1.16,1.07,3.69,3.03,2.37,1.34,2.78,3.88,3.55,2.27,0.901,1.84,0.84,1.14,0.7,0.546,1.01,1.11,1.25,1.19,3.84,2.49,2.42,0.625
Candidatus_Soleaferrea,0.294,0.168,0.28,0.285,0.0747,0.275,0.565,0.807,0.579,0.266,0.247,0.229,0.252,0.14,0.14,0.331,0.322,0.243,0.149,0.0933,0.331,0.271,0.154,0.177
Thalassospira,0.042,0.00467,0.0187,0.0187,0.014,0.042,0.0187,0.028,0.0233,0.0607,0.00467,0.0233,0.117,0.0373,0.00467,0.0747,0.0933,0.00467,0.0513,0.00467,0.00467,0.014,0.0233,0.0793
Ruminococcus_2,0.177,0.135,0.121,0.112,0.135,0.219,0.0233,0.0327,0.0793,0.145,0.131,0.0887,0.0467,0.028,0.0187,0.028,0.126,0.238,0.084,0.0467,0.21,0.126,0.121,0.0373
Barnesiella,0.145,0.145,0.434,0.028,0.028,0.817,0.159,0.345,0.252,0.215,0.233,0.117,0.336,0.341,0.373,0.098,0.341,0.112,0.579,0.597,0.331,0.187,0.243,0.117
Ruminococcaceae_UCG-002,0.761,0.611,0.401,0.789,0.112,0.756,0.117,0.182,0.173,0.854,0.266,0.229,1.61,0.439,0.644,0.961,1.56,1.39,0.924,1.13,0.961,0.779,0.952,0.555
Roseburia,0.835,0.812,1.04,0.817,0.574,0.602,0.686,0.607,0.504,0.681,0.485,0.509,0.798,1.7,0.546,0.831,0.98,1.31,0.569,0.518,1.07,1.3,0.789,0.691
Family_XIII_AD3011_group,0.224,0.247,0.224,0.499,0.247,0.247,0.168,0.308,0.187,0.322,0.219,0.121,0.117,0.154,0.196,0.163,0.205,0.224,0.168,0.163,0.35,0.257,0.313,0.121
Pseudobutyrivibrio,0.229,0.14,0.159,0.257,0.723,0.266,0.378,0.336,0.369,0.308,0.289,0.429,0.126,0.224,0.131,0.177,0.215,0.537,0.0933,0.131,0.149,0.397,0.345,0.294
Ruminiclostridium_6,0.103,0.103,0.149,0.229,0.0233,0.518,0.00467,0.00933,0,0.0887,0.21,0.0793,0.177,0.173,0.121,0.0793,0.154,0.313,0.0793,0.0793,0.0327,0.0747,0.0373,0.0513
