Family,Amaranthaceae,Asteraceae,Unassigned,Rosaceae,Ephedraceae,Poaceae,Lamiaceae,Pottiaceae,Fabaceae,Nitrariaceae,Brassicaceae,Pinaceae,Cyperaceae,Papaveraceae,Plantaginaceae,Boraginaceae,Salicaceae,Zygophyllaceae,Polygonaceae,Crassulaceae
OC1,0.504892939,0.184205516,0.127609885,0.059705281,0.052191351,0.017261731,0.015776714,0.01248937,0.005343521,0.00512775,0.003693503,0.003020803,0.002030792,0.001383477,0.001078858,0.000951934,0.000939241,0.000799624,0.000431543,0.000266541
OC2,0.731549302,0.075610774,0.104723935,0.032671179,0.002317927,0.01395392,0.0114042,0.000347689,0.008738584,0.004543137,0.002457002,0,0.000985119,0.000266562,0.000197024,0.001077836,0.003673914,0,0.00032451,0
OC3,0.016891347,0.232584674,0.011930599,0.585616311,0.096077288,0.031711582,0.003261692,0.000942542,0.005642851,0.000446467,0.000744112,0,0.006796225,0.000905337,0.000694505,0.000111617,0.000347252,0,0.001202981,0.000384458
OC4,0.006608721,0.74522903,0.009589828,0.192526878,0.008284845,0.018880349,0.000251419,0.001149343,0.004992457,0,0,0,0.004741039,0,0.005219932,0,0.000143668,0,0.000287336,0
OC5,0.023201992,0.07542116,0.132339466,0.520288527,0.045922323,0.055907991,0.041070464,0.004511172,0.06152346,0.000281948,0.000422922,0,0.02447076,0,0.00086934,8.22E-05,0.000152722,0,0.011454148,0.000364183
OC6,0.00153954,0.067762727,0.009719781,0.327117729,0.53655258,0.02521858,0.000494031,0.000413608,0.004273946,0,0.000241271,0,0.000562966,0.000448075,0.021473133,0,0,0,0.00012638,0.000114891
OC7,0.534042083,0.075331866,0.010986898,0.051329866,0.219084329,0.014235867,0.007661031,0,0.003633462,0,0.004181366,0.000961233,0.001393789,0,0.001211154,0,0,0,0.001537974,0.00012496
OC8,0.586115258,0.077560247,0.009197822,0.04939731,0.070407344,0.024737482,0.011432565,0,0.011234113,0,0.00220023,0.066912862,0.002070804,0.001432306,0.000293364,0.000138054,0,0,0.000966375,0.002001777
OC9,0.014066595,0.068546743,0.004339385,0.732802641,0.040695078,0.037423551,0.002232793,0,0.009552471,0,0.00083487,0.011387244,0.000213571,0,0.008436074,0,0,0,0.000757208,9.71E-05
OC10,0.015862276,0.180411974,0.00310051,0.427836067,0.118410346,0.047895165,0.000685195,0,0.005721382,0,0.000359728,0.000590981,0.008719113,5.14E-05,0.000616676,0,0,0,0.00374288,0.002946341
OC11,0.011586912,0.033528301,0.010546413,0.565910032,0.227525735,0.066329262,0.032598923,0,0.00570759,0,0.000424281,0,0.00193957,0,4.04E-05,0,0,0,0.006293501,0.002050691
OC12,0.006404994,0.030221033,0.007408308,0.315415565,0.543867117,0.051260223,0.006323918,0,0.0023512,0,0,0,0.000141883,0,0,0,0,0,0.001499904,0.001256676
CC1,0.103819258,0.262589482,0.090233238,0.15922539,0.017144591,0.033240921,0.000868954,0.00033103,0.00142067,0.154480628,0.005075792,6.90E-05,0.011130881,0.001241362,0.000772403,0.002455139,0.147597964,0,0.001199983,0.000731024
CC2,0.002629503,0.021404155,0.01545096,0.598990271,0.287783329,0.016902445,0.001104391,0.000830923,0.01174862,0.004438601,0.000567973,5.26E-05,0.01243229,0.001083355,0.008635288,0.000115698,0.004249277,0,0.001146463,0.007341572
CC3,0,0.016965127,0.007424861,0.191821133,0.72576186,0.007424861,0.001518484,0.000209446,0.007183998,0,0.000366531,0,0.001277621,0.000251335,0.005183789,0,0,0,0.003403498,0.005068594
CC4,0.002701312,0.026059086,0.017151188,0.679840923,0.143512563,0.02660578,0.00147929,0.004609382,0.010912443,0.004202041,0.000471658,0,0.05321156,0,0.013956779,0.000171512,0.00337664,0,0.005016722,0.000707486
CC5,0.151585408,0.28880431,0.061084457,0.164893189,0.005146211,0.035969873,0.000522662,0.031560749,0.00387306,0.162172666,0.018588008,0.004556541,0.023948645,0.003417406,0.000187622,6.70E-05,0.018494197,0,0.00184942,0.000897907
CC6,0.121235268,0.408664339,0.058926233,0.104648625,0.004583151,0.022588389,0.001891459,0.01302197,0.006765605,0.026480431,0.006074494,0.000218245,0.021715408,0.000763859,0,0.005165139,0.015422668,0,0.002509821,0.001200349
CC7,0.00329596,0.026931095,0.001201946,0.071281011,0.837192706,0.011756531,0.002967303,0,0.001727797,0,0,0,0.002122185,0,0.000178414,0,0,0,0.011390313,0.000375608
CC8,0.003882441,0.014986623,0.000633663,0.080203577,0.805445475,0.00885116,0.000301744,0,0.001559011,0,0.000241395,0.000422442,0.003781859,7.04E-05,0.000291686,0.000100581,0,0,0.006738951,0.002041802
CC9,0.000236906,0.031714477,0.000669516,0.706710614,0.119719833,0.023227069,0.00120513,0,0.007055673,0,0.000154504,0,0.043085956,0.000216305,0.017108719,0,0,0,0.012895916,0.001689241
CC10,0.000608791,0.017198344,0.000213077,0.404815536,0.505966151,0.011171314,0.000162344,0,0.004768862,0,0,0,0.021662811,0,0.004099192,0,0,0,0.007335931,0.00294249
CC11,0,0.016971346,0.001677698,0.449091076,0.438503166,0.022086279,0.001370802,0,0.003467924,0,0,0,0.033533498,0,0.00761102,0,0,0,0.006516424,0.000409195
CC12,0,0.023313827,0.002744026,0.119583407,0.772464115,0.015653421,0.00010394,0,0.003679489,0,0.000187093,0,0.002182748,0,0.000686007,0,0,0,0.020736106,0.002328265
PC1,0.003382749,0.075156378,0.212852073,0.306120996,0.006836714,0.059536385,0.000462903,0.031406155,0.020474534,0.003596396,0.008177944,9.50E-05,0.23816928,0.001127583,0.000439164,0,0.000890197,0,0.024379533,0.000961413
PC2,0.002384908,0.118239463,0.317995321,0.277191912,0.000406904,0.015134561,0,0.05299922,0.015552768,0.002113639,0.00066687,0,0.128604207,0,0.000203452,0,0.00050863,0,0.005323658,0.000226058
PC3,0.002861353,0.104998763,0.490216538,0.058066112,0.002656971,0.035497994,0.000484064,0.082183234,0.033766122,0.002119123,0.005561352,0.000129084,0.149349741,0,0.000570119,0,0.00060239,0,0.003399202,0.004636253
PC4,0.003209092,0.043737575,0.405777931,0.177165354,0.003216919,0.00640253,0.000234812,0.286063149,0.002598582,0.001056652,0.001181885,0.042907907,0.008860224,0.011889294,0,0,0.000180022,0,0,0.002207229
PC5,4.56E-05,0.03523381,0.018192174,0.431189839,0.454747394,0.007290539,0.000455659,0,0.003781967,0.000136698,0.001480891,0,0.00752976,0.026428205,0.000227829,0,0,0,0.006527311,0
PC6,0.00035188,0.053122938,0.014262151,0.809599736,0.007466461,0.00850011,0.006960633,0.008049263,0.0070596,0.000395865,0.00396965,0.002661095,0.047217946,0.023795909,0.000230921,0,0.000186936,0,0.00135254,0.001913349
PC7,0,0.105443861,0.022849578,0.395514035,0.004660324,0.039241433,0.000107629,0.002938264,0.010741347,0,0.00209876,0.000107629,0.10671388,0.002572327,0.001926554,0,0,0,0.007211125,0.046969175
PC8,0,0.106482408,0.101489013,0.393357483,0.009816675,0.037745667,8.01E-05,0.01763199,0.058519793,0,0.009536485,0,0.114007525,0.001420966,0.000240163,0,0,0,0.028259216,0.01302886
