Family,Ruminococcaceae,Lachnospiraceae,Christensenellaceae,Rikenellaceae,Unassigned,Clostridiales_vadinBB60_group,Bacteroidaceae,Family_XIII,Bacteroidales_S24-7_group,Prevotellaceae,Unknown_Family,Erysipelotrichaceae,Coriobacteriaceae,Bacteroidales_Incertae_Sedis,Porphyromonadaceae,Peptococcaceae,Verrucomicrobiaceae,Bacteroidales_BS11_gut_group,Rhodospirillaceae,Desulfovibrionaceae,Acidaminococcaceae,Peptostreptococcaceae,Spirochaetaceae,Methanobacteriaceae,Defluviitaleaceae,Bacteroidales_RF16_group,Planococcaceae,Anaeroplasmataceae,Micrococcaceae,Veillonellaceae
OC1,34.9,9.21,2.76,17.1,1.12,0.602,4.38,0.35,1.51,4.51,0.0933,0.173,0.383,2.13,0.63,0.378,7.61,2.57,0.084,0.971,1.2,0.14,0.173,0.541,0.0467,0.644,0,0.014,0,0
OC2,39.3,8.9,3.61,11.2,1.12,1.1,4.67,0.546,1.25,3.48,0.257,0.224,0.149,2.23,1.92,1.29,2.77,1.34,0.0887,0.789,1.68,0.243,0.219,8.02,0.0887,0.098,0,0.0467,0.014,0
OC3,38.9,5.84,2.2,16.3,3.82,1.04,8.72,0.485,1.23,2.31,0.14,0.392,0.0933,2.03,1.34,0.345,8.54,1.98,0.327,0.523,1.12,0.107,0.625,0.658,0.084,0,0,0.00467,0.0187,0
OC4,32.6,12.3,4.11,22.1,2.41,0.77,7.57,0.336,5.23,6.4,0.028,0.177,0.0373,0.751,0.499,0.364,0.429,0.952,0.0887,0.411,0.901,0.355,0.00467,0.476,0.056,0.126,0,0.0467,0.00467,0
OC5,36.1,6.89,5.72,20.1,1.81,0.112,7.16,0.462,1.67,4.93,0.817,0.275,0.285,0.191,0.205,0.243,5.94,0.462,0.0233,0.103,1.16,0.289,0.252,1.46,0.0513,0,0.00933,0,3.21,0
OC6,40.7,6.5,3.22,20.9,1.08,0.593,8.22,0.784,1.39,4.47,0.261,0.177,0.121,1.56,0.219,0.378,3.54,1.37,0.0653,0.555,1.22,0.257,0.406,1.09,0.145,0.467,0,0.00467,0.117,0
OC7,42.7,8.92,3.71,15.2,1.41,0.546,6.57,0.7,0.733,4.35,0.621,0.196,0.159,2.37,1.29,1.19,4.13,1.49,0.028,0.915,1.32,0.219,0.411,0.0233,0.0887,0.056,0,0,0.00467,0
OC8,43.6,8.98,4.39,14.1,1.04,0.0793,5.56,0.719,0.644,4.89,1.2,0.359,0.266,0.495,0.191,0.434,11,0.28,0.0187,0.275,0.252,0.182,0.0653,0.611,0.121,0.014,0,0,0.0373,0
OC9,40.2,8.72,7.02,15.4,0.863,0.112,9.27,0.747,1.25,3.86,0.289,0.149,0.201,2.73,0.322,0.187,0.826,0.383,0.056,0.177,1.86,0.373,0.523,0.957,0.0607,0.0187,0.00933,0,1.43,0
OC10,34.9,14.6,3.56,14,0.765,0.145,9.44,0.583,6.15,4.2,0.299,0.0747,0.154,0.691,0.999,0.219,4.64,0.443,0.0233,0.0653,1.89,0.401,0.695,0.275,0.0793,0,0.00933,0,0.275,0.0233
OC11,39.1,15.8,4.53,18,0.728,0.0467,9.19,0.616,0.224,4.37,0.196,0.0887,0.173,0.0747,1,0.177,1.93,0.644,0,0.117,0.0933,0.425,0.00933,0.56,0.084,0,0,0,0.0187,0
OC12,40,12.9,5.71,15.3,2.87,0.0747,5.91,0.667,0.667,1.9,0.415,0.056,0.593,2.05,0.238,0.215,7.62,0.289,0.0187,0.121,0.915,0.163,0.0187,0.681,0.084,0.00467,0,0,0.261,0
CC1,42.4,7.39,2.28,24.6,1.61,0.439,6.29,0.261,1.2,3.91,0.177,0.191,0.0327,0.504,0.677,0.607,2.59,1.38,0.126,0.723,1.08,0.364,0.0233,0.467,0.0467,0,0,0,0,0
CC2,35.5,8.94,3,22.2,0.952,0.686,5.15,0.481,6.94,7.3,0.112,0.429,0.0327,2.53,0.565,0.28,0.117,0.602,0.0373,0.205,1.25,0.145,0.779,1.14,0.07,0,0,0.0653,0.327,0
CC3,39.2,7.04,4.64,24,1.34,0.933,5.39,0.574,0.915,6.87,0.201,0.21,0.112,0.905,0.537,0.616,1.4,2.09,0.00933,1.21,0.91,0.215,0.00467,0.159,0.042,0,0,0.07,0.117,0
CC4,41.9,8.11,3.3,20.2,1.66,0.789,5.64,0.303,3.75,7.28,0.0467,0.238,0.00933,0.509,0.294,0.439,1.17,0.831,0.0887,0.233,2.12,0.121,0.173,0.168,0.107,0,0,0.028,0.117,0
