Family,Rosaceae,Amaranthaceae,Primulaceae,Asteraceae,Ephedraceae,Poaceae,Fabaceae,Crassulaceae,Polygonaceae,Saxifragaceae,Amaryllidaceae,Lamiaceae,Plantaginaceae,Unassigned,Caryophyllaceae,Brassicaceae,Orobanchaceae,Nitrariaceae,Cyperaceae,Pottiaceae
OW1,0.596867583,0.194465455,0.057901463,0.054354347,0.020017736,0.012349704,0.011867192,0.008293993,0.007237683,0.006976865,0.006768212,0.004772958,0.003455831,0.00269946,0.002529929,0.001995253,0.001864844,0.000730289,0.000730289,0.000704207
OW2,0.368740885,0.002812695,0.00144686,0.078767044,0.004329004,0.025615205,0.00329884,0.002627497,0.469882168,0.000335671,0.000196773,0.006921777,0.000381971,0.002268676,0.001435285,0.001412135,0,0,0.001736232,0.000324097
OW3,0.344075999,0.157841907,0.001362251,0.299898429,0.003035191,0.06685786,0.011770329,0.003011292,0.025823027,0.000477983,0.000167294,0.020457669,0.00390751,0.031905359,0.002413814,0.000262891,0,0,0.000179244,0.02153313
OW4,0.83411727,0.044610535,0.006304332,0.029588495,0.003262984,0.031497033,0.015108233,0.001120496,0.003706258,0.000221637,0,0.000295516,0.014800404,0.004469673,0.001342133,0.000332455,0.001711528,0,0.001957791,0.000332455
OW5,0.812808123,0.004024711,0.007034069,0.040675271,0.01759129,0.051917548,0.00382898,0.003278488,0.012612392,0.000195731,0.000293596,0.00459967,0.005345893,0.008183987,0.002691296,0.00146798,0.006483577,0,0.002593431,0.000379228
OW6,0.73794651,0.083983262,0.001649585,0.061180181,0.024173692,0.052265146,0.014555158,0.002086239,0.004439323,8.49E-05,0.00035175,0.004863849,0.000157681,0.002874644,0.000836922,0.001176542,0,0,0.001455516,4.85E-05
OW7,0.38605727,0.417601624,0.000408172,0.045914096,0.011564868,0.037949512,0.030560556,0.000481433,0.004625947,0,0,0.001894336,0.000198853,0.005348097,0.04541173,0.002124587,0,0,0.006624942,0
OW8,0.771570228,0.023832557,0.001360421,0.057339218,0.018783885,0.030795897,0.018128867,0,0.014239071,0,0,0.001118568,0.000554246,0.001310035,0.054638531,0.001259649,0.000544168,0,0.001692968,0
OW9,0.629625288,0.018767585,0.002547105,0.046039731,0.071510785,0.032654105,0.002792224,0.000873902,0.001843721,0.000948504,5.33E-05,0.003953875,9.59E-05,0.000170518,0.04299173,0.005371302,0,0,0.117582488,0
OW10,0.779857696,0.004684473,0.001499404,0.044190508,0.007152436,0.07925421,0.003492401,0,0.001266577,0,2.79E-05,0.000223514,0.000465653,0.001722918,0.041173074,0.000512219,0.000102444,0,0.005215318,0
OW11,0.659417838,0.006623399,0.000861247,0.094685901,0.014282345,0.037146402,0.00965827,0.004542052,0.047696677,0.000123035,0,0.002173623,0.000656188,0.000328094,0.089743984,0.001866035,0,0,0.005393046,0
OW12,0.778095325,0.022903935,0.002128242,0.05595249,0.011229009,0.027697546,0.023035684,0.000354707,0.015566568,0,0,0.003780163,0.001206004,0.001814073,0.051685872,0.001864745,0,0,0.000364841,0
CW1,0.268315902,0.002907388,0.000180104,0.16907877,0.077303076,0.08432712,0.006779617,0.004245301,0.275134113,0.000270156,0,0.018460628,0.000192968,0.003859365,0.000218697,0.000205833,0,0,0.046183731,0.001479423
CW2,0.791818275,0.00461231,0.000819966,0.029877518,0.014849075,0.009224619,0.000474043,0.004689182,0.024163378,0.000486855,0.00019218,0.00110183,0.000153744,0.001332445,0.001486189,0,0,7.69E-05,0.01442628,0.000333111
CW3,0.887654395,0.001373742,0.000421763,0.057094656,0.00066277,0.010977888,0.001433994,0.021317106,0.009085979,0,0,0.002952341,0,0.000373561,0,0.002217268,0,0,0.001108634,0
CW4,0.698373368,0.00232376,0.000243931,0.028283114,0.014173653,0.007446303,0.00057773,0.009410587,0.015624398,0,0,0.001900091,0.000256769,0.000808823,0.000436507,0,0,0,0.074219101,0
CW5,0.895432661,0.003218249,0.001364537,0.023815041,0.000630777,0.012499678,0.001016967,0.029891094,0.024394326,0.001119951,0.000167349,0.001467521,0,0.00025746,0,0.001776473,0,0,0.000566412,0
CW6,0.898985882,0.007680453,0.000608968,0.018554882,0.002908133,0.006698648,0.000260986,0.006338238,0.022196262,0.000546828,0.000198847,0.001391927,0,0.000434977,7.46E-05,0.000248558,0,0,0.000869954,0
CW7,0.804473858,0.001353454,0.000682056,0.038653367,0.018362214,0.068621182,0.002898736,0.000948483,0.003154507,0.000383656,0,0.006937784,0.000394313,0.003207792,0.018106443,0.000127885,0,0,0.001374768,7.46E-05
CW8,0.802448059,0.002514279,0.001552024,0.048081699,0.016306597,0.052458406,0.00632191,0.001148498,0.002628094,0.000300058,5.17E-05,0.002141793,0.000289711,0.002234914,0.0347136,0,0,0,0.00195555,0
CW9,0.857728555,0.007614078,0.000266227,0.025121133,0.01518556,0.041552633,0.002651616,0.002055269,0.00192748,0.000841276,0.000202332,0.001852936,0,0.001522816,0.019551675,0.000543102,0,0,0.002215005,0
CW10,0.848253033,0.001572049,0.000166061,0.015986184,0.01144717,0.01361704,0.000664246,0.00188203,0.004428306,0,0.000309981,0.00101851,0.000664246,0.000298911,0.013960234,0.000243557,0,0,0.000154991,0
CW11,0.83346382,0.001190463,0.000289572,0.024656535,0.01134694,0.014864705,0.001887582,0.053485055,0.021128045,0,9.65E-05,0.002177154,0.000428996,0.000686393,0.024656535,0.002456001,0,0,0.001201188,0
CW12,0.914269222,0.007452609,0.000329853,0.015101069,0.01882222,0.012379784,0.002329585,0.003782998,0.004896251,0.000680321,0,0.001494645,0.00019585,0.000721553,0.014956758,0.001206024,0,0,0.001051405,0
PW1,0.192132139,0,0.0029983,0.04568392,0,0.22610395,0.002208569,0.01049405,0.051345889,0.000522025,0,0.169122863,0,0.013438809,0.182695525,0.00523364,0.00025432,0,0.067167276,0.003306161
PW2,0.088527221,0,0.000309733,0.01336074,0,0.238747554,0.000774332,0.010376044,0.004477045,0,0,0.034591505,0,0.000844725,0.571414493,0.017570288,0,0,0.005462558,0.000366048
PW3,0.014742015,0,0.001043566,0.011307495,0,0.237232834,0.000290613,0.02047502,0.00087184,0,0,0.024226573,0.004332779,0.000726533,0.650379118,0.01239069,0,0,0.002840083,0
PW4,0.565284845,0,0.001682904,0.031199464,0,0.129833419,0.000407578,0.011701442,0.027689031,0,0,0.006849945,0,0.02780736,0.026965908,0.002208812,0,0,0.165897527,0.001038667
PW5,0.035151136,0,0.000868105,0.016052826,0,0.33313884,0.000298856,0.011413446,0.020649513,8.54E-05,0,0.010388797,0,0.008496044,0.499203051,0.008595662,0,0,0.020592588,0.000768486
PW6,0.230375471,0,0.003105106,0.04621281,0,0.208990516,0.002871249,0.007392491,0.04927894,0,0,0.087514616,0,0.011744836,0.20663895,0.004053527,0,0,0.101546057,0.00563856
PW7,0.579598274,0,0.020204895,0.019505312,0.002442611,0.074025327,0.005738949,0.038963195,0.20541643,0.002146177,0,0.001992032,0,0.002762758,0.025173117,0.002193607,0.001339879,0,0.007481977,0.00124502
PW8,0.593687141,0,0.021485033,0.023409553,0.001739679,0.073044764,0.004425308,0.051951159,0.170923443,0.003327136,0,0.001685314,0.000369682,0.001641822,0.032825565,0.001902774,0.000619761,0,0.005784432,0
PW9,0.834262472,0.000113772,0.005987258,0.007494738,0.004437112,0.032851698,0.002545651,0.010979009,0.077564139,0,0,0.001493259,0.000369759,0.001265715,0.011690085,0.002958075,0.00028443,0,0.002659423,0.000341316
