Family,Ruminococcaceae,Lachnospiraceae,Christensenellaceae,Rikenellaceae,Unassigned,Clostridiales_vadinBB60_group,Bacteroidaceae,Family_XIII,Bacteroidales_S24-7_group,Prevotellaceae,Unknown_Family,Erysipelotrichaceae,Coriobacteriaceae,Bacteroidales_Incertae_Sedis,Porphyromonadaceae,Peptococcaceae,Verrucomicrobiaceae,Bacteroidales_BS11_gut_group,Rhodospirillaceae,Desulfovibrionaceae,Acidaminococcaceae,Peptostreptococcaceae,Spirochaetaceae,Methanobacteriaceae,Defluviitaleaceae,Bacteroidales_RF16_group,Planococcaceae,Anaeroplasmataceae,Micrococcaceae,Veillonellaceae
OW1,31,33.4,7.01,7.77,0.0933,0.0747,10.2,0.443,0.798,3.02,0.173,1.47,0.149,0,1.19,0.112,0,0,0.0187,0,0,0.028,0,2.64,0.159,0,0,0.117,0.00467,0.0327
OW2,42.9,8.19,4.99,13.3,1.21,0.233,1.94,1.06,11.2,0.765,0.364,0.303,0.467,0.187,0.21,0.056,7.65,0.131,0.084,0.014,0.495,0.392,0.014,2.89,0.0653,0,0,0,0.042,0.0747
OW3,40.1,8.4,3.76,18.5,3.1,0.658,10.2,0.523,2.86,3.01,0.621,0.205,0.098,0.0747,0.187,0.145,2.07,0.985,0.131,0.285,1.12,0.0747,0.0793,2.29,0.0933,0.028,0,0.00933,0.0467,0.0233
OW4,2.19,0.999,0.0653,0.742,0.056,0.0373,1.11,0.028,2.14,0.0887,2.45,0.0373,0.177,0.0467,0.00933,0,0.0233,0.014,0.0187,0,0.00467,0.042,0.247,0.695,0,0.014,13.8,0,49.7,0
OW5,47,12.1,3.45,9.99,1.84,0.658,8.08,1.1,2.71,5.24,0.387,0.327,0.0933,0.532,0.233,0.135,1.01,0.467,0.056,0.149,0.261,0.201,1.78,0.859,0.154,0.238,0.00467,0.00933,0.219,0.014
OW6,35.4,10.5,3.41,11.7,2.6,0.0653,3.92,0.457,0.266,5.99,0.191,0.177,0.201,0.163,0.0793,0.0607,12.3,0.149,0.0233,0.0467,0,0.373,0,1.93,0.07,0,0,0,9.36,0.00933
OW7,38.3,9.29,2.86,19.7,0.677,0.448,6.22,0.565,3.11,1.06,0.0887,0.126,0.103,1.99,0.177,0.103,10.3,0.873,0.135,0.107,1.7,0.042,0.205,0.961,0.07,0.574,0,0,0.00933,0.00467
OW8,43.4,11.5,4.44,19.1,0.929,0.261,3.7,0.439,2.79,0.215,0.159,0.182,0.359,0.00467,0.0513,0.084,9.5,0,0.028,0.00467,0.0373,0.168,0,2.28,0.0327,0,0.00933,0,0.014,0.261
OW9,11.3,29.7,0.481,12.5,0.672,0,33.8,0.359,0.373,0.0187,2.72,1.62,0.901,0,0.21,0.173,2.39,0,0.257,0.0187,0.014,0.121,0.014,2.23,0.0653,0,0,0,0.00467,0.014
OW10,45.5,16.4,8.59,11.3,0.985,0.247,3.07,1,1.54,2.95,0.159,0.327,0.481,0.173,0.0793,0.238,2.94,0.271,0.00933,0.0887,1.47,0.042,0.028,0.397,0.028,0.028,0,0,0,0.149
OW11,36.3,8.74,4.75,12.4,1.09,0.201,5.53,0.728,17.3,0.924,0.448,0.271,0.229,0.695,0.331,0.126,4.95,0.313,0.0187,0.0187,0.462,0.243,0.0187,3.42,0.126,0,0,0,0.00467,0.154
OW12,44.9,14.4,6.72,17.4,0.831,0.154,6.37,0.565,3.2,0.173,0.257,0.294,0.084,0,0.103,0.0607,1.69,0,0.00467,0,0.0607,0.191,0,2.2,0.0327,0,0,0.0187,0.00933,0.196
CW1,48.3,10.2,2.9,19.2,2.04,0.131,5,0.481,0.929,2.57,0.117,0.275,0.07,0.135,0.261,0.121,4.34,0.602,0.145,0.0187,0.219,0.0467,0.252,0.952,0.0653,0,0,0,0.00933,0.014
CW2,29.1,8.2,3.62,7.68,4.29,0.182,1.19,0.551,0.462,2.05,0.0513,0.401,0.285,0.014,0.238,0.0887,1.4,0.084,0.00467,0,0.084,0.103,0.168,0.439,0.0327,0.0513,0,0.0327,0,0
CW3,32.3,14.2,2.06,19.5,3.1,0.112,1.9,0.644,1.53,3.01,0.882,0.425,0.149,0.126,0.541,0.0513,15.4,0.028,0.0187,0.00467,0.042,0.042,0.434,3.01,0.0233,0,0,0.00467,0.00933,0.00933
CW4,60.5,15.4,4.68,3.09,3.01,0.336,0.854,1.12,0.504,1.3,0.322,0.859,0.205,0.00467,0.0327,0.135,3,0.303,0.0187,0.401,0.355,0.224,1.22,1.6,0.0653,0.042,0,0.0187,0.00467,0
CW5,43.9,10.4,3.52,18.9,2.55,0.117,4.91,0.621,1.1,5.89,1.19,0.481,0.285,0.056,0.345,0.0187,2.73,0.0233,0.014,0,0.182,0.0513,0.0233,2.38,0.0327,0,0,0.0187,0.084,0.00467
CW6,42,14.9,4.69,12.9,2.29,0.117,5.77,0.588,2.8,5.41,0.0653,0.635,0.187,0.084,1.04,0.117,3.54,0.173,0.042,0.014,0.607,0.439,0.271,1.03,0.0233,0.00467,0.00467,0.07,0,0.00467
CW7,28.3,14.6,4.64,13.3,0.439,0.355,1.63,0.439,2.59,2.43,1.88,0.163,1.9,0.173,0.462,0.163,7.06,0.182,0.0187,0.028,0.355,0.187,0.0373,17.8,0.042,0.271,0,0,0,0.0513
CW8,32.6,16.8,4.37,19.4,0.667,0.63,2.01,0.565,3.98,3.48,3.57,0.313,1.45,0.243,0.789,0.401,0.215,0.415,0.028,0.0233,0.406,0.187,0,5.89,0.0373,0.831,0,0,0,0.131
CW9,36.1,15,4.01,19.7,0.583,0.621,2.11,0.439,2.63,1.24,2.47,0.504,1.5,0.126,0.672,0.341,1.61,0.289,0.0233,0.0233,0.49,0.187,0.0327,8.24,0.0327,0.401,0,0,0,0.084
CW10,45.9,11.6,2.57,23,1.61,0.383,3.13,0.639,1.12,3.25,0.0373,0.252,0.406,0.112,0.42,0.201,0.373,0.383,0.0653,0.168,2.37,0.07,1.04,0.756,0.0373,0.014,0,0.00467,0,0
CW11,45.4,7.17,5,22.1,1.43,0.364,3.63,0.49,3.91,3.3,0.406,0.159,0.243,0.187,0.243,0.182,2.91,0.0327,0.00467,0.149,0.355,0.084,0.532,1.48,0.0187,0,0,0,0.00467,0.056
CW12,40.3,13.2,4.33,18.5,0.667,0.191,5.59,0.331,1.57,5.48,1.75,0.187,0.131,0.448,0.397,0.187,4.49,0.0793,0.0233,0.0373,0.924,0.0747,0.196,0.462,0.0607,0.154,0,0.028,0,0.042
PW1,46.7,11.2,4.72,14.5,0.714,0.383,4.98,0.943,2.89,2.49,0.205,0.168,0.098,1.25,0.467,0.149,5.84,0.275,0.0327,0.107,0.415,0.173,0.327,0.695,0.121,0,0,0,0,0
PW2,34.9,11.4,4.73,18.7,1.06,0.397,5.21,0.793,2.63,12.6,0.849,0.322,0.0793,1.55,0.233,0.294,0.042,0.541,0.252,0.042,0.91,0.215,0.723,1.11,0.07,0,0,0.00933,0,0.00933
PW3,45.2,8.02,2.65,23.9,1.17,0.397,2.96,0.588,1.68,4.32,0.243,0.21,0.0747,0.985,0.373,0.247,5.07,0.21,0.0467,0.112,0.499,0.0467,0.0467,0.863,0.0747,0,0,0.00467,0.00467,0
PW4,40.7,10.6,3.72,19.9,1.35,0.317,2.81,0.761,1.7,5.38,0.056,0.201,0.182,0.677,0.215,0.163,5.96,0.243,0.00467,0.014,0.803,0.0747,0.383,3.67,0.028,0,0,0.00933,0,0
PW5,54.5,3.91,3.35,17.3,1.06,0.518,4.92,0.779,2.39,5.42,0.107,0.495,0.135,0.509,0.187,0.163,0.42,0.182,0.014,0.0607,0.513,0.042,0.219,2.44,0.187,0,0,0,0,0.00933
PW6,47.5,10.1,3.74,16.7,0.812,0.509,5.73,0.863,2.99,2.81,0.187,0.201,0.0747,1.2,0.467,0.112,3.38,0.247,0.07,0.322,0.537,0.159,0.499,0.415,0.145,0,0,0,0,0.014
PW7,48.1,10.8,4.68,18.7,1.28,0.28,3.82,0.485,2.88,2.87,0.159,0.112,0.0373,0.751,0.266,0.0887,3.07,0.0933,0.042,0.0747,0.154,0.098,0.373,0.597,0.084,0,0,0,0,0.0187
PW8,50.2,11,4.6,19.1,0.952,0.42,4.77,0.513,2,1.47,0.117,0.238,0.191,0.812,0.308,0.107,1.55,0.126,0.042,0.07,0.219,0.107,0.149,0.705,0.0327,0,0,0.00467,0,0
PW9,51.6,9.14,3.09,11.2,1.53,0.299,6.46,0.849,2.42,6.15,0.621,0.35,0.0327,1.45,0.336,0.159,0.154,0.471,0.0933,0.0373,0.821,0.107,0.509,1.6,0.126,0.0373,0,0.00467,0.00467,0.056
PW10,39.7,13.4,3.87,13.6,1.52,0.327,7.17,0.611,3.65,11.2,0.625,0.313,0.014,0.621,0.443,0.112,0.233,0.131,0.0327,0.014,0.35,0.07,0.471,1.19,0.0793,0,0,0.00467,0,0.0513
PW11,44.6,11.6,3.31,14.4,0.733,0.182,10.4,0.574,1.97,5.32,0.509,0.247,0.0233,1.03,0.378,0.107,1.26,0.49,0.07,0.014,0.303,0.056,0.243,1.86,0.0887,0,0,0.0187,0.00467,0.028
PW12,47,15.7,4.93,10.8,0.765,0.103,6.89,0.611,2.4,5.59,0.462,0.257,0.0513,0.7,0.229,0.0607,0.327,0.243,0.0187,0.00467,0.224,0.0467,0.07,2.35,0.0467,0,0,0,0,0.0233
