Compound_ID,OW1,OW2,OW3,OW4,OW5,OW6,CW1,CW2,CW3,CW4,CW5,CW6,PW1,PW2,PW3,PW4,PW5,PW6
Com_23_pos,387283372.1,5595536150,6656987161,180195732.3,6420898641,5711311491,1184279955,4870367569,8541799395,7928373595,5028705354,5734981450,5317936092,6272373668,6060606086,6915471477,7383967005,7237728754
Com_189_pos,94835667.39,510269180.7,298931700.1,130377359.8,333368984.1,971908702.5,455210046.4,285356981.5,756468664.6,581244394.2,97935285.88,88677957.21,296129253,357801681,209519954.4,259814498.1,220916840.9,231549427.7
Com_200_pos,1052110.072,95688585.13,52174230.84,556409.3502,30495030.24,971342978.1,1007386.471,3613904.415,26423290.13,17742045.14,18714928.98,18972176.59,9858294.48,10534318.03,15820993.88,9772535.414,11924909.93,18496217.76
Com_259_pos,788367815.6,632440361.9,549747812.3,278234653.1,947658057.9,871492857,701294325.8,375219732.6,1100853139,759241773,341883314.4,377730560.7,1104683966,1160234841,1135060839,1183291852,1315297625,1022691852
Com_266_pos,2456302.746,421979519.3,265538881.5,2075244.762,219403060.7,742367625.2,5203402.523,17389417.59,38524113.93,194132696.8,134013470.9,159530663.8,76718257.1,132532639,145530290.8,122676014.9,139249457.3,260537762.4
Com_275_pos,3464456654,1465785573,1597096467,1635911558,1238501570,2059413267,1207147972,1473193219,1911572691,1305152550,939821454,964736726.9,1476380351,1549263137,1318555115,1455301687,1679739902,1575117631
Com_304_pos,777774514.3,745783829.7,797390623.7,41816295.08,425408193.7,541996684.6,361436955,559466288,438235187.4,400121797.1,291687604.3,286553455.7,451330833.2,460681520.6,607724228.6,371586433.9,428689110,492617937.4
Com_497_pos,8207680.138,459718067.4,287642867,49097542.38,180386395.4,265305137.9,389318469.2,243601510.6,338975985.5,243874325.2,117644217.7,146752474.7,67189179.52,104098343.7,62290115.2,123287675,72226020.06,105718552.7
Com_673_pos,67587414.53,643060823.9,441059109,123820329.5,406097464.3,1455619087,548230400.2,522177013.7,832428563.6,606427921.1,196751532.2,176792634.6,351133702,353404455.5,283421912.5,336912106.2,260150919,260512476.4
Com_719_pos,19571563.69,17631764.96,962711.9516,26486188.82,18156219.55,19706932.56,2038766.544,16509253.34,20040624.35,11687512.3,10353257.34,10905272.23,17792061.48,23637799.26,13904285.15,18507381.59,18448208.36,24837393.94
Com_734_pos,46877771.87,485132245.1,301929911.6,107458851.9,356210680.3,67985049.69,202670416.3,129860656.8,48392692.64,130459959.2,40707743.78,39965307.55,167792940.7,137320422.1,147172433.7,97587470.58,215451793.3,184062208.1
Com_761_pos,222337721.4,380024314.4,359909748.1,155664107.9,459678622.4,366648972.8,427715310.3,256731226.2,625411219,378032329.5,272600850.1,202592218,486687965.1,586673731.8,457102261.9,474009283.3,339132244.1,382989295.9
Com_786_pos,57998089.67,20842294.56,64486946.55,98899959.05,46788688.6,36636650.02,78454933.7,114803978.5,28468019.87,29217482.08,95130700.74,117462142.7,24225720.93,25407435.7,26761309.03,25494501.99,34395934.75,30199440.77
Com_874_pos,1784875.424,266509697.2,244267545.7,23807906.65,116126160.9,445412567.1,282399841.2,225255125.2,217445899.3,120799321.3,83529258.33,97905775.63,45333854.33,60679942.56,27658518.47,62461505.52,34183715.2,47239568.12
Com_880_pos,2693082.72,21305361.72,21260717.61,30103750.82,18068962.12,2155417.449,38758714.57,10221399.42,8446878.789,4426056.7,31340044.9,27640649.75,224355439.6,185616943.3,1599084528,1233035358,65190823.47,47579998.48
Com_892_pos,544683513.8,3709363.403,1858245.573,1321806.239,2779053.952,2818909.296,2994775.192,5421069.96,7026535.994,1190216.199,2334121.888,2274423.975,880973.5555,700389.8818,775432.026,8993768.679,1690175.302,777542.4128
Com_926_pos,95222837.66,303129393.1,673791823.9,19202415.82,81055396.22,266157870.8,276761337.6,518096609.8,251516115.6,117858391.8,47064728.39,39092522.78,195623048.4,217478619.1,51996266.25,327605663.3,72018188.22,68825334
Com_1045_pos,406238689.3,47560214.6,141965231.5,97095146.79,37550509.77,133812295.4,91707598.31,95596241.4,132871694.8,48404155.8,89828198.65,85968428.83,129744834.7,75802603.62,81061518.42,97576916.47,149469258,50544880.53
Com_1386_pos,32112970.63,102489764.9,34501575.33,138360103.5,152130396.4,528814290.2,39789418.24,78279646.95,274200252.5,206009389.2,18416702.98,11609404.49,264457055.4,265350061.3,113107472.5,91942998.96,81709693.04,98436200.71
Com_1869_pos,4538375.108,2037965.808,1954066.791,5616985.068,2352299.312,1444372.227,32945076.72,53281469.63,2027841.895,1562180.352,20753906.08,54031508.32,1843361.405,1401849.544,1302971.573,1295132.462,1878856.386,1598720.536
