Compound_ID,OC1,OC2,OC3,OC4,OC5,OC6,CC1,CC2,CC3,CC4,CC5,CC6,PC1,PC2,PC3,PC4,PC5,PC6
Com_23_pos,1825769812,5200103575,5658380790,4009362286,2050366096,6066502179,2560853098,2990864371,3127606963,5852599453,6090273445,4134239742,6205061154,1025223939,6088441703,4798893055,2409797138,4063127927
Com_189_pos,35640110.44,40913499.78,35544315.34,48786796.48,30711676.12,104148717.1,107298699.8,75242014.8,75171595.55,69245913.54,110692404.3,86607774.55,107749116,95003243.96,102133398.6,47434217.15,57555760.46,61859089.56
Com_200_pos,900218.6059,2838563.403,10770340.41,3169318.425,633248.3464,4456227.52,1088921.704,902257.3325,965571.4431,2485488.71,3752343.361,2785503.927,7030687.572,715311.6857,4072640,3085145.985,682040.7795,823217.2995
Com_259_pos,304655643.7,351651880.5,367691697.1,514783759.2,425218967.9,584272798.9,209436871.1,503519417.9,549336819.6,299438678.8,168097933.5,670298199.4,584600414.6,718089196,488538234,304934367.9,313231464.7,448036044
Com_266_pos,6954688.812,22950771.73,51709603.39,21249947.42,5272061.295,43839943.77,14878813.87,12799472.46,7747185.888,36470739.71,38713234.44,20179338.64,59832818.51,9840390.867,54817194.3,24443546.21,10108376.74,21237671.44
Com_275_pos,640910716.5,827059476.5,760394055.7,763602527,883226373.9,816489154.2,879128297.9,734999973.5,648463498.2,587599140.1,660824789.1,983650766.7,883654397.6,914626402.5,813479189.2,865391132.2,999864054.7,962479882.2
Com_304_pos,164483699,161588067.6,101663009.5,241107225.1,41965612.27,23239308.13,413204073.2,87094702.35,67036567.74,33571347.47,285041865.4,319987849.8,291592094,123431935.4,244891201.3,111283327.7,103861653.8,154962457.9
Com_497_pos,26260436.3,65545752.99,53153074.27,41584384.55,34078405.45,68291377.25,18132146.31,6695234.491,10653220.16,16892800.7,19016781.52,7684296.92,37143911.94,57480641,71149770.67,40867056.84,33609635.16,65320407.4
Com_673_pos,85878497.32,102065732.7,79562827.76,87270932.55,72656475.7,171867141.9,175394687.2,132716998.5,146558231.7,117040660.8,171690395.3,300204094.6,173921541.2,180776269.1,171460716.2,68786499.14,127763171.4,134432371.4
Com_719_pos,4887657.743,6119163.077,6142913.44,9224169.565,5124465.403,12943630.1,5300600.368,6068820.776,8298165.969,5956439.971,3978892.864,3432249.572,9446272.764,9160547.04,7901497.185,5695402.881,8346393.624,7920960.043
Com_734_pos,17034192.53,16653747.86,22762876.27,10770790.44,57417090.44,101273014.9,123741424.9,90620970.91,91731540.94,50884757.21,111249161.8,106838781.9,15318146.09,52010720.19,43060750.54,27982515.5,24041955.54,12742257.67
Com_761_pos,114879914.8,201739769,161872129.3,173209537.6,188255685,367921412.3,76374980.29,155828050.2,143224477.4,106897491.9,89917482.9,266525091.6,254120893.3,228239640.3,208493160,224560398.3,166753930.1,303910838.5
