Compound_ID	Name	Class_I	Class_II	Class_III	Class_IV	OS1	OS2	OS3	OS4	OS8	OS9	OW1	OW2	OW3	OW4	OW5	OW6	CS1	CS2	CS3	CS5	CS7	CS8	CW1	CW2	CW3	CW4	CW5	CW6	PS7	PS8	PS9	PS10	PS11	PS12	PW7	PW8	PW9	PW10	PW11	PW12
Com_42_neg	Phenylacetaldehyde	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes	Phenylacetaldehydes	22094619.64	28211595.27	26640451.7	35106465.86	31481926.87	48420088.84	16305637.3	8422808.466	12298212.88	32717951.68	19548530.17	28245625	74471453.78	30803367.62	100229830.7	78818209.78	61812916.6	50588277.51	14089454.15	34462406.57	45361511.03	33387817.65	12515512.66	12636669.01	25654364.2	31168829.59	34675782.55	82047964.22	52683105.44	39835279.17	46809468.43	27694834.82	39722956.08	17983749.53	19103812.9	14760663.76
Com_45_neg	Dodecanedioic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	90894952.44	728741626.2	731956750.6	1176669565	1008756024	176501810.7	657543081.1	687575687.9	670196534.9	741825853.1	775957880.5	920488952.2	988525491.1	750927390.2	4595588082	741626646.1	753306861.5	759067716.2	707275603.8	1029620723	608811333.2	1212756304	653641448.1	465403498.5	1635457007	1582602628	2322199747	1862489960	1966805331	1801175149	1263741444	1503892352	1432107149	964070360.2	1234116382	1039271423
Com_91_neg	D-(-)-Quinic acid	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Quinic acids and derivatives	16308182.15	368171534.1	316518474.8	75908516.45	368622414.9	144043509.6	811852158.7	712864603.6	348008316.6	307207179.6	309718242.7	1189509927	1912678856	1619340492	151036460.7	313490674.3	997485915.8	666037108.2	657673651.5	206790176.8	142302224.2	397548477.4	801241250.4	362098559.3	273947515.1	232326047.5	190984331.9	144176485	230447951	209761969	251001421.5	143414521.5	152601397.7	677405124.1	582309947.7	632246262.9
Com_130_neg	Sucrose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	11475854.65	11986978.35	99076230.81	469819559.1	17309471.74	12543173.41	15446271.62	14380668.09	45064947.24	44789698.29	89303803.37	33229443.9	32716826.11	49889521.94	36895048.71	17498192.23	19268112.04	16663685.61	9679521.89	35097079.98	31585320.95	34091310.13	11985843.92	20053100.74	20907848.5	24988436.82	22004811.97	35393126.83	15412549.26	24735254.02	58207430.12	41487080.42	18217670.83	28975104.39	41640749.61	22880417.27
Com_251_neg	Succinic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	27474144.11	145929508	51601368.29	35653768.16	1382700931	241590736.8	47778840.98	79940684.35	23341733.47	21796574.12	16823155.69	31511178.06	64093015.38	31731739.01	212615479.8	203952824	137481349	94580114.68	72243755.7	21347094.76	8179518.182	41153438.67	69433510.76	104937223.1	210764929.9	162240165.3	146183684.2	123980400.7	145064552.7	138124683.7	40303338.64	40959585.28	40273025.18	32539157.52	30446999.87	34515405.97
Com_415_neg	Glutaric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	34552322.41	201723820.7	57395872.76	241308002.4	416570837.2	122785661.7	48121487.17	59838985.95	24144568.14	39223588.84	21849605.39	108876237.1	262920477.1	292006005.2	298588811.9	529573244.8	260311301.6	238740307.4	400615439.3	184650756.8	150145557	160324588.5	428678012.1	204601562.1	239476233	278954441.5	355555979.8	365327231.5	278943165.5	308402582.4	219531443.8	91455488.47	125395820.2	41408895.35	42888854.09	50073773.39
Com_504_neg	Caffeic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acids	5258041.972	11492975.16	16810273.33	3650135.186	12337072.5	5868804.413	74859451.1	39256590.61	32550601.69	35698692.8	31043931.17	49711144.81	205695402.5	55124182.72	41436544.78	73789603.46	42837891.28	21536008.12	65694209.61	44661192.99	38238818.67	32026974.02	62123974.23	31930864.02	28083671.87	12023459.7	17909068.63	20501945.97	28015369.61	15231597.06	23288515.76	39475801.77	25846323.52	62531752.44	55984480.95	59485634.29
Com_513_neg	Suberic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	15597667.04	153969532.2	106575751.3	85157574.17	82261466.02	26753040.38	93639371.28	110488759.3	128835885	185218634.4	194025176.8	170623560.7	128436320.6	50964723.13	41021862.5	38076162.7	98428448.48	94685709.44	103033767.9	174582045.1	104657377.3	230777436.6	88187742.15	49113297.09	162411992.6	167187337.5	154804430.5	150961859	123246193.4	109535647.9	245561590.3	292882104.9	194334487.1	130739273.9	151395726.8	133407864.6
Com_612_neg	2-Isopropylmalic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	3519005.265	15920710.25	8504295.155	167250634.7	33242663.03	12236764.91	4743969.06	5611217.308	3910551.028	4018344.788	4914814.257	7610986.746	17407116.01	25889150.37	26173104.66	17992803.77	7426183.101	6258019.806	8137880.993	5046082.57	6123283.326	5735437.556	10822269.3	4109037.477	28333762.65	29737748.22	27432128.03	64667328.95	27522075.04	29172221.01	3442894.052	4281927.419	3896567.068	4761021.216	5803290.561	6276587.034
Com_629_neg	Glycodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Bile acids, alcohols and derivatives"	Glycinated bile acids and derivatives	732267.4524	29126525.57	2437380.651	1890794.401	59312538.56	30499260.81	80815340.1	21977475.5	103380366.2	112927034.9	166081007	57609506.08	5123962.597	3778780.109	9708572.612	6939743.879	102548665.4	80517518.6	99831595.36	69249717.06	7433553.94	3399140.682	100101820.8	32335441.85	59600878.72	61634505.13	26451078.96	59491047.44	45249805.85	43662326.74	117118232.9	55774071.57	33064417.99	22163936.42	23803940.39	29416373.35
