Table S7. CAZyme																																				
CAZy_Family	CW1	CW2	CW3	CW4	CW5	CW6	OW1	OW2	OW3	OW4	OW5	OW6	PW7	PW8	PW9	PW10	PW11	PW12	CS1	CS2	CS3	CS5	CS7	CS8	OS1	OS2	OS3	OS4	OS8	OS9	PS7	PS8	PS9	PS10	PS11	PS12
CBM90	0	0	0	0	0	0	2.01875075	0	0	1.99854667	0	0	0	0	0	3.28894428	14.4926786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL39	0	1.54734313	0	0	0	0	0	0	7.34844126	0	14.03762501	0	0	0	1.80278869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM52	0	0	0	0	0	0	0	13.3978784	0	1.20717584	0	0	0	0	0	0	0	1.14623217	0	0	0	0	0	0	2.30015294	0	0	0	0	0	0	0	0	0	0	0
GH119	0	3.76794668	6.33346333	7.84935174	3.05975092	0	3.05357256	3.35509896	14.20286967	3.02301177	15.9854935	9.1726372	2.91610253	3.04281589	15.17513206	18.70102204	9.80860899	9.94083978	1.12406207	1.12823567	0	0	0	0	0	1.85243169	0	11.82725857	1.8764088	0	0	0	11.08525752	7.44224321	0	0
GT112	0	16.31175685	0	3.72923336	1.21083739	7.38995562	5.82954761	2.13506298	0	5.36922986	0	0	9.3283925	56.50316081	1.77386695	5.24295075	15.36234086	0	0	0	0	0	2.3428403	2.12297574	0	6.30062753	0	49.73129276	16.36773617	0	0	0	1.59999037	0	0	0
GT108	40.00871081	53.60282096	45.70678449	102.3828973	54.73983969	43.08427589	25.04143236	83.95839783	56.1799505	66.94421837	43.41235067	80.81907338	52.99923533	99.61923663	91.68785431	48.97630484	103.7196652	61.22655108	10.13727218	3.43853805	4.12558023	6.42756678	0	3.27843138	84.16177673	39.95422432	20.01130188	4.89631254	81.13071379	25.56520411	60.75573321	120.331313	35.74897301	35.30967433	34.77655976	36.71385185
GT91	0	0	0	0	0	0	0	0	1.88842625	2.00971174	0	0	0	0	0	0	0	0	0	0	0	0	6.16468035	11.17230807	0	0	1.80103019	0	0	0	0	0	0	0	0	0
GH169	0	0	0	0	0	0	0	0	0	0	0	0	3.98869197	0	5.71919171	0	0	3.92617457	2.53346297	0	0	0	0	17.94731027	0	5.07281294	0	0	0	0	0	0	0	0	0	0
GT59	0	0	2.07055532	0	0	0	0	0	0	1.97658462	0	1.99916452	0	0	0	0	0	0	0	0	0	0	8.08408631	27.47037286	0	0	0	1.62462343	0	0	0	0	0	0	0	0
GH68	0	10.82551849	0	0	0	0	0	0	0	0	9.54281897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.73886837	0	0	12.91715671	0	0	0	0	0	0	0
GH147	16.16974811	15.47117203	28.32112988	10.07959854	27.12955422	26.0752211	0	15.93925895	39.50542323	32.50395839	35.15401074	26.28686854	50.0031298	25.62108415	36.96117623	21.27078228	29.67252128	38.49744723	3.02156134	15.15025967	16.76981023	14.23619857	23.53805047	28.77989341	0	33.89712476	52.60822478	37.88893239	1.88700998	0	31.60334996	13.22044265	60.907904	28.68558774	10.50577358	3.75477427
GH131	0	1.73076679	2.29082716	1.10022889	0	0	0	0	1.02744164	1.09342979	1.12154711	2.21184159	0	1.10059298	1.00824656	0	0	0	1.0010644	0	0	0.89999281	8.9440955	11.14400942	1.0417106	0	0	0.89872786	0	0	0	0	0	0	0	0
AA7	0	20.49686226	11.93943758	5.926108	0	0	0	0	1.26602359	1.50518159	3.20829742	18.0392291	0	1.82876309	0	1.23851458	0	0	2.74463253	0	0	2.57451922	34.85791711	36.32635367	0	0	6.00005347	103.8509659	1.39749275	0	0	0	0	0	0	0
CBM59	14.08869807	8.54657096	9.15878599	15.23038401	12.55808162	30.10847298	14.63594291	24.20268683	33.29866162	15.20583494	37.63553762	12.86462368	21.68851257	0	30.07718114	34.82411591	7.33835631	21.34857423	15.13644453	1.88898887	5.11151472	0	52.95658345	23.48300662	11.11533366	13.25514052	2.77341475	7.93460481	61.69861025	0	4.18238078	3.0711548	21.05172517	13.16471518	13.62463051	20.31300619
GT95	0	0	3.78734742	0	0	0	0	0	0	0	0	7.41026625	0	0	0	0	0	0	3.48518715	0	0	0	16.83093831	15.69453178	0	0	0	1.4858365	0	0	0	0	0	0	1.77346721	0
GH22	0	0	27.57373671	0	0	0	0	0	0	0	0	0	2.53296497	21.1442389	0	2.16062033	2.1157195	0	0	0	0	0	16.22761444	4.90157633	0	14.58994871	0	0	0	0	0	0	0	0	0	0
GT45	0	0	0	0	0	0	0	0	0	0	0	1.85164347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.28555207	0	0	0	0	0	0	0	0
