Level3	CW1	CW2	CW3	CW4	CW5	CW6	OW1	OW2	OW3	OW4	OW5	OW6	PW7	PW8	PW9	PW10	PW11	PW12	CS1	CS2	CS3	CS5	CS7	CS8	OS1	OS2	OS3	OS4	OS8	OS9	PS7	PS8	PS9	PS10	PS11	PS12
ko04610	0	0	0	0	0	0	0	0	18.17356441	0	0	0	0	19.46747802	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35874117	0	0	0	0	0	0	0	0
ko01056	1.96566865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86242471	1.73565013	6.13611714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	3.29364547	1.90442232	5.04135208	1.21061974	16.44147092	2.49004797	0	0	0	6.01569232	4.9363077	0	0	0	0	0.98998323	0	0	0	0	0	0	0	0	0	0	0	0.98890122	0	0	0	0	0	0	0	0
ko00624	29.65773329	523.3013122	333.6195188	372.7146291	11.7147567	30.22085955	11.97994215	20.57960209	71.51601063	16.76231626	201.3315763	1487.616391	34.54695968	89.58948626	28.01524773	45.27802267	59.24180474	18.42886824	11.6633373	3.84387269	8.45201619	9.73265042	15.01330315	10.8835001	0	73.38326186	25.71844186	3436.027545	36.21295724	0	10.29703281	17.03763057	7.51029655	37.03703602	41.8386537	52.49838513
ko03266	0	2.90521568	3.27820192	5.43945457	0	0	0	0	3.86367037	0	3.80943245	5.23522219	0	0	0	0	0	0	2.17207429	0	0	0	28.78400653	56.29858761	0	0	2.8431256	4.19164426	0	3.42827044	0	0	0	0	0	0
ko04215	1.76487454	8.23797619	15.92879847	7.052908	2.23454537	6.76840313	10.51408013	6.43962543	19.38060008	9.04155339	6.88297727	5.14368451	0	8.83115594	0	1.59142465	7.31009009	0	0	0	0	1.01057213	20.08605746	9.10053763	0	0	1.10028807	14.63769625	0	0	3.3268938	1.78325118	0	1.50536283	5.1277126	0
ko00571	13.20424421	996.0566419	466.2548904	717.7186056	12.454953	5.21896967	46.29472618	104.324629	112.3099563	22.01409712	342.4706478	2577.99948	25.97262846	106.4191879	23.94688154	14.32213384	46.59068603	8.11612118	15.71552162	1.99140392	11.61166577	20.91499142	22.49516361	17.64089278	7.78915427	34.20610303	67.73677532	6417.666597	51.22795087	49.22080061	29.99096754	15.66749131	29.46532685	10.37519476	13.24164979	9.46360591
ko04744	0	0	0	3.23192235	0	0	4.25000157	0	0	3.21195001	11.02455174	9.58094895	0	0	0	0	0	0	3.87470807	0	0	0	48.54779487	82.37719019	0	0	17.47993358	1.72913137	3.0363706	0	0	0	0	0	0	0
ko00073	0	0	0	1.99986356	0	0	0	0	0	1.98750498	2.92848413	4.89789171	0	0	0	2.79249986	0	0	0	2.62359565	1.9751335	0	24.75720417	8.16972374	0	0	2.55860638	28.81815824	0	8.92644	0	0	0	0	0	0
ko04670	0	13.13268239	11.28953913	7.67990778	0	5.31803103	2.59553667	0	7.65731286	4.90630753	7.21918106	10.13579826	1.23934358	0	1.54285172	3.51632095	2.07038266	0	4.77530538	0	2.38332776	1.49544259	97.47417927	111.1741261	0	0	14.51962013	33.70792571	0	22.80006362	0	0	0	0	0	0
