Species,Group,all samples,diet metabarcoding,16S  rRNA,Meta genome,Metabolism,Site,altitude,sampling date
"Marco Polo sheep
 (Ovis ammon polii)","OS 
(Marco Polo sheep samples in summer)",OS1,OS1,OS1,OS1,OS1,Pamir,4171.907715,20230808
,,OS2,OS2,OS2,OS2,OS2,Pamir,3709.397461,20230809
,,OS3,OS3,OS3,OS3,OS3,Pamir,4171.907715,20230808
,,OS4,OS4,OS4,OS4,OS4,Pamir,4171.907715,20230808
,,OS5,OS5,OS5,,,Pamir,4171.907715,20230808
,,OS6,OS6,OS6,,,Pamir,4171.907715,20230808
,,OS7,OS7,OS7,,,Pamir,4171.907715,20230808
,,OS8,OS8,OS8,OS8,OS8,Pamir,3709.397461,20230809
,,OS9,OS9,OS9,OS9,OS9,Pamir,3709.397461,20230809
,,OS10,OS10,OS10,,,Pamir,3709.397461,20230809
,,OS11,OS11,OS11,,,Pamir,3709.397461,20230809
,,OS12,OS12,OS12,,,Pamir,3709.397461,20230809
,"OW 
(Marco Polo sheep samples in winter)",OW1,OW1,OW1,OW1,OW1,Pamir,3692.049561,20231114
,,OW2,OW2,OW2,OW2,OW2,Pamir,3692.049561,20231114
,,OW3,OW3,OW3,OW3,OW3,Pamir,4240.136719,20231114
,,OW4,OW4,OW4,OW4,OW4,Pamir,4240.136719,20231114
,,OW5,OW5,OW5,OW5,OW5,Pamir,4126.2,20231114
,,OW6,OW6,OW6,OW6,OW6,Pamir,4126.2,20231114
,,OW7,OW7,OW7,,,Pamir,3692.049561,20231114
,,OW8,OW8,OW8,,,Pamir,3692.049561,20231114
,,OW9,OW9,OW9,,,Pamir,4240.136719,20231114
,,OW10,OW10,OW10,,,Pamir,4240.136719,20231114
,,OW11,OW11,OW11,,,Pamir,4126.2,20231114
,,OW12,OW12,OW12,,,Pamir,4126.2,20231114
"Siberian ibex
 (Capra sibirica)","CS 
(Siberian ibex samples in summer)",CS1,CS1,CS1,CS1,CS1,Pamir,3886.081055,20230808
,,CS2,CS2,CS2,CS2,CS2,Pamir,3886.081055,20230808
,,CS3,CS3,CS3,CS3,CS3,Pamir,4088.237549,20230810
,,CS4,CS4,CS4,,,Pamir,3886.081055,20230808
,,CS5,CS5,CS5,CS5,CS5,Pamir,4088.237549,20230810
,,CS6,CS6,CS6,,,Pamir,3886.081055,20230808
,,CS7,CS7,CS7,CS7,CS7,Pamir,3649.24585,20230808
,,CS8,CS8,CS8,CS8,CS8,Pamir,3649.24585,20230808
,,CS9,CS9,CS9,,,Pamir,3649.24585,20230808
,,CS10,CS10,CS10,,,Pamir,3886.081055,20230808
,,CS11,CS11,CS11,,,Pamir,4088.237549,20230810
,,CS12,CS12,CS12,,,Pamir,4088.237549,20230810
,"CW 
(Siberian ibex samples in winter)",CW1,CW1,CW1,CW1,CW1,Pamir,3681,20231115
,,CW2,CW2,CW2,CW2,CW2,Pamir,4112.534668,20231113
,,CW3,CW3,CW3,CW3,CW3,Pamir,4112.534668,20231113
,,CW4,CW4,CW4,CW4,CW4,Pamir,4112.534668,20231113
,,CW5,CW5,CW5,CW5,CW5,Pamir,3681,20231113
,,CW6,CW6,CW6,CW6,CW6,Pamir,3681,20231113
,,CW7,CW7,CW7,,,Pamir,4112.534668,20231113
,,CW8,CW8,CW8,,,Pamir,4112.534668,20231113
,,CW9,CW9,CW9,,,Pamir,4112.534668,20231113
,,CW10,CW10,CW10,,,Pamir,4112.534668,20231113
,,CW11,CW11,CW11,,,Pamir,4112.534668,20231113
,,CW12,CW12,CW12,,,Pamir,4112.534668,20231113
"blue sheep 
(Pseudois nayaur)","PS 
(blue sheep samples in summer)",PS1,PS1,PS1,,,Pamir,4543,20230901
,,PS2,PS2,PS2,,,Pamir,4543,20230901
,,PS3,PS3,PS3,,,Pamir,4543,20230901
,,PS4,PS4,PS4,,,Pamir,4543,20230901
,,PS5,PS5,PS5,,,Pamir,4543,20230901
,,PS6,PS6,PS6,,,Pamir,4543,20230901
,,PS7,PS7,PS7,PS7,PS7,Pamir,4543,20230901
,,PS8,PS8,PS8,PS8,PS8,Pamir,4543,20230901
,,PS9,PS9,PS9,PS9,PS9,Pamir,4543,20230901
,,PS10,PS10,PS10,PS10,PS10,Pamir,4543,20230901
,,PS11,PS11,PS11,PS11,PS11,Pamir,4543,20230901
,,PS12,PS12,PS12,PS12,PS12,Pamir,4543,20230901
,"PW 
(blue sheep samples in winter)",PW1,PW1,PW1,,,Pamir,4820,20231115
,,PW2,PW2,PW2,,,Pamir,4820,20231115
,,PW3,PW3,PW3,,,Pamir,4820,20231115
,,PW4,PW4,PW4,,,Pamir,4290,20231115
,,PW5,PW5,PW5,,,Pamir,4290,20231115
,,PW6,PW6,PW6,,,Pamir,4290,20231115
,,PW7,PW7,PW7,PW7,PW7,Pamir,4820,20231115
,,PW8,PW8,PW8,PW8,PW8,Pamir,4820,20231115
,,PW9,PW9,PW9,PW9,PW9,Pamir,4820,20231115
,,PW10,PW10,PW10,PW10,PW10,Pamir,4290,20231115
,,PW11,PW11,PW11,PW11,PW11,Pamir,4290,20231115
,,PW12,PW12,PW12,PW12,PW12,Pamir,4290,20231115
,,,,,,,,,
